crown_uid,area,source_file,source_index,orig_crown_id,crown_num,species_raw,species_clean,species_status,tree_type_raw,health_class,field_status,field_description,lon,lat,label_esd,label_deciduous,label_acacia,label_yellow_strict,label_yellow_broad,label_red_showy,label_showy_flower
A1:crown_0001,A1,A1_master.geojson,0,crown_0001,1,,,missing,,,,,77.19723015825662,28.543006416221086,-1,-1,-1,-1,-1,-1,-1
A1:crown_0002,A1,A1_master.geojson,1,crown_0002,2,Neem,Neem,clean,,,,,77.19700822368193,28.542816876639975,1,0,0,0,0,0,0
A1:crown_0003,A1,A1_master.geojson,2,crown_0003,3,,,missing,,,,,77.19680897732515,28.542525082024653,-1,-1,-1,-1,-1,-1,-1
A1:crown_0004,A1,A1_master.geojson,3,crown_0004,4,Chir pine or Ashok,,ambiguous_or_unknown,,,,,77.19678354831314,28.542915764540354,-1,-1,-1,-1,-1,-1,-1
A1:crown_0005,A1,A1_master.geojson,4,crown_0005,5,Pilkhan,Pilkhan,clean,,,,,77.19668391418416,28.54268926063228,2,1,0,0,0,0,0
A1:crown_0006,A1,A1_master.geojson,5,crown_0006,6,,,missing,,,,,77.19699898316307,28.542414114401353,-1,-1,-1,-1,-1,-1,-1
A1:crown_0007,A1,A1_master.geojson,6,crown_0007,7,"Pilkhan, Neem",,ambiguous_or_unknown,,,,,77.19698698970562,28.542681724128286,-1,-1,-1,-1,-1,-1,-1
A1:crown_0008,A1,A1_master.geojson,7,crown_0008,8,,,missing,,,,,77.19728321955718,28.542463042942963,-1,-1,-1,-1,-1,-1,-1
A1:crown_0009,A1,A1_master.geojson,8,crown_0009,9,,,missing,,,,,77.19709299785303,28.542935332295247,-1,-1,-1,-1,-1,-1,-1
A1:crown_0010,A1,A1_master.geojson,9,crown_0010,10,Sheesham,Sheesham,clean,,,,,77.19684235857616,28.542698406936356,2,1,0,0,0,0,0
A1:crown_0011,A1,A1_master.geojson,10,crown_0011,11,,,missing,,,,,77.19712893854566,28.542511716889926,-1,-1,-1,-1,-1,-1,-1
A1:crown_0012,A1,A1_master.geojson,11,crown_0012,12,,,missing,,,,,77.19733944308523,28.542578439933244,-1,-1,-1,-1,-1,-1,-1
A1:crown_0013,A1,A1_master.geojson,12,crown_0013,13,Silk cotton,Semal,clean,,,,,77.1968528084812,28.54295000409686,2,1,0,0,0,1,1
A1:crown_0014,A1,A1_master.geojson,13,crown_0014,14,,,missing,,,,,77.19668446033188,28.543004857786304,-1,-1,-1,-1,-1,-1,-1
A1:crown_0015,A1,A1_master.geojson,14,crown_0015,15,,,missing,,,,,77.19708197197876,28.543343618499588,-1,-1,-1,-1,-1,-1,-1
A1:crown_0016,A1,A1_master.geojson,15,crown_0016,16,Bottlebrush,Bottlebrush,clean,,,,,77.1973804988312,28.543222019995163,0,0,0,0,0,1,1
A1:crown_0017,A1,A1_master.geojson,16,crown_0017,17,,,missing,,,,,77.19669501441547,28.543235151187567,-1,-1,-1,-1,-1,-1,-1
A1:crown_0018,A1,A1_master.geojson,17,crown_0018,18,,,missing,,,,,77.19728102562047,28.543282440255375,-1,-1,-1,-1,-1,-1,-1
A1:crown_0019,A1,A1_master.geojson,18,crown_0019,19,,,missing,,,,,77.19671802840507,28.5433176048872,-1,-1,-1,-1,-1,-1,-1
A1:crown_0020,A1,A1_master.geojson,19,crown_0020,20,,,missing,,,,,77.19667541332352,28.54286662596625,-1,-1,-1,-1,-1,-1,-1
A1:crown_0021,A1,A1_master.geojson,20,crown_0021,21,,,missing,,,,,77.19701465116137,28.543386360157083,-1,-1,-1,-1,-1,-1,-1
A1:crown_0022,A1,A1_master.geojson,21,crown_0022,22,,,missing,,,,,77.1967851928031,28.54339368637319,-1,-1,-1,-1,-1,-1,-1
A1:crown_0023,A1,A1_master.geojson,22,crown_0023,23,,,missing,,,,,77.19673171034401,28.543345892791137,-1,-1,-1,-1,-1,-1,-1
A1:crown_0024,A1,A1_master.geojson,23,crown_0024,24,,,missing,,,,,77.19710993463671,28.543094961258895,-1,-1,-1,-1,-1,-1,-1
A1:crown_0025,A1,A1_master.geojson,24,crown_0025,25,Bakain tree,Bakain,clean,,,,,77.19680258059178,28.543463902816494,2,1,0,0,0,0,0
A1:crown_0026,A1,A1_master.geojson,25,crown_0026,26,Amaltas,Amaltas,clean,,,,,77.19675940233986,28.543644589850416,2,1,0,1,1,0,1
A1:crown_0027,A1,A1_master.geojson,26,crown_0027,27,,,missing,,,,,77.19703316147124,28.543665289088203,-1,-1,-1,-1,-1,-1,-1
A1:crown_0028,A1,A1_master.geojson,27,crown_0028,28,,,missing,,,,,77.19673839827854,28.543521572787526,-1,-1,-1,-1,-1,-1,-1
A1:crown_0029,A1,A1_master.geojson,28,crown_0029,29,Amaltas,Amaltas,clean,,,,,77.19732126636882,28.543498618461214,2,1,0,1,1,0,1
A1:crown_0030,A1,A1_master.geojson,29,crown_0030,30,,,missing,,,,,77.19683749910799,28.543758611224288,-1,-1,-1,-1,-1,-1,-1
A1:crown_0031,A1,A1_master.geojson,30,crown_0031,31,,,missing,,,,,77.19731064970564,28.543438589550625,-1,-1,-1,-1,-1,-1,-1
A1:crown_0032,A1,A1_master.geojson,31,crown_0032,32,Ashok and unknown species,,ambiguous_or_unknown,,,,,77.19712806063933,28.543616405436335,-1,-1,-1,-1,-1,-1,-1
A1:crown_0033,A1,A1_master.geojson,32,crown_0033,33,,,missing,,,,,77.19698528987783,28.54350710582833,-1,-1,-1,-1,-1,-1,-1
A1:crown_0034,A1,A1_master.geojson,33,crown_0034,34,,,missing,,,,,77.19728949646056,28.54382496665861,-1,-1,-1,-1,-1,-1,-1
A1:crown_0035,A1,A1_master.geojson,34,crown_0035,35,,,missing,,,,,77.19722902657189,28.54349568987947,-1,-1,-1,-1,-1,-1,-1
A1:crown_0036,A1,A1_master.geojson,35,crown_0036,36,Shisham,Sheesham,clean,,,,,77.19752098903945,28.542881925229942,2,1,0,0,0,0,0
A1:crown_0037,A1,A1_master.geojson,36,crown_0037,37,Neem,Neem,clean,,,,,77.19769915085097,28.542978480445818,1,0,0,0,0,0,0
A1:crown_0038,A1,A1_master.geojson,37,crown_0038,38,,,missing,,,,,77.19744700709187,28.542734277720925,-1,-1,-1,-1,-1,-1,-1
A1:crown_0039,A1,A1_master.geojson,38,crown_0039,39,,,missing,,,,,77.19756490506829,28.542989751466703,-1,-1,-1,-1,-1,-1,-1
A1:crown_0040,A1,A1_master.geojson,39,crown_0040,40,Amaltas,Amaltas,clean,,,,,77.19745744825137,28.54245148066091,2,1,0,1,1,0,1
A1:crown_0041,A1,A1_master.geojson,40,crown_0041,41,,,missing,,,,,77.19764994573877,28.54290511140648,-1,-1,-1,-1,-1,-1,-1
A1:crown_0042,A1,A1_master.geojson,41,crown_0042,42,,,missing,,,,,77.19771601868315,28.542676793940775,-1,-1,-1,-1,-1,-1,-1
A1:crown_0043,A1,A1_master.geojson,42,crown_0043,43,,,missing,,,,,77.19751866751349,28.542385955848058,-1,-1,-1,-1,-1,-1,-1
A1:crown_0044,A1,A1_master.geojson,43,crown_0044,44,,,missing,,,,,77.1978104686806,28.54255909453837,-1,-1,-1,-1,-1,-1,-1
A1:crown_0045,A1,A1_master.geojson,44,crown_0045,45,Neem,Neem,clean,,,,,77.1970552495533,28.542641240586946,1,0,0,0,0,0,0
A1:crown_0046,A1,A1_master.geojson,45,crown_0046,46,,,missing,,,,,77.19760090248718,28.54310246600377,-1,-1,-1,-1,-1,-1,-1
A1:crown_0047,A1,A1_master.geojson,46,crown_0047,47,Amaltas,Amaltas,clean,,,,,77.19740912076678,28.54335765112103,2,1,0,1,1,0,1
A1:crown_0048,A1,A1_master.geojson,47,crown_0048,48,,,missing,,,,,77.19777925384786,28.543143704087733,-1,-1,-1,-1,-1,-1,-1
A1:crown_0049,A1,A1_master.geojson,48,crown_0049,49,Pilkhan,Pilkhan,clean,,,,,77.1977588016064,28.543393543125937,2,1,0,0,0,0,0
A1:crown_0050,A1,A1_master.geojson,49,crown_0050,50,Banyan,Banyan,clean,,,,,77.19783842246072,28.5434095312858,1,0,0,0,0,0,0
A1:crown_0051,A1,A1_master.geojson,50,crown_0051,51,,,missing,,,,,77.1973954336547,28.543061122221136,-1,-1,-1,-1,-1,-1,-1
A1:crown_0052,A1,A1_master.geojson,51,crown_0052,52,Native acacia,Native acacia,clean,,,,,77.197576152628,28.5432517451852,1,0,1,0,0,0,0
A1:crown_0053,A1,A1_master.geojson,52,crown_0053,53,,,missing,,,,,77.19771881153805,28.543055431366277,-1,-1,-1,-1,-1,-1,-1
A1:crown_0054,A1,A1_master.geojson,53,crown_0054,54,,,missing,,,,,77.19767630566044,28.54320959407502,-1,-1,-1,-1,-1,-1,-1
A1:crown_0055,A1,A1_master.geojson,54,crown_0055,55,"Banyan, Neem",,ambiguous_or_unknown,,,,,77.1977183479953,28.543342725098313,-1,-1,-1,-1,-1,-1,-1
A1:crown_0056,A1,A1_master.geojson,55,crown_0056,56,Sheesham,Sheesham,clean,,,,,77.19753789306051,28.543779102570117,2,1,0,0,0,0,0
A1:crown_0057,A1,A1_master.geojson,56,crown_0057,57,Gulmohar,Gulmohar,clean,,,,,77.19762375591407,28.543476039088116,2,1,0,0,0,1,1
A1:crown_0058,A1,A1_master.geojson,57,crown_0058,58,,,missing,,,,,77.19743887410573,28.54351559052187,-1,-1,-1,-1,-1,-1,-1
A1:crown_0059,A1,A1_master.geojson,58,crown_0059,59,Neem,Neem,clean,,,,,77.19775557066214,28.543638156133877,1,0,0,0,0,0,0
A1:crown_0060,A1,A1_master.geojson,59,crown_0060,60,,,missing,,,,,77.19757145281577,28.543645742977823,-1,-1,-1,-1,-1,-1,-1
A1:crown_0061,A1,A1_master.geojson,60,crown_0061,61,Amaltas,Amaltas,clean,,,,,77.19743326429877,28.543729135419976,2,1,0,1,1,0,1
A1:crown_0062,A1,A1_master.geojson,61,crown_0062,62,Sheesham,Sheesham,clean,,,,,77.19767209308716,28.543630754807456,2,1,0,0,0,0,0
A1:crown_0063,A1,A1_master.geojson,62,crown_0063,63,,,missing,,,,,77.19770521349061,28.54354934575283,-1,-1,-1,-1,-1,-1,-1
A1:crown_0064,A1,A1_master.geojson,63,crown_0064,64,,,missing,,,,,77.19777002053218,28.543255776501876,-1,-1,-1,-1,-1,-1,-1
A1:crown_0065,A1,A1_master.geojson,64,crown_0065,65,,,missing,,,,,77.19774137666886,28.544193940925734,-1,-1,-1,-1,-1,-1,-1
A1:crown_0066,A1,A1_master.geojson,65,crown_0066,66,,,missing,,,,,77.1976092894879,28.543936882873044,-1,-1,-1,-1,-1,-1,-1
A1:crown_0067,A1,A1_master.geojson,66,crown_0067,67,,,missing,,,,,77.1973238513801,28.544240621457725,-1,-1,-1,-1,-1,-1,-1
A1:crown_0068,A1,A1_master.geojson,67,crown_0068,68,,,missing,,,,,77.19758645508179,28.54405966133953,-1,-1,-1,-1,-1,-1,-1
A1:crown_0069,A1,A1_master.geojson,68,crown_0069,69,,,missing,,,,,77.19718714265993,28.543900755129822,-1,-1,-1,-1,-1,-1,-1
A1:crown_0070,A1,A1_master.geojson,69,crown_0070,70,,,missing,,,,,77.19763455126318,28.544267594577523,-1,-1,-1,-1,-1,-1,-1
A1:crown_0071,A1,A1_master.geojson,70,crown_0071,71,,,missing,,,,,77.19728387995592,28.544559992111214,-1,-1,-1,-1,-1,-1,-1
A1:crown_0072,A1,A1_master.geojson,71,crown_0072,72,,,missing,,,,,77.19770601366345,28.544490884778796,-1,-1,-1,-1,-1,-1,-1
A1:crown_0073,A1,A1_master.geojson,72,crown_0073,73,Banyan,Banyan,clean,,,,,77.19788513921085,28.544339000532982,1,0,0,0,0,0,0
A1:crown_0074,A1,A1_master.geojson,73,crown_0074,74,,,missing,,,,,77.19714772296018,28.54456866288508,-1,-1,-1,-1,-1,-1,-1
A1:crown_0075,A1,A1_master.geojson,74,crown_0075,75,,,missing,,,,,77.19736388670819,28.544596196568534,-1,-1,-1,-1,-1,-1,-1
A1:crown_0076,A1,A1_master.geojson,75,crown_0076,76,,,missing,,,,,77.19778921248131,28.544313465452955,-1,-1,-1,-1,-1,-1,-1
A1:crown_0077,A1,A1_master.geojson,76,crown_0077,77,Amaltas,Amaltas,clean,,,,,77.1975332589429,28.54449601409572,2,1,0,1,1,0,1
A1:crown_0078,A1,A1_master.geojson,77,crown_0078,78,,,missing,,,,,77.1981338164154,28.542891728368655,-1,-1,-1,-1,-1,-1,-1
A1:crown_0079,A1,A1_master.geojson,78,crown_0079,79,,,missing,,,,,77.19756514031583,28.54302450504624,-1,-1,-1,-1,-1,-1,-1
A1:crown_0080,A1,A1_master.geojson,79,crown_0080,80,Amaltas,Amaltas,clean,,,,,77.19783792646211,28.54327215081699,2,1,0,1,1,0,1
A1:crown_0081,A1,A1_master.geojson,80,crown_0081,81,Neem,Neem,clean,,,,,77.1979121544983,28.543348621245972,1,0,0,0,0,0,0
A1:crown_0082,A1,A1_master.geojson,81,crown_0082,82,Pilkhan,Pilkhan,clean,,,,,77.19785106296102,28.54325538385179,2,1,0,0,0,0,0
A1:crown_0083,A1,A1_master.geojson,82,crown_0083,83,,,missing,,,,,77.197936319218,28.54351530052174,-1,-1,-1,-1,-1,-1,-1
A1:crown_0084,A1,A1_master.geojson,83,crown_0084,84,Kasod,Kasod,clean,,,,,77.19813462766243,28.54381439775987,-1,-1,0,1,1,0,1
A1:crown_0085,A1,A1_master.geojson,84,crown_0085,85,Amaltas,Amaltas,clean,,,,,77.19822756024531,28.543485796601512,2,1,0,1,1,0,1
A1:crown_0086,A1,A1_master.geojson,85,crown_0086,86,,,missing,,,,,77.1979490217439,28.543752902874033,-1,-1,-1,-1,-1,-1,-1
A1:crown_0087,A1,A1_master.geojson,86,crown_0087,87,Ashok,Ashok,clean,,,,,77.19783700040176,28.54328276213752,0,0,0,0,0,0,0
A1:crown_0088,A1,A1_master.geojson,87,crown_0088,88,,,missing,,,,,77.19806964140784,28.543824247212015,-1,-1,-1,-1,-1,-1,-1
A1:crown_0089,A1,A1_master.geojson,88,crown_0089,89,,,missing,,,,,77.19812737949857,28.544167940457285,-1,-1,-1,-1,-1,-1,-1
A1:crown_0090,A1,A1_master.geojson,89,crown_0090,90,,,missing,,,,,77.19805980006052,28.5440237332973,-1,-1,-1,-1,-1,-1,-1
A1:crown_0091,A1,A1_master.geojson,90,crown_0091,91,,,missing,,,,,77.19792140077132,28.544145172890524,-1,-1,-1,-1,-1,-1,-1
A1:crown_0092,A1,A1_master.geojson,91,crown_0092,92,,,missing,,,,,77.1982373902911,28.54418551502003,-1,-1,-1,-1,-1,-1,-1
A1:crown_0093,A1,A1_master.geojson,92,crown_0093,93,,,missing,,,,,77.19820715245609,28.543961566547512,-1,-1,-1,-1,-1,-1,-1
A1:crown_0094,A1,A1_master.geojson,93,crown_0094,94,,,missing,,,,,77.19810093817351,28.544090774781683,-1,-1,-1,-1,-1,-1,-1
A1:crown_0095,A1,A1_master.geojson,94,crown_0095,95,,,missing,,,,,77.19818326208616,28.54408708365441,-1,-1,-1,-1,-1,-1,-1
A1:crown_0096,A1,A1_master.geojson,95,crown_0096,96,,,missing,,,,,77.19814492849851,28.54385931247593,-1,-1,-1,-1,-1,-1,-1
A1:crown_0097,A1,A1_master.geojson,96,crown_0097,97,,,missing,,,,,77.19786520713446,28.54369280311931,-1,-1,-1,-1,-1,-1,-1
A1:crown_0098,A1,A1_master.geojson,97,crown_0098,98,,,missing,,,,,77.19784475358354,28.54361718043358,-1,-1,-1,-1,-1,-1,-1
A1:crown_0099,A1,A1_master.geojson,98,crown_0099,99,,,missing,,,,,77.19816854250031,28.543922781920227,-1,-1,-1,-1,-1,-1,-1
A1:crown_0100,A1,A1_master.geojson,99,crown_0100,100,,,missing,,,,,77.19804449289173,28.54437379730264,-1,-1,-1,-1,-1,-1,-1
A1:crown_0101,A1,A1_master.geojson,100,crown_0101,101,,,missing,,,,,77.19794189659957,28.544402722164566,-1,-1,-1,-1,-1,-1,-1
A1:crown_0102,A1,A1_master.geojson,101,crown_0102,102,,,missing,,,,,77.19824907139817,28.54441947392595,-1,-1,-1,-1,-1,-1,-1
A1:crown_0103,A1,A1_master.geojson,102,crown_0103,103,,,missing,,,,,77.19804296329205,28.54459488548611,-1,-1,-1,-1,-1,-1,-1
A1:crown_0104,A1,A1_master.geojson,103,crown_0104,104,,,missing,,,,,77.19833193072635,28.544611206813002,-1,-1,-1,-1,-1,-1,-1
A1:crown_0105,A1,A1_master.geojson,104,crown_0105,105,,,missing,,,,,77.19787667732838,28.54452485503587,-1,-1,-1,-1,-1,-1,-1
A1:crown_0106,A1,A1_master.geojson,105,crown_0106,106,,,missing,,,,,77.1981846538404,28.544625885266537,-1,-1,-1,-1,-1,-1,-1
A1:crown_0107,A1,A1_master.geojson,106,crown_0107,107,,,missing,,,,,77.1980678479259,28.544650804522114,-1,-1,-1,-1,-1,-1,-1
A1:crown_0108,A1,A1_master.geojson,107,crown_0108,108,,,missing,,,,,77.19766105832939,28.544752590777396,-1,-1,-1,-1,-1,-1,-1
A1:crown_0109,A1,A1_master.geojson,108,crown_0109,109,,,missing,,,,,77.19830677766436,28.54467813125692,-1,-1,-1,-1,-1,-1,-1
A1:crown_0110,A1,A1_master.geojson,109,crown_0110,110,,,missing,,,,,77.19799255047369,28.54473756261927,-1,-1,-1,-1,-1,-1,-1
A1:crown_0111,A1,A1_master.geojson,110,crown_0111,111,,,missing,,,,,77.19770844036285,28.54486519097911,-1,-1,-1,-1,-1,-1,-1
A1:crown_0112,A1,A1_master.geojson,111,crown_0112,112,,,missing,,,,,77.19798175167207,28.544808273526513,-1,-1,-1,-1,-1,-1,-1
A1:crown_0113,A1,A1_master.geojson,112,crown_0113,113,,,missing,,,,,77.198203153532,28.544719584511643,-1,-1,-1,-1,-1,-1,-1
A1:crown_0114,A1,A1_master.geojson,113,crown_0114,114,,,missing,,,,,77.19818704172717,28.544713181335695,-1,-1,-1,-1,-1,-1,-1
A1:crown_0115,A1,A1_master.geojson,114,crown_0115,115,,,missing,,,,,77.19779903742608,28.544841511602144,-1,-1,-1,-1,-1,-1,-1
