crown_uid,area,source_file,source_index,orig_crown_id,crown_num,species_raw,species_clean,species_status,tree_type_raw,health_class,field_status,field_description,lon,lat,label_esd,label_deciduous,label_acacia,label_yellow_strict,label_yellow_broad,label_red_showy,label_showy_flower,s1_n_obs,s1_n_years,s1_vv_db_median,s1_vv_db_mean,s1_vv_db_std,s1_vv_db_amp,s1_monsoon_vv_db_median,s1_postmonsoon_vv_db_median,s1_premonsoon_vv_db_median,s1_winter_vv_db_median,s1_vh_db_median,s1_vh_db_mean,s1_vh_db_std,s1_vh_db_amp,s1_monsoon_vh_db_median,s1_postmonsoon_vh_db_median,s1_premonsoon_vh_db_median,s1_winter_vh_db_median,s1_vh_vv_ratio_median,s1_vh_vv_ratio_mean,s1_vh_vv_ratio_std,s1_vh_vv_ratio_amp,s1_monsoon_vh_vv_ratio_median,s1_postmonsoon_vh_vv_ratio_median,s1_premonsoon_vh_vv_ratio_median,s1_winter_vh_vv_ratio_median,s1_vh_minus_vv_db_median,s1_vh_minus_vv_db_mean,s1_vh_minus_vv_db_std,s1_vh_minus_vv_db_amp,s1_monsoon_vh_minus_vv_db_median,s1_postmonsoon_vh_minus_vv_db_median,s1_premonsoon_vh_minus_vv_db_median,s1_winter_vh_minus_vv_db_median,s1_years,s1_item_count,geometry_mode,buffer_meters
A1:crown_0002,A1,A1_master.geojson,1,crown_0002,2,Neem,Neem,clean,,,,,77.19700822368193,28.54281687663997,1,0,0,0,0,0,0,113,4,-5.9645867347717285,-6.067765797133994,1.0939389683883571,5.515325546264648,-5.711750030517578,-6.562423229217529,-5.877904891967773,-6.15262508392334,-12.093667030334473,-12.073177430482035,1.0215570014679347,6.087166786193848,-12.060551166534424,-12.149341583251951,-12.067309379577637,-12.234235763549805,0.2481276541948318,0.2553726827676317,0.0771159282711824,0.5340927988290787,0.2434277012944221,0.260405570268631,0.2430444210767746,0.2595117092132568,-6.053248882293701,-6.113953708547406,1.2705169127915974,7.412746429443359,-6.136302471160889,-5.843497276306152,-6.1431427001953125,-5.858430862426758,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0005,A1,A1_master.geojson,4,crown_0005,5,Pilkhan,Pilkhan,clean,,,,,77.19668391418416,28.54268926063228,2,1,0,0,0,0,0,113,4,-7.749501228332519,-7.639247890067311,0.9644320987392694,5.2723469734191895,-7.423954486846924,-7.811394691467285,-7.433155059814453,-8.054957389831543,-13.340387344360352,-13.259823807572896,1.1006270866421457,5.680004119873047,-13.242725849151611,-13.85605239868164,-13.000843048095703,-13.6408052444458,0.2661764621734619,0.289654398518326,0.0972729573858975,0.5901332646608353,0.2582948803901672,0.2517131268978119,0.2888813018798828,0.26640784740448,-5.748381614685059,-5.605911349828264,1.3641665419221405,8.293989658355713,-5.879089832305908,-5.991170406341553,-5.392885208129883,-5.74456787109375,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0010,A1,A1_master.geojson,9,crown_0010,10,Sheesham,Sheesham,clean,,,,,77.19684235857616,28.54269840693636,2,1,0,0,0,0,0,113,4,-7.217021465301514,-7.30509506495653,1.0103018275216833,4.498298645019531,-6.872955083847046,-7.504168510437012,-6.840141296386719,-7.713795185089111,-13.035260200500488,-12.924765122675264,0.921918634865618,5.2216901779174805,-13.044015407562256,-13.493400573730469,-12.49497890472412,-13.012200355529783,0.2792766988277435,0.2921373074033619,0.0941797471329337,0.6383923143148422,0.2702276557683944,0.2676964402198791,0.2906310558319092,0.3057363331317901,-5.539653301239014,-5.548095994291052,1.3237283343026751,8.300042152404785,-5.682732582092285,-5.723575115203857,-5.366580009460449,-5.146530151367188,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0013,A1,A1_master.geojson,12,crown_0013,13,Silk cotton,Semal,clean,,,,,77.1968528084812,28.54295000409686,2,1,0,0,0,1,1,113,4,-7.075002193450928,-7.093971788355734,1.1435239450810766,5.719542980194092,-6.659874439239502,-7.403202056884766,-6.812549591064453,-8.093052864074707,-12.674739837646484,-12.516496911513068,1.1011166325996675,6.185491561889648,-12.471539974212646,-12.701093673706056,-12.407984733581545,-13.120615005493164,0.2908413410186767,0.3005609631010916,0.0904369987088345,0.5274411737918854,0.2744939029216766,0.3128613829612732,0.2747570872306824,0.3064430058002472,-5.363440036773682,-5.410905150185644,1.267834415720227,6.6745805740356445,-5.615237712860107,-5.046555519104004,-5.610538482666016,-5.150216102600098,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0016,A1,A1_master.geojson,15,crown_0016,16,Bottlebrush,Bottlebrush,clean,,,,,77.1973804988312,28.543222019995163,0,0,0,0,0,0,0,113,4,-6.312846183776856,-6.303303224850545,1.1883782465060544,6.945329904556274,-5.999734163284302,-6.6259355545043945,-6.414251804351807,-6.322861671447754,-12.550286293029783,-12.48779985124031,1.236243545190403,7.387314319610596,-11.88938045501709,-12.76491355895996,-12.610921859741213,-12.934626579284668,0.2311723381280899,0.2487968811682895,0.0906108271815514,0.5976042598485947,0.2247705683112144,0.2453542053699493,0.2846327126026153,0.2273665219545364,-6.360641479492188,-6.296493458536874,1.469571473699427,8.305417537689209,-6.483007431030273,-6.10206413269043,-5.457150936126709,-6.432735443115234,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0025,A1,A1_master.geojson,24,crown_0025,25,Bakain tree,Bakain,clean,,,,,77.19680258059178,28.54346390281649,2,1,0,0,0,0,0,113,4,-7.061245441436768,-6.882805957203418,1.0624612963825193,6.081303596496582,-6.713093042373657,-7.237546443939209,-7.06884241104126,-7.251394271850586,-12.696725845336914,-12.697390598533428,1.0083244440073884,4.77630615234375,-12.509773254394531,-13.02187156677246,-12.250957489013672,-13.316695213317873,0.2491150796413421,0.2719911173381636,0.0925690850966166,0.6054627299308777,0.2465507760643959,0.2421805262565612,0.2886478304862976,0.262981653213501,-6.03665828704834,-5.880660658389067,1.3661072340860163,7.972154855728149,-6.083009004592896,-6.161303520202637,-5.399469375610352,-5.81540584564209,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0026,A1,A1_master.geojson,25,crown_0026,26,Amaltas,Amaltas,clean,,,,,77.19675940233986,28.543644589850416,2,1,0,1,1,0,1,113,4,-6.857497215270996,-6.915487791584656,0.9884184761920748,4.253640174865723,-6.638288974761963,-7.28925085067749,-6.761398315429688,-7.083476066589356,-12.792139053344728,-12.967195654337385,0.9727880462092836,4.425056457519531,-12.768640995025637,-13.186322212219238,-12.326093673706056,-13.43259334564209,0.2517962455749511,0.2558032028970465,0.0692974487702928,0.3463637828826904,0.2317285984754562,0.2445969134569168,0.2733453512191772,0.2602443099021911,-5.989794731140137,-6.081928607636848,1.1701047484139693,5.717999696731567,-6.351349830627441,-6.133566379547119,-5.632937431335449,-5.846221446990967,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0029,A1,A1_master.geojson,28,crown_0029,29,Amaltas,Amaltas,clean,,,,,77.19732126636882,28.54349861846121,2,1,0,1,1,0,1,113,4,-6.246379375457764,-6.195001568414469,1.099753738600955,5.319817543029785,-5.978800058364868,-5.783809661865234,-6.518035411834717,-6.600076675415039,-12.188389778137209,-12.22719624190204,1.2374966447054083,8.699549198150635,-12.057250022888184,-12.314502716064451,-12.341733932495115,-12.102083206176758,0.2371182441711425,0.2590910308392702,0.085292680585953,0.4323708266019821,0.2469375282526016,0.2105203568935394,0.2816681265830993,0.2254838049411773,-6.252434730529785,-6.098645026704906,1.413007967637405,7.150460481643677,-6.077207088470459,-6.767200469970703,-5.502953052520752,-6.469239234924316,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0036,A1,A1_master.geojson,35,crown_0036,36,Shisham,Sheesham,clean,,,,,77.19752098903945,28.542881925229945,2,1,0,0,0,0,0,113,4,-7.402510643005371,-7.415977798731981,1.2607817271340969,7.463181495666504,-7.223337173461914,-7.485583305358887,-7.251089572906494,-8.097956657409668,-13.283597946166992,-13.319515397063398,1.1235605533061075,5.900716781616211,-13.26804494857788,-13.78884506225586,-12.776979446411133,-13.686447143554688,0.2520840764045715,0.2767305031286932,0.092307272173039,0.4865927696228027,0.2511293590068817,0.2242748737335205,0.2939082682132721,0.2740117013454437,-5.989577770233154,-5.808729781513721,1.3881907273698717,7.331321716308594,-6.001233339309692,-6.492847919464111,-5.332475662231445,-5.62398624420166,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0037,A1,A1_master.geojson,36,crown_0037,37,Neem,Neem,clean,,,,,77.19769915085097,28.54297848044581,1,0,0,0,0,0,0,113,4,-9.552495956420898,-9.482635363013344,1.2440436593242266,6.289191722869873,-8.890613079071045,-9.865874290466309,-9.378353118896484,-10.294124603271484,-14.689977645874023,-14.633631368653964,1.0787706187969524,5.328580856323242,-14.342339038848875,-14.806079864501951,-14.152803421020508,-15.24241828918457,0.3181247115135193,0.3232072208703092,0.1060951845034954,0.7226939424872398,0.2869750559329986,0.3181247115135193,0.3349468111991882,0.3328076899051666,-4.977607250213623,-5.132755110749101,1.3994528728428155,8.320108890533447,-5.421978950500488,-4.977607250213623,-4.750279903411865,-4.780978202819824,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0040,A1,A1_master.geojson,39,crown_0040,40,Amaltas,Amaltas,clean,,,,,77.19745744825137,28.54245148066091,2,1,0,1,1,0,1,113,4,-8.292610168457031,-8.147881921413726,1.0097064547035532,4.923148155212402,-7.496119976043701,-8.131436347961426,-8.585943222045898,-8.537418365478516,-14.303003311157228,-14.358771720818714,1.0366349094457146,4.972391128540039,-13.669575214385986,-14.948436737060549,-14.03407859802246,-14.903488159179688,0.2419831752777099,0.2500790530337696,0.0745689523240606,0.4089081287384033,0.2600021511316299,0.2112943232059478,0.2870888113975525,0.2239265590906143,-6.164751529693604,-6.202515591562322,1.2394643651012718,6.593590259552002,-5.859102010726929,-6.751133918762207,-5.422972202301025,-6.501456260681152,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0045,A1,A1_master.geojson,44,crown_0045,45,Neem,Neem,clean,,,,,77.1970552495533,28.542641240586946,1,0,0,0,0,0,0,113,4,-6.3499908447265625,-6.411285345533253,1.1537839662122131,4.911844253540039,-5.986899375915527,-6.859586715698242,-5.998102188110352,-6.9222822189331055,-12.59174633026123,-12.54228259398874,0.9681277712226362,5.720308303833008,-12.69782543182373,-12.91877555847168,-12.161815643310549,-12.705163955688477,0.2396366000175476,0.2519339392934225,0.0741794405090361,0.4982294887304306,0.2427891790866851,0.2314642667770385,0.2418102920055389,0.2356890141963958,-6.204512596130371,-6.166483113196044,1.2223641005619443,7.644540786743164,-6.168126344680786,-6.364191055297852,-6.165302276611328,-6.277102947235107,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0047,A1,A1_master.geojson,46,crown_0047,47,Amaltas,Amaltas,clean,,,,,77.19740912076678,28.54335765112103,2,1,0,1,1,0,1,113,4,-6.542627334594727,-6.530170434344131,1.0459359759480769,5.253889322280884,-6.319124937057495,-6.804280281066895,-6.554661750793457,-6.733072280883789,-12.679903030395508,-12.61126742320778,1.2318903400746353,8.254189014434814,-12.30936050415039,-12.767691612243652,-12.5010986328125,-13.03857707977295,0.2447188645601272,0.2536388992340164,0.0881000781391348,0.5939370691776276,0.2407880946993827,0.245571956038475,0.280006468296051,0.2116365730762481,-6.113326072692871,-6.191588258321306,1.4116050111313838,7.828222274780273,-6.18442964553833,-6.098212242126465,-5.528318405151367,-6.74409294128418,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0049,A1,A1_master.geojson,48,crown_0049,49,Pilkhan,Pilkhan,clean,,,,,77.1977588016064,28.543393543125937,2,1,0,0,0,0,0,113,4,-7.882769584655762,-7.884272609136801,1.1243960699815796,5.53800106048584,-7.613367557525635,-8.380709648132324,-7.655220985412598,-8.438015937805176,-13.830489158630373,-13.774339996607958,1.238649685784284,6.544726371765137,-13.87994909286499,-14.167004585266112,-13.441593170166016,-14.073491096496582,0.2682820856571197,0.2799779800450907,0.0918188251281689,0.5217096656560898,0.2496549636125564,0.2724295556545257,0.2632976770401001,0.3022117912769317,-5.714083671569824,-5.743630565373244,1.3528945981392038,7.245176315307617,-6.027843475341797,-5.647457122802734,-5.795529365539551,-5.19688606262207,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0050,A1,A1_master.geojson,49,crown_0050,50,Banyan,Banyan,clean,,,,,77.19783842246072,28.5434095312858,1,0,0,0,0,0,0,113,4,-8.1271333694458,-8.167021253467661,1.1243612380824783,5.293270111083984,-7.88143515586853,-8.730417251586914,-7.900076866149902,-8.690357208251953,-13.83234405517578,-13.892825430473396,1.2569998488166247,7.1861114501953125,-13.80976629257202,-14.38379192352295,-13.614065170288086,-13.907828330993652,0.2737903594970703,0.2865060668076034,0.0926833295592792,0.4811284840106964,0.2613915950059891,0.2737903594970703,0.2971498370170593,0.3003464639186859,-5.625819206237793,-5.641507207819846,1.3350958805549038,6.7191572189331055,-5.830181360244751,-5.625819206237793,-5.272246837615967,-5.2239203453063965,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0052,A1,A1_master.geojson,51,crown_0052,52,Native acacia,Native acacia,clean,,,,,77.197576152628,28.5432517451852,1,0,1,0,0,0,0,113,4,-7.709477424621582,-7.610366494254729,1.077568049944741,6.507865190505981,-7.308322906494141,-8.001087188720703,-7.391782283782959,-8.017166137695312,-13.65324592590332,-13.58746832450934,1.16834521207985,6.582042694091797,-13.57371425628662,-13.842275619506836,-13.5104398727417,-14.189075469970703,0.2639779448509216,0.2812957973343081,0.0892663846870571,0.4655860513448715,0.2524049878120422,0.3083072900772095,0.2820479273796081,0.2614156305789947,-5.7845458984375,-5.714441858561693,1.3152034644805466,6.7486066818237305,-5.981619358062744,-5.119125843048096,-5.511605262756348,-5.826694488525391,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0056,A1,A1_master.geojson,55,crown_0056,56,Sheesham,Sheesham,clean,,,,,77.19753789306051,28.54377910257012,2,1,0,0,0,0,0,113,4,-7.729011535644531,-7.695799013154697,1.0850330661904315,5.010669231414795,-7.203224420547485,-8.269539833068848,-7.721179962158203,-8.181905746459961,-13.36813735961914,-13.439682479453298,1.0871984603148197,5.202882766723633,-13.094194889068604,-14.11598777770996,-13.207635879516602,-13.668902397155762,0.2752673029899597,0.2856445164807075,0.0980399390893044,0.5257439613342285,0.2807132303714752,0.2626561820507049,0.2752673029899597,0.2815654277801513,-5.602519035339356,-5.6838183719499975,1.4319936332870795,7.355381488800049,-5.517647981643677,-5.806132316589356,-5.602519035339356,-5.505753993988037,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0057,A1,A1_master.geojson,56,crown_0057,57,Gulmohar,Gulmohar,clean,,,,,77.19762375591407,28.54347603908812,2,1,0,0,0,1,1,113,4,-7.225847721099853,-7.135758568755294,1.0579045148497566,5.47684383392334,-7.171396970748901,-7.4156012535095215,-6.980608940124512,-7.388765335083008,-13.136589050292969,-13.051019744535465,1.2581829932855622,7.101116180419922,-13.11798858642578,-13.594001770019531,-12.436113357543944,-13.272969245910645,0.2554160356521606,0.27024965054166,0.0904868814874993,0.4621531963348388,0.2402106672525406,0.2521013021469116,0.2551930844783783,0.2680065631866455,-5.935128688812256,-5.916768858918046,1.4158116690153135,7.429899215698242,-6.195221662521362,-5.984324455261231,-5.935128688812256,-5.718582630157471,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0059,A1,A1_master.geojson,58,crown_0059,59,Neem,Neem,clean,,,,,77.19775557066214,28.54363815613388,1,0,0,0,0,0,0,113,4,-7.618805885314941,-7.585600582899246,1.0519132782148453,5.540682792663574,-7.306963205337524,-7.816277980804443,-7.31370735168457,-8.063087463378906,-13.27540397644043,-13.258591829148012,1.2072188939355,5.836177825927734,-13.18654489517212,-13.880918502807615,-12.664426803588867,-13.68895149230957,0.2697663009166717,0.2879036634632971,0.0928185745586361,0.4545848369598388,0.268115222454071,0.2738591432571411,0.2804338932037353,0.2697663009166717,-5.691895484924316,-5.630735125161905,1.3831337541283162,6.999417304992676,-5.716909885406494,-5.6284918785095215,-5.521696090698242,-5.691895484924316,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0061,A1,A1_master.geojson,60,crown_0061,61,Amaltas,Amaltas,clean,,,,,77.19743326429877,28.543729135419976,2,1,0,1,1,0,1,113,4,-7.213753700256348,-7.138286434443651,1.1465237724378825,5.225924491882324,-6.9879469871521,-7.055754661560059,-7.42371940612793,-7.894424438476562,-12.915205955505373,-12.979611152041274,1.1705692604339222,5.084392547607422,-12.80731439590454,-13.356189727783203,-12.851070404052734,-13.09128761291504,0.2614069581031799,0.2796488267130556,0.0978030538209032,0.4905361235141754,0.2660757452249527,0.2300585806369781,0.2653104662895202,0.2662243247032165,-5.830814838409424,-5.79962649387596,1.5185001238357383,8.205543994903564,-5.7513041496276855,-6.381983757019043,-5.764313697814941,-5.747536659240723,"2022,2023,2024,2025",113,buffer,20.0
A1:crown_0062,A1,A1_master.geojson,61,crown_0062,62,Sheesham,Sheesham,clean,,,,,77.19767209308716,28.543630754807456,2,1,0,0,0,0,0,113,4,-7.347966194152832,-7.349283218383789,1.0225280631120484,5.278401374816895,-7.230409145355225,-7.519782543182373,-7.334634780883789,-7.746913909912109,-13.152547836303713,-13.105991194733477,1.1480000012443885,5.321293830871582,-13.05828857421875,-13.859960556030272,-12.645837783813477,-13.535297393798828,0.2672445774078369,0.2810027872302891,0.0922691186808177,0.4669362753629684,0.264611467719078,0.265592098236084,0.2804338932037353,0.2675833702087402,-5.742973327636719,-5.744358790659272,1.4087282870724211,7.438824653625488,-5.77858304977417,-5.764459609985352,-5.521696090698242,-5.726024150848389,"2022,2023,2024,2025",113,buffer,20.0
