crown_uid,area,source_file,source_index,orig_crown_id,crown_num,species_raw,species_clean,species_status,tree_type_raw,health_class,field_status,field_description,lon,lat,label_esd,label_deciduous,label_acacia,label_yellow_strict,label_yellow_broad,label_red_showy,label_showy_flower,winter_B2,winter_B3,winter_B4,winter_B5,winter_B6,winter_B7,winter_B8,winter_B8A,winter_B11,winter_B12,winter_NDVI,winter_GNDVI,winter_NDRE,winter_NDMI,winter_NBR,winter_EVI,winter_blue_ratio,winter_green_ratio,winter_red_ratio,winter_yellow_proxy,winter_valid_pixels_median,winter_valid_pixels_max,premonsoon_B2,premonsoon_B3,premonsoon_B4,premonsoon_B5,premonsoon_B6,premonsoon_B7,premonsoon_B8,premonsoon_B8A,premonsoon_B11,premonsoon_B12,premonsoon_NDVI,premonsoon_GNDVI,premonsoon_NDRE,premonsoon_NDMI,premonsoon_NBR,premonsoon_EVI,premonsoon_blue_ratio,premonsoon_green_ratio,premonsoon_red_ratio,premonsoon_yellow_proxy,premonsoon_valid_pixels_median,premonsoon_valid_pixels_max,monsoon_B2,monsoon_B3,monsoon_B4,monsoon_B5,monsoon_B6,monsoon_B7,monsoon_B8,monsoon_B8A,monsoon_B11,monsoon_B12,monsoon_NDVI,monsoon_GNDVI,monsoon_NDRE,monsoon_NDMI,monsoon_NBR,monsoon_EVI,monsoon_blue_ratio,monsoon_green_ratio,monsoon_red_ratio,monsoon_yellow_proxy,monsoon_valid_pixels_median,monsoon_valid_pixels_max,postmonsoon_B2,postmonsoon_B3,postmonsoon_B4,postmonsoon_B5,postmonsoon_B6,postmonsoon_B7,postmonsoon_B8,postmonsoon_B8A,postmonsoon_B11,postmonsoon_B12,postmonsoon_NDVI,postmonsoon_GNDVI,postmonsoon_NDRE,postmonsoon_NDMI,postmonsoon_NBR,postmonsoon_EVI,postmonsoon_blue_ratio,postmonsoon_green_ratio,postmonsoon_red_ratio,postmonsoon_yellow_proxy,postmonsoon_valid_pixels_median,postmonsoon_valid_pixels_max,NDVI_amp,GNDVI_amp,NDRE_amp,NDMI_amp,NBR_amp,EVI_amp,green_ratio_amp,red_ratio_amp,yellow_proxy_amp,stac_year,geometry_mode,buffer_meters,stac_item_count
A1:crown_0002,A1,A1_master.geojson,1,crown_0002,2,Neem,Neem,clean,,,,,77.1970082236819,28.54281687663997,1,0,0,0,0,0,0,0.1546500027179718,0.1691000014543533,0.1708000004291534,0.1783500015735626,0.2537999898195267,0.2819500118494034,0.3005499988794327,0.2918000072240829,0.2221000045537948,0.1749999970197677,0.2700593918561935,0.2790964394807815,0.2436995878815651,0.1373736411333084,0.2632502466440201,0.2556765973567962,0.3094809949398041,0.3463428020477295,0.346319705247879,0.6905190050601959,23.0,23,0.157600000500679,0.1910500004887581,0.1989500001072883,0.2055500000715255,0.3018500059843063,0.3309000134468078,0.3500500023365021,0.348700001835823,0.2671999931335449,0.2078000009059906,0.2913680821657181,0.3043596297502517,0.27855384349823,0.1201630793511867,0.2572441101074219,0.2969930768013,0.298236221075058,0.3505741357803345,0.3525380641222,0.7017638385295868,23.0,23,0.1829999983310699,0.2196000069379806,0.209099993109703,0.2351000010967254,0.3420000076293945,0.3869000077247619,0.3855000138282776,0.4007999897003174,0.3095999956130981,0.2302999943494796,0.3206160068511963,0.2993552386760711,0.2899571061134338,0.1317296773195266,0.276892751455307,0.3815867900848388,0.307124376296997,0.353305459022522,0.3351955413818359,0.6928755640983582,23.0,23,0.1490000039339065,0.1718999966979026,0.1673999950289726,0.1758000031113624,0.2767000049352646,0.3095500022172928,0.3356000036001205,0.3231499940156936,0.2423000037670135,0.178349994122982,0.310214564204216,0.2967356741428375,0.2571698725223541,0.1560638546943664,0.2840328067541122,0.3333620429039001,0.3098091632127762,0.3512504696846008,0.3419999778270721,0.6901908218860626,23.0,23,0.0505566149950027,0.0252631902694702,0.0462575182318687,0.0359007753431797,0.0267886966466903,0.1259101927280426,0.0069626569747924,0.017342522740364,0.0115730166435241,2025,buffer,20.0,16
A1:crown_0005,A1,A1_master.geojson,4,crown_0005,5,Pilkhan,Pilkhan,clean,,,,,77.19668391418418,28.542689260632287,2,1,0,0,0,0,0,0.1430749967694282,0.1605250015854835,0.1486750021576881,0.2060250043869018,0.3378000110387802,0.3757749944925308,0.2907250076532364,0.3921250104904175,0.2939499914646148,0.2028499916195869,0.3176535665988922,0.2932668328285217,0.3147487044334411,-0.0030952340457588,0.1724250763654709,0.3087339103221893,0.3107345849275589,0.3512211441993713,0.3373076319694519,0.6892654299736023,20.0,20,0.1372999995946884,0.1729749962687492,0.1752500012516975,0.2252999991178512,0.403574988245964,0.4619249999523163,0.3331499993801117,0.4883500039577484,0.3507000058889389,0.2378250062465667,0.3235714137554168,0.315906822681427,0.3590723872184753,-0.0111002842895686,0.1761543154716491,0.29396653175354,0.2940170615911484,0.3523471802473068,0.3522616475820541,0.7059829831123352,20.0,20,0.1673499941825866,0.1935499906539917,0.1820999979972839,0.2405999898910522,0.3798500001430511,0.4426000118255615,0.3817000091075897,0.4650000035762787,0.3440999984741211,0.2419999986886978,0.3740365505218506,0.3372829556465149,0.3165544271469116,0.0639864802360534,0.2285493612289428,0.4243068993091583,0.3099444508552551,0.3583946824073791,0.3327187597751617,0.6900556087493896,20.0,20,0.1409250050783157,0.1599999964237213,0.1512750089168548,0.1969500035047531,0.3495499938726425,0.3983500003814697,0.3227249979972839,0.4200500100851059,0.3093249946832657,0.2088000029325485,0.3279184103012085,0.2981060892343521,0.3610259294509887,0.040607526898384,0.2217916622757911,0.3528145253658294,0.3111383467912674,0.3524167090654373,0.3340552151203155,0.6888616681098938,20.0,20,0.0563829839229583,0.0440161228179931,0.0462772250175476,0.0750867645256221,0.0561242848634719,0.1303403675556183,0.0071735382080078,0.0195428878068923,0.0171213150024414,2025,buffer,20.0,16
A1:crown_0010,A1,A1_master.geojson,9,crown_0010,10,Sheesham,Sheesham,clean,,,,,77.19684235857616,28.54269840693636,2,1,0,0,0,0,0,0.1441499963402748,0.1611000001430511,0.152149997651577,0.1921000033617019,0.3071999996900558,0.3378999978303909,0.2845499962568283,0.3547499924898147,0.2651000022888183,0.1887499988079071,0.3067328780889511,0.2901064306497574,0.3020209819078445,0.0271723989862948,0.2067339643836021,0.2817934155464172,0.3116344958543777,0.348108097910881,0.3391604721546173,0.6883654892444611,23.0,23,0.1429499983787536,0.1748000010848045,0.175649993121624,0.2129499986767768,0.3445499986410141,0.3924000114202499,0.3446999937295913,0.4183000028133392,0.316550001502037,0.2234999984502792,0.325836569070816,0.3128011375665664,0.3386398553848266,0.0754584111273288,0.2335672974586486,0.3023881763219833,0.2950910329818725,0.3534926772117615,0.3519930243492126,0.7049089670181274,23.0,23,0.1730999946594238,0.2003999948501587,0.1889999955892563,0.2372000068426132,0.3598999977111816,0.4101000130176544,0.3833999931812286,0.4296999871730804,0.3230000138282776,0.2382999956607818,0.3719887137413025,0.3374111652374267,0.3238012194633484,0.0927413925528526,0.2728304266929626,0.4177230298519134,0.3064717054367065,0.3583566844463348,0.3338473737239837,0.6935283541679382,23.0,23,0.1420499980449676,0.1603999957442283,0.1563000008463859,0.1856500059366226,0.3121500015258789,0.3530000001192093,0.3265499919652939,0.3725500106811523,0.2791500091552734,0.1934499964118003,0.3253291100263595,0.3000683784484863,0.3378239274024963,0.0880001932382583,0.261572316288948,0.3487589657306671,0.3098688274621963,0.3513331264257431,0.3390261828899383,0.6901311576366425,23.0,23,0.0652558356523513,0.0473047345876693,0.0366188734769821,0.0655689935665577,0.0660964623093605,0.1359296143054962,0.0102485865354537,0.0181456506252288,0.0165434777736663,2025,buffer,20.0,16
A1:crown_0013,A1,A1_master.geojson,12,crown_0013,13,Silk cotton,Semal,clean,,,,,77.1968528084812,28.54295000409686,2,1,0,0,0,1,1,0.1535749956965446,0.170750007033348,0.1714750006794929,0.1873749941587448,0.2550750076770782,0.2762750089168548,0.3030000030994415,0.2900000065565109,0.2296999916434288,0.1802999973297119,0.2864369750022888,0.2821728587150574,0.2369065135717392,0.1321601383388042,0.2524467930197716,0.2902498096227646,0.3109454661607742,0.3479774296283722,0.345291793346405,0.689054548740387,22.0,22,0.1601250022649765,0.1905499994754791,0.1983250007033348,0.2106499969959259,0.3087500035762787,0.3370999991893768,0.3411499857902527,0.3494250029325485,0.2696500122547149,0.2078250050544738,0.2752779573202133,0.2868929207324981,0.2748199701309204,0.1131477206945419,0.2534455209970474,0.2884049415588379,0.2968937158584595,0.3500378578901291,0.3524090051651001,0.7031062543392181,22.0,22,0.1805000007152557,0.2159000039100647,0.2069500088691711,0.2367500066757202,0.3507000207901001,0.3878999948501587,0.3849999904632568,0.4026499986648559,0.3120499849319458,0.2293999940156936,0.3286749124526977,0.314625084400177,0.2914736270904541,0.1254352033138275,0.2758657336235046,0.3730249404907226,0.3054084181785583,0.3546468615531921,0.3408276736736297,0.6945915818214417,22.0,22,0.1491499990224838,0.1686500012874603,0.1687249988317489,0.1848749965429306,0.2803249955177307,0.3123749941587448,0.3290499895811081,0.3241249918937683,0.2486750036478042,0.1848750114440918,0.2964905351400375,0.2921400070190429,0.2472570464015007,0.1378208696842193,0.2697297632694244,0.3243840932846069,0.3098419159650802,0.348701149225235,0.3428203016519546,0.6901580691337585,22.0,22,0.0533969551324844,0.0324522256851196,0.0545671135187149,0.0246731489896774,0.023418940603733,0.0846199989318847,0.0066694319248199,0.0115813314914703,0.0140517055988311,2025,buffer,20.0,16
A1:crown_0016,A1,A1_master.geojson,15,crown_0016,16,Bottlebrush,Bottlebrush,clean,,,,,77.19738049883122,28.543222019995163,0,0,0,0,0,0,0,0.1504500061273574,0.1648000031709671,0.165750004351139,0.1828500032424926,0.2331499978899955,0.2439000010490417,0.2879499942064285,0.2517000064253807,0.2040500044822693,0.1704499945044517,0.2453082054853439,0.2532168328762054,0.1622433513402938,0.1846067681908607,0.2615822106599808,0.2374659329652786,0.3116770535707474,0.3449360430240631,0.3448235988616943,0.6883229315280914,21.0,21,0.1543000042438507,0.1867500022053718,0.1935000047087669,0.2098499983549118,0.2709500044584274,0.2838000059127807,0.3595000058412552,0.2989500015974045,0.25,0.2104500010609626,0.2762890160083771,0.2861609160900116,0.1855056136846542,0.1757091879844665,0.257311463356018,0.2895283699035644,0.2920711785554886,0.350335881114006,0.3528370410203933,0.7079288065433502,21.0,21,0.1732999980449676,0.2047999948263168,0.2012999951839447,0.2320999950170517,0.3165000081062317,0.3431999981403351,0.3962000012397766,0.3535999953746795,0.2822000086307525,0.2296999990940094,0.3444581031799316,0.3158979117870331,0.2111014574766159,0.2139988839626312,0.3092034459114074,0.4079319536685943,0.3093050420284271,0.3569075763225555,0.3366948366165161,0.6906949281692505,21.0,21,0.1485999971628189,0.1666999980807304,0.1650499999523162,0.1882999986410141,0.2675999999046325,0.2889499962329864,0.3335500061511993,0.2979499995708465,0.2316000014543533,0.1820499971508979,0.3026953786611557,0.2844672948122024,0.1704584211111068,0.1987545490264892,0.2978562116622925,0.3356839269399643,0.3078475892543793,0.35202057659626,0.3376309722661972,0.6921524703502655,21.0,21,0.0991498976945877,0.0626810789108276,0.048858106136322,0.0382896959781646,0.0518919825553894,0.1704660207033157,0.0119715332984924,0.0161422044038772,0.0196058750152587,2025,buffer,20.0,16
A1:crown_0025,A1,A1_master.geojson,24,crown_0025,25,Bakain tree,Bakain,clean,,,,,77.19680258059181,28.54346390281651,2,1,0,0,0,0,0,0.1407749950885772,0.1572999954223632,0.1494249999523162,0.1874749958515167,0.2294999957084655,0.241175003349781,0.2950000017881393,0.2467749938368797,0.2107249945402145,0.1811000108718872,0.3369390517473221,0.3143118768930435,0.1407345086336136,0.1785981953144073,0.2559801042079925,0.3152182251214981,0.3124886155128479,0.3511394262313843,0.3389664590358734,0.6875113844871521,22.0,22,0.1291250027716159,0.1615249961614608,0.1590500026941299,0.2046749964356422,0.2552499920129776,0.2628749907016754,0.3415000140666961,0.2697750031948089,0.2492999956011772,0.211725004017353,0.3710947930812835,0.3630085438489914,0.1455169096589088,0.1604247316718101,0.2380416616797447,0.3556551188230514,0.2966849654912948,0.355572372674942,0.3480241596698761,0.703315019607544,22.0,22,0.1594499945640564,0.1853500008583068,0.169400006532669,0.2320500016212463,0.2999500036239624,0.3233500123023987,0.3761000037193298,0.3295999765396118,0.2845000028610229,0.2336499989032745,0.4010101556777954,0.3725622892379761,0.2003211379051208,0.1706353724002838,0.2715206444263458,0.4444732666015625,0.3070394992828369,0.3590582907199859,0.33428555727005,0.6929605603218079,22.0,22,0.1373249962925911,0.1582499966025352,0.1479000002145767,0.1946749985218048,0.254375010728836,0.2696499824523926,0.3332000076770782,0.2759999930858612,0.2274750024080276,0.1910750046372413,0.3599198013544082,0.337106853723526,0.1553314998745918,0.1822073683142662,0.2708712518215179,0.3827325403690338,0.3077440857887268,0.3555507808923721,0.3348845839500427,0.6922559142112732,22.0,22,0.0640711039304733,0.0582504123449325,0.0595866292715072,0.021782636642456,0.0334789827466011,0.1292550414800644,0.0079188644886016,0.013738602399826,0.0158036351203918,2025,buffer,20.0,16
A1:crown_0026,A1,A1_master.geojson,25,crown_0026,26,Amaltas,Amaltas,clean,,,,,77.19675940233984,28.543644589850416,2,1,0,1,1,0,1,0.1400000005960464,0.1556750014424324,0.1457500010728836,0.201674997806549,0.2538249939680099,0.2617749869823456,0.3194499909877777,0.2657999992370605,0.2221250012516975,0.1905500069260597,0.3675819337368011,0.3452417105436325,0.1200056746602058,0.1712417379021644,0.2436990365386009,0.3452859818935394,0.3124897181987762,0.3514183163642883,0.3388489484786987,0.6875102818012238,22.0,22,0.1272749975323677,0.1617249920964241,0.1542999893426895,0.2202499955892563,0.2555999904870987,0.2633000016212463,0.3819500058889389,0.2713250070810318,0.2517500072717666,0.2213499993085861,0.4512380063533783,0.4285429120063782,0.099858172237873,0.188592217862606,0.2462613955140113,0.4329668581485748,0.2970177680253982,0.3623186200857162,0.3431981205940246,0.7029822468757629,22.0,22,0.156700000166893,0.1826499998569488,0.1655499935150146,0.2357499897480011,0.2965999841690063,0.3120999932289123,0.3897500038146972,0.3267000019550323,0.2886500060558319,0.2409500032663345,0.4341319799423218,0.3960651755332947,0.1418902277946472,0.187428206205368,0.2748520374298095,0.4842598438262939,0.3088182210922241,0.3611828684806824,0.3311840295791626,0.6911817789077759,22.0,22,0.1358499974012375,0.1559500098228454,0.1460249945521354,0.1959750056266784,0.2534749954938888,0.2684749960899353,0.3461499810218811,0.2762500047683716,0.2280000001192093,0.1917500048875808,0.3909485638141632,0.3659922480583191,0.1245315298438072,0.2012687623500824,0.2851605713367462,0.4198242872953415,0.3086343854665756,0.3555283546447754,0.3345144093036651,0.6913656294345856,22.0,22,0.0836560726165771,0.0833012014627456,0.0420320555567741,0.0300270244479179,0.0414615347981452,0.1389738619327545,0.0109003037214279,0.012014091014862,0.0154719650745391,2025,buffer,20.0,16
A1:crown_0029,A1,A1_master.geojson,28,crown_0029,29,Amaltas,Amaltas,clean,,,,,77.1973212663688,28.54349861846121,2,1,0,1,1,0,1,0.1430249959230423,0.1581750065088272,0.1502749994397163,0.1923750042915344,0.2255249992012977,0.2305999994277954,0.2962000072002411,0.235725000500679,0.2093749940395355,0.1821749955415725,0.3135881274938583,0.2960102260112762,0.1063483618199825,0.1788810044527053,0.2547048926353454,0.3104604929685592,0.3121669292449951,0.3490824699401855,0.3375348895788193,0.6878330409526825,20.0,20,0.1358750015497207,0.1680499985814094,0.1673999950289726,0.211899995803833,0.242199994623661,0.2516500055789947,0.3182749897241592,0.2581499963998794,0.2438249886035919,0.2128749936819076,0.3059166073799133,0.3028273433446884,0.0995024666190147,0.1453272700309753,0.1956076100468635,0.2844296842813492,0.2953193038702011,0.3520385473966598,0.3509674966335296,0.7046806812286377,20.0,20,0.1422500014305114,0.1775999963283538,0.1620499938726425,0.2334000021219253,0.2828499972820282,0.2961000204086303,0.3866000175476074,0.3111000061035156,0.2789499759674072,0.2381999939680099,0.4147625565528869,0.3895852565765381,0.1339416950941085,0.1950928270816803,0.2786396741867065,0.4540193080902099,0.3003204762935638,0.3626512885093689,0.3336469829082489,0.6996794939041138,20.0,20,0.1385250017046928,0.1561499983072281,0.1468250006437301,0.1929499953985214,0.2374500036239624,0.248549997806549,0.3273249864578247,0.2501250058412552,0.2167249917984008,0.1848499998450279,0.348247766494751,0.327488511800766,0.117703553289175,0.1931832581758499,0.2744111716747284,0.377436563372612,0.3117671012878418,0.3538027554750442,0.3340312391519546,0.6882329285144806,20.0,20,0.1088459491729736,0.0935750305652618,0.0344392284750938,0.0497655570507049,0.0830320641398429,0.1695896238088607,0.0135688185691833,0.0173205137252807,0.0168476402759552,2025,buffer,20.0,16
A1:crown_0036,A1,A1_master.geojson,35,crown_0036,36,Shisham,Sheesham,clean,,,,,77.19752098903943,28.54288192522995,2,1,0,0,0,0,0,0.14894999563694,0.1611500009894371,0.1608999967575073,0.1871000006794929,0.2521749883890152,0.27012500166893,0.3070999979972839,0.2815250009298324,0.2219499945640564,0.1810500025749206,0.3151259273290634,0.3098564147949219,0.1899750828742981,0.1644369214773178,0.2726263552904129,0.3146243989467621,0.3128867745399475,0.3435814976692199,0.3438874036073684,0.6871132254600525,22.0,22,0.1431749984622001,0.1809499934315681,0.1850500032305717,0.2148250043392181,0.2852750122547149,0.3021000027656555,0.323400005698204,0.3166999816894531,0.2670499831438064,0.21492500603199,0.2961637675762176,0.3047607243061065,0.2000382095575332,0.1124080084264278,0.2160103619098663,0.2782699018716812,0.2904306948184967,0.3484354019165039,0.3618675172328949,0.7095692753791809,22.0,22,0.1677500009536743,0.1998499929904937,0.1854999959468841,0.2389499992132187,0.3337500095367431,0.3689000010490417,0.3849999904632568,0.3793500065803528,0.2984499931335449,0.2296999990940094,0.3749978244304657,0.3547793626785278,0.2518423795700073,0.1525617688894271,0.2890195250511169,0.4326050877571106,0.3012101650238037,0.3582968711853027,0.3355173468589782,0.6987898349761963,22.0,22,0.144349992275238,0.1633500009775161,0.1622000038623809,0.194474995136261,0.2760500013828277,0.3016250133514404,0.3391999900341034,0.3124000132083893,0.2387250065803527,0.1906249970197677,0.3291361629962921,0.3193743824958801,0.19356569647789,0.1737350597977638,0.28249491751194,0.3662511557340622,0.306500494480133,0.3500678688287735,0.3422622680664062,0.6934994757175446,22.0,22,0.078834056854248,0.0500186383724212,0.0618672966957092,0.0613270513713359,0.0730091631412506,0.1543351858854293,0.0147153735160827,0.0263501703739166,0.0224560499191284,2025,buffer,20.0,16
A1:crown_0037,A1,A1_master.geojson,36,crown_0037,37,Neem,Neem,clean,,,,,77.19769915085098,28.54297848044581,1,0,0,0,0,0,0,0.1489500030875206,0.1645499914884567,0.1640750020742416,0.1908250078558921,0.2529749944806099,0.2708000093698501,0.3223999887704849,0.2804750055074692,0.222474992275238,0.1820999979972839,0.3164116591215133,0.3198064714670181,0.1845792979001999,0.1777327805757522,0.2832413017749786,0.3099594712257385,0.3096645027399063,0.3464070558547973,0.3450144082307815,0.6903354823589325,22.0,22,0.1446500048041343,0.1816499978303909,0.185525007545948,0.2154249995946884,0.2854250073432922,0.2988499999046325,0.3344250023365021,0.3143250048160553,0.2663749903440475,0.2151750028133392,0.2879997044801712,0.3155205547809601,0.1872809156775474,0.1334420442581176,0.2287530750036239,0.2731123864650726,0.2872634828090668,0.3476872444152832,0.3640905022621155,0.7127365171909332,22.0,22,0.1630499958992004,0.193800002336502,0.1889500021934509,0.2382000088691711,0.3305000066757202,0.3623000085353851,0.3899999856948852,0.3725000023841858,0.2968499958515167,0.2311500012874603,0.3792117238044739,0.3632750511169433,0.2282482981681823,0.1636695563793182,0.2783932089805603,0.4428986608982086,0.3016701638698578,0.3566431999206543,0.3373982608318329,0.6983298659324646,22.0,22,0.1441749930381775,0.1639750003814697,0.1602749973535537,0.1959500014781952,0.2758250087499618,0.3023499846458435,0.354075014591217,0.312375009059906,0.2390500009059906,0.1921000033617019,0.3389756828546524,0.3324058353900909,0.1929967999458313,0.1794344335794448,0.2909269630908966,0.3803406804800033,0.3061014115810394,0.3499269038438797,0.3378739804029464,0.6938985586166382,22.0,22,0.0912120193243026,0.0477544963359832,0.0436690002679824,0.0459923893213272,0.0621738880872726,0.169786274433136,0.0102361440658569,0.0266922414302825,0.0224010348320007,2025,buffer,20.0,16
