crown_uid,area,species_clean,species_raw,species_status,tree_type_raw,lon,lat,label_acacia,label_esd,label_deciduous,label_yellow_strict,label_yellow_broad,label_red_showy,label_showy_flower,winter_B2,winter_B3,winter_B4,winter_B5,winter_B6,winter_B7,winter_B8,winter_B8A,winter_B11,winter_B12,winter_NDVI,winter_GNDVI,winter_NDRE,winter_NDMI,winter_NBR,winter_EVI,winter_blue_ratio,winter_green_ratio,winter_red_ratio,winter_yellow_proxy,winter_valid_pixels_median,winter_valid_pixels_max,premonsoon_B2,premonsoon_B3,premonsoon_B4,premonsoon_B5,premonsoon_B6,premonsoon_B7,premonsoon_B8,premonsoon_B8A,premonsoon_B11,premonsoon_B12,premonsoon_NDVI,premonsoon_GNDVI,premonsoon_NDRE,premonsoon_NDMI,premonsoon_NBR,premonsoon_EVI,premonsoon_blue_ratio,premonsoon_green_ratio,premonsoon_red_ratio,premonsoon_yellow_proxy,premonsoon_valid_pixels_median,premonsoon_valid_pixels_max,monsoon_B2,monsoon_B3,monsoon_B4,monsoon_B5,monsoon_B6,monsoon_B7,monsoon_B8,monsoon_B8A,monsoon_B11,monsoon_B12,monsoon_NDVI,monsoon_GNDVI,monsoon_NDRE,monsoon_NDMI,monsoon_NBR,monsoon_EVI,monsoon_blue_ratio,monsoon_green_ratio,monsoon_red_ratio,monsoon_yellow_proxy,monsoon_valid_pixels_median,monsoon_valid_pixels_max,postmonsoon_B2,postmonsoon_B3,postmonsoon_B4,postmonsoon_B5,postmonsoon_B6,postmonsoon_B7,postmonsoon_B8,postmonsoon_B8A,postmonsoon_B11,postmonsoon_B12,postmonsoon_NDVI,postmonsoon_GNDVI,postmonsoon_NDRE,postmonsoon_NDMI,postmonsoon_NBR,postmonsoon_EVI,postmonsoon_blue_ratio,postmonsoon_green_ratio,postmonsoon_red_ratio,postmonsoon_yellow_proxy,postmonsoon_valid_pixels_median,postmonsoon_valid_pixels_max,NDVI_amp,GNDVI_amp,NDRE_amp,NDMI_amp,NBR_amp,EVI_amp,green_ratio_amp,red_ratio_amp,yellow_proxy_amp,stac_year,geometry_mode,buffer_meters,stac_item_count
SV_S1:crown_0001,SV_S1,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,77.17585423028552,28.532057397420136,1,-1,-1,-1,-1,-1,-1,0.13804999738931656,0.15264999866485596,0.14285000413656235,0.18005000054836273,0.27170000970363617,0.297449991106987,0.27059999108314514,0.31040000915527344,0.23674999922513962,0.17265000194311142,0.31973402202129364,0.29874828457832336,0.24682697653770447,0.05016575939953327,0.2124832719564438,0.29189932346343994,0.30887381732463837,0.352979376912117,0.3343481868505478,0.6911261975765228,9.0,9,0.12439999729394913,0.14820000529289246,0.1428000032901764,0.19455000013113022,0.2780499905347824,0.2963999956846237,0.2638999968767166,0.3127500116825104,0.2627499997615814,0.19769999384880066,0.2643449008464813,0.25129301100969315,0.24491237103939056,-0.006864818977192044,0.13001153618097305,0.23193863034248352,0.3002050220966339,0.36164775490760803,0.3432445526123047,0.6997949182987213,9.0,9,0.15240000188350677,0.17235000431537628,0.15569999814033508,0.21294999867677689,0.35144999623298645,0.3932500034570694,0.3622500002384186,0.4166499972343445,0.27824999392032623,0.19220000505447388,0.38585926592350006,0.3422442227602005,0.3411261737346649,0.129946518689394,0.29743100702762604,0.4117368161678314,0.3152536004781723,0.3612457662820816,0.3247595280408859,0.6847464144229889,9.0,9,0.1287499964237213,0.14935000240802765,0.13729999959468842,0.17559999972581863,0.30174998939037323,0.33595000207424164,0.34095001220703125,0.3537999987602234,0.2496500015258789,0.16984999924898148,0.42659085988998413,0.37597091495990753,0.3268432468175888,0.1407499499619007,0.32905691862106323,0.4387465864419937,0.3078022748231888,0.3631942719221115,0.32892194390296936,0.6921977400779724,9.0,9,0.1622459590435028,0.12467790395021439,0.09621380269527435,0.14761476893909276,0.19904538244009018,0.2068079560995102,0.010214895009994507,0.018485024571418762,0.015048503875732422,2025,buffer,10.0,16
SV_S1:crown_0002,SV_S1,Prosopis Juliflora,Prosopis Juliflora,clean,Acacia,77.17597511725991,28.53206116694076,1,-1,-1,-1,-1,-1,-1,0.1370999962091446,0.15405000001192093,0.1416499987244606,0.18174999952316284,0.2762500047683716,0.29934999346733093,0.32580000162124634,0.3173000067472458,0.241349995136261,0.1749500036239624,0.3701361119747162,0.3348010331392288,0.24870772659778595,0.1310376524925232,0.296315461397171,0.36638621985912323,0.308692991733551,0.3578248471021652,0.3341107964515686,0.691307008266449,9.0,9,0.1140499971807003,0.149399995803833,0.13725000619888306,0.1944499984383583,0.28094999492168427,0.30254998803138733,0.34870000183582306,0.31759999692440033,0.2627499997615814,0.19709999859333038,0.45304571092128754,0.41586755216121674,0.26512593030929565,0.1247866339981556,0.26266680657863617,0.4219227433204651,0.30054427683353424,0.36838312447071075,0.3349560648202896,0.699455738067627,9.0,9,0.14990000426769257,0.17189999669790268,0.15405000001192093,0.21534999459981918,0.3550499975681305,0.39624999463558197,0.39150001108646393,0.42090000212192535,0.2814500033855438,0.19420000165700912,0.43381310999393463,0.38656601309776306,0.34323905408382416,0.1561279222369194,0.3325043171644211,0.4883776605129242,0.31487688422203064,0.3614424020051956,0.3225792348384857,0.6851231753826141,9.0,9,0.12800000235438347,0.1488500013947487,0.13474999368190765,0.17680000513792038,0.3104500025510788,0.3415500074625015,0.36400000751018524,0.3645000010728836,0.2510500028729439,0.17000000178813934,0.45766015350818634,0.4136193096637726,0.33499813079833984,0.18650805950164795,0.36240771412849426,0.4766491651535034,0.3095683604478836,0.3627202808856964,0.3280118405818939,0.6904316544532776,9.0,9,0.08752404153347015,0.08106651902198792,0.09453132748603821,0.061721425503492355,0.0997409075498581,0.12199144065380096,0.010558277368545532,0.012376829981803894,0.014332562685012817,2025,buffer,10.0,16
SV_S1:crown_0003,SV_S1,,,missing,,77.17596269648199,28.532502853202793,1,-1,-1,-1,-1,-1,-1,0.1351500004529953,0.15129999816417694,0.13609999418258667,0.1819000020623207,0.2707500010728836,0.296750009059906,0.2721000015735626,0.3150999993085861,0.2430500015616417,0.1765500009059906,0.3098336458206177,0.28549960255622864,0.2529529705643654,0.05486403778195381,0.21470315754413605,0.27225883305072784,0.3120359778404236,0.3557443767786026,0.33312880992889404,0.687963992357254,9.0,9,0.11915000155568123,0.15164999663829803,0.14180000126361847,0.19224999845027924,0.27480000257492065,0.2935499995946884,0.30309998989105225,0.3148999959230423,0.2717999964952469,0.20409999787807465,0.3895476311445236,0.3637344539165497,0.26188698410987854,0.05431714095175266,0.20138764381408691,0.35197776556015015,0.30650587379932404,0.36613257229328156,0.33387790620326996,0.6934941411018372,9.0,9,0.14750000089406967,0.16620000451803207,0.1508999988436699,0.21684999763965607,0.374549999833107,0.4187999963760376,0.35019999742507935,0.4458499997854233,0.28335000574588776,0.19089999794960022,0.3977348208427429,0.36360029876232147,0.3626958876848221,0.10063508525490761,0.2923421412706375,0.44274577498435974,0.31625156104564667,0.3573792725801468,0.32201726734638214,0.6837484240531921,9.0,9,0.12604999914765358,0.14545000344514847,0.13350000232458115,0.1765500009059906,0.3217500001192093,0.35795000195503235,0.30834999680519104,0.37860000133514404,0.2558000013232231,0.1699500009417534,0.4094887524843216,0.37518660724163055,0.3494396209716797,0.10166845098137856,0.2931086868047714,0.3911677598953247,0.3105541169643402,0.35946960747241974,0.32654888927936554,0.6894459128379822,9.0,9,0.09965510666370392,0.08968700468540192,0.1097429171204567,0.04735131002962589,0.09172104299068451,0.1704869419336319,0.010388195514678955,0.011860638856887817,0.00974571704864502,2025,buffer,10.0,16
SV_S1:crown_0004,SV_S1,,,missing,,77.17605027752465,28.531950778280105,1,-1,-1,-1,-1,-1,-1,0.13740000128746033,0.15644999593496323,0.1431499943137169,0.18044999986886978,0.27355000376701355,0.2979999929666519,0.33440001308918,0.31450000405311584,0.241349995136261,0.1749500036239624,0.38329577445983887,0.34857888519763947,0.24815421551465988,0.15899988263845444,0.3126201033592224,0.37569762766361237,0.3077612817287445,0.3587690740823746,0.3335813581943512,0.6922387182712555,9.0,9,0.11524999886751175,0.149849995970726,0.13805000483989716,0.19244999438524246,0.28300000727176666,0.3050000071525574,0.3511500060558319,0.3220999985933304,0.2639999985694885,0.1967500001192093,0.44978193938732147,0.4145275056362152,0.27346333861351013,0.13678822293877602,0.27239248156547546,0.42720258235931396,0.2988741993904114,0.36928530037403107,0.33364062011241913,0.7011258900165558,9.0,9,0.14880000054836273,0.17275000363588333,0.15424999594688416,0.2183999940752983,0.35819999873638153,0.4006499946117401,0.41554999351501465,0.4259500056505203,0.2848000079393387,0.1960500031709671,0.45722562074661255,0.4098716527223587,0.33963002264499664,0.18452009558677673,0.35473042726516724,0.5385938286781311,0.31399397552013397,0.363245889544487,0.32129329442977905,0.6860059797763824,9.0,9,0.12855000421404839,0.15110000222921371,0.13484999537467957,0.1749500036239624,0.3071500062942505,0.33685000240802765,0.3918999880552292,0.3566499948501587,0.2510500028729439,0.17045000195503235,0.48067115247249603,0.4392295330762863,0.32530948519706726,0.2123415470123291,0.3922305256128311,0.5181251615285873,0.30832311511039734,0.3645416498184204,0.32685571908950806,0.6916768848896027,9.0,9,0.09737537801265717,0.09065064787864685,0.09147580713033676,0.07555332407355309,0.11983804404735565,0.16289620101451874,0.010516226291656494,0.012347325682640076,0.01511991024017334,2025,buffer,10.0,16
SV_S1:crown_0005,SV_S1,,,missing,,77.17625979344919,28.53191261246074,0,-1,-1,-1,-1,-1,-1,0.13749999552965164,0.15280000120401382,0.1436000019311905,0.18104999512434006,0.26350000500679016,0.28710000216960907,0.304749995470047,0.30220000445842743,0.2332499995827675,0.17009999603033066,0.3709896057844162,0.33879654109477997,0.2415391206741333,0.12746497243642807,0.28328634798526764,0.34313932061195374,0.31072889268398285,0.35359466075897217,0.33573222160339355,0.6892711222171783,7.0,7,0.11654999852180481,0.14935000240802765,0.14220000058412552,0.1973000019788742,0.2825000137090683,0.30150000751018524,0.2973500043153763,0.32465000450611115,0.2732999920845032,0.20470000058412552,0.37308938801288605,0.36356721818447113,0.2502210736274719,0.05329107865691185,0.1919480711221695,0.32946527004241943,0.3001631200313568,0.36155736446380615,0.3422563225030899,0.6998368799686432,7.0,7,0.15160000324249268,0.17480000108480453,0.1538499966263771,0.22664999961853027,0.36294999718666077,0.40585000813007355,0.42260000109672546,0.4280499964952469,0.2887499928474426,0.1988999992609024,0.4678218960762024,0.4225437492132187,0.3260101228952408,0.2055853083729744,0.3711850494146347,0.5555832982063293,0.3153828978538513,0.3627382814884186,0.3214769661426544,0.6846171319484711,7.0,7,0.12885000184178352,0.14949999749660492,0.1351500004529953,0.17614999413490295,0.2935499995946884,0.3241500109434128,0.36480000615119934,0.3425000011920929,0.24785000085830688,0.1708500012755394,0.45747463405132294,0.42463812232017517,0.30627432465553284,0.20077084004878998,0.3687347173690796,0.4766443371772766,0.3099212199449539,0.3614007830619812,0.32767558097839355,0.6900787353515625,7.0,7,0.0968322902917862,0.0858415812253952,0.08447100222110748,0.15229422971606255,0.1792369782924652,0.2261180281639099,0.009143620729446411,0.020779356360435486,0.01521974802017212,2025,buffer,10.0,16
SV_S1:crown_0006,SV_S1,,,missing,,77.17566411485164,28.532381072634674,0,-1,-1,-1,-1,-1,-1,0.13385000079870224,0.1502000018954277,0.13665000349283218,0.1777000054717064,0.280799999833107,0.3054500073194504,0.33344998955726624,0.3224000036716461,0.2373500019311905,0.17139999568462372,0.4059985727071762,0.3751286566257477,0.26474691182374954,0.1556408703327179,0.3090621531009674,0.3840339034795761,0.3104250580072403,0.357560858130455,0.3317921906709671,0.6895748972892761,7.0,7,0.11614999920129776,0.15035000443458557,0.14509999752044678,0.19455000013113022,0.2672500014305115,0.2848999947309494,0.3272999972105026,0.3032499998807907,0.2692499905824661,0.20760000497102737,0.40375033020973206,0.380844846367836,0.23519250750541687,0.08345142379403114,0.20943928509950638,0.34653323888778687,0.2965886890888214,0.3622347265481949,0.3463958650827408,0.7034113705158234,7.0,7,0.1440500020980835,0.17190000414848328,0.15025000274181366,0.21285000443458557,0.3705500066280365,0.4174499958753586,0.42339999973773956,0.4465000033378601,0.2810000032186508,0.19165000319480896,0.49325571954250336,0.4394002705812454,0.3597593456506729,0.20903106778860092,0.3953586369752884,0.5547305345535278,0.30939018726348877,0.36805135011672974,0.3216647207736969,0.6906098127365112,7.0,7,0.12745000049471855,0.14625000208616257,0.1310499981045723,0.17715000361204147,0.3316499888896942,0.3665499985218048,0.36455000936985016,0.38725000619888306,0.2556000053882599,0.16905000060796738,0.46228350698947906,0.4207327216863632,0.3616945147514343,0.17765790224075317,0.367419570684433,0.47949209809303284,0.31027287244796753,0.36372336745262146,0.3255389630794525,0.6897271275520325,7.0,7,0.0895053893327713,0.06427161395549774,0.12650200724601746,0.12557964399456978,0.185919351875782,0.20819729566574097,0.01049049198627472,0.024731144309043884,0.013836473226547241,2025,buffer,10.0,16
SV_S1:crown_0007,SV_S1,,,missing,,77.17633432529188,28.5321887790325,1,-1,-1,-1,-1,-1,-1,0.14060000330209732,0.1564750075340271,0.14372500777244568,0.18347500264644623,0.2864750027656555,0.3123749792575836,0.33709999918937683,0.33320000767707825,0.24642499536275864,0.17395000159740448,0.39177335798740387,0.36600497364997864,0.26883837580680847,0.1490783989429474,0.3147086501121521,0.3815191984176636,0.3076840043067932,0.35490696132183075,0.3349928855895996,0.6923159658908844,8.0,8,0.11767499893903732,0.15119999647140503,0.1464500054717064,0.18645000457763672,0.26635000109672546,0.28767500817775726,0.34645000100135803,0.3090749979019165,0.26602500677108765,0.1962750032544136,0.40478992462158203,0.39588242769241333,0.2595358341932297,0.11399534344673157,0.2597446143627167,0.376072034239769,0.3005886822938919,0.3651244044303894,0.3416464924812317,0.6994112730026245,8.0,8,0.15537500381469727,0.18024999648332596,0.15642499923706055,0.2225000038743019,0.3725000023841858,0.4190249890089035,0.44269999861717224,0.4402250051498413,0.2886250168085098,0.19802500307559967,0.476807177066803,0.4196827560663223,0.35230834782123566,0.21250373870134354,0.3830925077199936,0.5864136219024658,0.3149791657924652,0.3675200343132019,0.31853926181793213,0.6850208342075348,8.0,8,0.130124993622303,0.15102499723434448,0.1362750008702278,0.17767499387264252,0.31577499210834503,0.3500500023365021,0.40790000557899475,0.374224990606308,0.2581250071525574,0.17114999890327454,0.4862257093191147,0.43955814838409424,0.34194085001945496,0.22543785721063614,0.4057534337043762,0.5421654731035233,0.30890533328056335,0.3648875206708908,0.32418887317180634,0.691094696521759,8.0,8,0.09445235133171082,0.0735531747341156,0.09277251362800598,0.11144251376390457,0.14600881934165955,0.21034158766269684,0.012613072991371155,0.02310723066329956,0.014390438795089722,2025,buffer,10.0,16
SV_S1:crown_0008,SV_S1,,,missing,,77.17613758200513,28.532532784201305,1,-1,-1,-1,-1,-1,-1,0.13517500460147858,0.14682500064373016,0.13604999333620071,0.18415000289678574,0.27947500348091125,0.30367499589920044,0.25519999116659164,0.3249000012874603,0.24972499907016754,0.17944999784231186,0.2830529510974884,0.25991083681583405,0.2601790204644203,0.01220052014105022,0.17848145961761475,0.27176035940647125,0.3141166716814041,0.3508097231388092,0.3322669416666031,0.6858833730220795,8.0,8,0.11372500285506248,0.14612499624490738,0.1381250023841858,0.19384999573230743,0.2718749940395355,0.29319998621940613,0.3026999980211258,0.31462499499320984,0.2780749946832657,0.20732499659061432,0.3958744555711746,0.37239328026771545,0.25091636925935745,0.03711612801998854,0.17929556220769882,0.3461272269487381,0.30212947726249695,0.36225996911525726,0.3364402949810028,0.6978704929351807,8.0,8,0.14810000360012054,0.16860000044107437,0.1538500040769577,0.22185000777244568,0.38602501153945923,0.43267500400543213,0.35830000042915344,0.45864999294281006,0.28949999809265137,0.19404999911785126,0.4068011939525604,0.3646688610315323,0.36711694300174713,0.1003146693110466,0.3002055883407593,0.4391060769557953,0.3150111734867096,0.3564426004886627,0.3254425972700119,0.6849888265132904,8.0,8,0.12357500195503235,0.14034999907016754,0.13004999607801437,0.1790499985218048,0.3335749953985214,0.3711250126361847,0.2942500114440918,0.3941750079393387,0.26365000009536743,0.17364999651908875,0.37721318006515503,0.3373587280511856,0.3594761937856674,0.0596489617601037,0.25600211322307587,0.36269034445285797,0.3129362314939499,0.35827916860580444,0.3300098478794098,0.6870637536048889,8.0,8,0.12374824285507202,0.11248244345188141,0.11620057374238968,0.08811414916999638,0.12172412872314453,0.16734571754932404,0.011450245976448059,0.010997697710990906,0.012881666421890259,2025,buffer,10.0,16
SV_S1:crown_0009,SV_S1,,,missing,,77.1761025518063,28.532431975142792,0,-1,-1,-1,-1,-1,-1,0.13599999994039536,0.14674999564886093,0.13669999688863754,0.18439999967813492,0.27854999899864197,0.3039500117301941,0.25839999318122864,0.32420000433921814,0.2479500100016594,0.1782499998807907,0.2789901942014694,0.25851164758205414,0.25547906011343,0.020475421100854874,0.18419527262449265,0.2659182697534561,0.3102542459964752,0.35100212693214417,0.33436839282512665,0.6897457838058472,9.0,9,0.1161000020802021,0.14754999428987503,0.14025000482797623,0.19370000064373016,0.27925001084804535,0.29955001175403595,0.303600013256073,0.3171999901533127,0.2727999985218048,0.20314999669790268,0.3957646042108536,0.3652644604444504,0.2689378708600998,0.051391977816820145,0.19290263950824738,0.3430614769458771,0.3031427413225174,0.36252881586551666,0.33522433042526245,0.6968572735786438,9.0,9,0.14874999970197678,0.1660500019788742,0.1529499962925911,0.22129999846220016,0.3805999904870987,0.4240500032901764,0.35234999656677246,0.44955000281333923,0.2869499921798706,0.19210000336170197,0.39959047734737396,0.3678490072488785,0.3588765412569046,0.10412664711475372,0.30029474198818207,0.43978381156921387,0.3169327676296234,0.35686126351356506,0.3247169405221939,0.6830672323703766,9.0,9,0.12350000068545341,0.14214999973773956,0.13019999861717224,0.17920000106096268,0.3284499943256378,0.36365000903606415,0.3004000037908554,0.3849499970674515,0.2610500007867813,0.17220000177621841,0.3879060298204422,0.3471163511276245,0.3473091721534729,0.07338375598192215,0.2707875967025757,0.3677935004234314,0.31072835624217987,0.35984453558921814,0.3279683142900467,0.6892716288566589,9.0,9,0.12060028314590454,0.10933735966682434,0.10339748114347458,0.08365122601389885,0.11609946936368942,0.17386554181575775,0.011526688933372498,0.010507389903068542,0.013790041208267212,2025,buffer,10.0,16
SV_S1:crown_0010,SV_S1,,,missing,,77.17604460678523,28.53207729999476,1,-1,-1,-1,-1,-1,-1,0.13722499459981918,0.15610000491142273,0.14287500083446503,0.1820250004529953,0.28392499685287476,0.3095000088214874,0.3326999843120575,0.32622501254081726,0.2462249994277954,0.1762249991297722,0.3727356493473053,0.34522591531276703,0.2548290342092514,0.14465540647506714,0.3063441962003708,0.3691984713077545,0.3033500462770462,0.3597515672445297,0.3346976488828659,0.696649968624115,8.0,8,0.11402500048279762,0.14862500131130219,0.13705000281333923,0.19085000455379486,0.2812249958515167,0.3038000017404556,0.3541500121355057,0.3208249807357788,0.26387500762939453,0.19644999504089355,0.45461902022361755,0.4197368621826172,0.2764190435409546,0.14328008145093918,0.2840125262737274,0.43393369019031525,0.2993944436311722,0.3702235668897629,0.3335779905319214,0.7006056010723114,8.0,8,0.1485000029206276,0.17235000431537628,0.153049997985363,0.21857499331235886,0.36077500879764557,0.4023749828338623,0.407025009393692,0.42592500150203705,0.28552500903606415,0.1962750032544136,0.4448767155408859,0.4005209505558014,0.34332457184791565,0.16835056990385056,0.33994758129119873,0.5156603753566742,0.31201693415641785,0.36185215413570404,0.3205190896987915,0.6879830360412598,8.0,8,0.12817500159144402,0.1497500017285347,0.13442499935626984,0.17697499692440033,0.31744998693466187,0.34984999895095825,0.3886749893426895,0.3708000034093857,0.25505000352859497,0.17122500389814377,0.47828641533851624,0.43378497660160065,0.34067271649837494,0.2034733071923256,0.3876716047525406,0.5135349631309509,0.3091232180595398,0.3639638125896454,0.3267944008111954,0.6908767521381378,8.0,8,0.10555076599121094,0.08855906128883362,0.08849553763866425,0.060193225741386414,0.10365907847881317,0.14646190404891968,0.010471999645233154,0.014178559184074402,0.012622565031051636,2025,buffer,10.0,16
