regime,split,holdout,seed,model,n_train,n_test,crown_bal_acc,crown_f1,crown_cm,pixel_bal_acc,pixel_f1,pixel_cm
baseline,random,n/a,42,rf_balanced,253,109,0.9459,0.8571,"[[85, 5], [1, 18]]",0.7576,0.6667,"[[89, 1], [9, 10]]"
baseline,random,n/a,42,extra_trees,253,109,0.9459,0.8571,"[[85, 5], [1, 18]]",0.914,0.8095,"[[84, 6], [2, 17]]"
augmented,random,n/a,42,rf_balanced,2324,109,0.8573,0.8,"[[88, 2], [5, 14]]",0.5,0.0,"[[90, 0], [19, 0]]"
augmented,random,n/a,42,extra_trees,2324,109,0.8518,0.7778,"[[87, 3], [5, 14]]",0.6787,0.5185,"[[89, 1], [12, 7]]"
baseline,leave_area_out,SV_S1,42,rf_balanced,325,37,0.561,0.4,"[[17, 4], [11, 5]]",0.5312,0.1176,"[[21, 0], [15, 1]]"
baseline,leave_area_out,SV_S1,42,extra_trees,325,37,0.5119,0.4706,"[[11, 10], [8, 8]]",0.4435,0.1739,"[[16, 5], [14, 2]]"
augmented,leave_area_out,SV_S1,42,rf_balanced,2396,37,0.5625,0.2222,"[[21, 0], [14, 2]]",0.5,0.0,"[[21, 0], [16, 0]]"
augmented,leave_area_out,SV_S1,42,extra_trees,2396,37,0.5625,0.2222,"[[21, 0], [14, 2]]",0.5,0.0,"[[21, 0], [16, 0]]"
baseline,leave_area_out,SV_S2,42,rf_balanced,344,18,0.5,0.4,"[[6, 3], [6, 3]]",0.5,0.0,"[[9, 0], [9, 0]]"
baseline,leave_area_out,SV_S2,42,extra_trees,344,18,0.6667,0.6667,"[[6, 3], [3, 6]]",0.5556,0.5,"[[6, 3], [5, 4]]"
augmented,leave_area_out,SV_S2,42,rf_balanced,2415,18,0.5,0.1818,"[[8, 1], [8, 1]]",0.5,0.0,"[[9, 0], [9, 0]]"
augmented,leave_area_out,SV_S2,42,extra_trees,2415,18,0.5,0.4,"[[6, 3], [6, 3]]",0.5,0.0,"[[9, 0], [9, 0]]"
baseline,leave_area_out,SV_S4,42,rf_balanced,334,28,0.725,0.6207,"[[8, 0], [11, 9]]",0.5,0.0,"[[8, 0], [20, 0]]"
baseline,leave_area_out,SV_S4,42,extra_trees,334,28,0.7875,0.8,"[[7, 1], [6, 14]]",0.75,0.6667,"[[8, 0], [10, 10]]"
augmented,leave_area_out,SV_S4,42,rf_balanced,2405,28,0.775,0.7097,"[[8, 0], [9, 11]]",0.5,0.0,"[[8, 0], [20, 0]]"
augmented,leave_area_out,SV_S4,42,extra_trees,2405,28,0.725,0.7778,"[[6, 2], [6, 14]]",0.575,0.2609,"[[8, 0], [17, 3]]"
baseline,leave_area_out,SV_S3,42,rf_balanced,337,25,0.5625,0.8293,"[[1, 7], [0, 17]]",0.5588,0.2105,"[[8, 0], [15, 2]]"
