model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8983050847457628,0.9393939393939394,0.8477419354838709,"[[87, 12], [0, 19]]","[0, 1]",
svc_rbf,threshold_cv,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8983050847457628,0.9393939393939394,0.8477419354838709,"[[87, 12], [0, 19]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.9141414141414141,0.7984932194876946,"[[82, 17], [0, 19]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.9141414141414141,0.7984932194876946,"[[82, 17], [0, 19]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8389830508474576,0.904040404040404,0.7802607076350092,"[[80, 19], [0, 19]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.864406779661017,0.89792663476874,0.8026755852842808,"[[84, 15], [1, 18]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.864406779661017,0.89792663476874,0.8026755852842808,"[[84, 15], [1, 18]]","[0, 1]",0.35
logistic_l2,default,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.886762360446571,0.8169326241134751,"[[87, 12], [2, 17]]","[0, 1]",
extra_trees,default,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9152542372881356,0.885699096225412,0.8551791850760923,"[[92, 7], [3, 16]]","[0, 1]",
rf_deeper,default,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9322033898305084,0.8745348219032429,0.8745348219032429,"[[95, 4], [4, 15]]","[0, 1]",
hist_gradient,default,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9152542372881356,0.8644338118022329,0.8494897959183674,"[[93, 6], [4, 15]]","[0, 1]",
hist_gradient,threshold_cv,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9067796610169492,0.8593833067517278,0.8376485303314571,"[[92, 7], [4, 15]]","[0, 1]",0.15
rf_balanced,default,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8983050847457628,0.8543328017012228,0.8262150220913107,"[[91, 8], [4, 15]]","[0, 1]",
extra_trees_kbest,default,exports/geom_s2_2025_buffer10_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8983050847457628,0.8543328017012228,0.8262150220913107,"[[91, 8], [4, 15]]","[0, 1]",
