model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.8571428571428571,0.7875,0.8095238095238095,"[[5, 3], [1, 19]]","[0, 1]",
logistic_l2,threshold_cv,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7857142857142857,0.625,0.6347826086956522,"[[2, 6], [0, 20]]","[0, 1]",0.2
extra_trees,default,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.5714285714285714,0.55,0.5333333333333333,"[[4, 4], [8, 12]]","[0, 1]",
hist_gradient,default,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.5,0.5,0.47593582887700536,"[[4, 4], [10, 10]]","[0, 1]",
rf_balanced,threshold_cv,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.2
rf_deeper,threshold_cv,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.2
svc_rbf,default,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",
svc_rbf,threshold_cv,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.15
rf_deeper,default,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.2857142857142857,0.5,0.2222222222222222,"[[8, 0], [20, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.6428571428571429,0.4875,0.46969696969696967,"[[1, 7], [3, 17]]","[0, 1]",0.1
extra_trees_kbest,default,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.5714285714285714,0.4,0.36363636363636365,"[[0, 8], [4, 16]]","[0, 1]",
rf_balanced,default,exports/geom_s2_2025_buffer15_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.25,0.325,0.24904214559386972,"[[4, 4], [17, 3]]","[0, 1]",
