threshold,accuracy,balanced_accuracy,macro_f1,positive_recall,positive_precision,confusion_matrix,fold
0.1,0.9154929577464789,0.9516129032258065,0.8495762711864407,1.0,0.6,"[[56, 6], [0, 9]]",1
0.15,0.9295774647887324,0.9596774193548387,0.8702959444647425,1.0,0.6428571428571429,"[[57, 5], [0, 9]]",1
0.2,0.9436619718309859,0.9202508960573477,0.8836065573770492,0.8888888888888888,0.7272727272727273,"[[59, 3], [1, 8]]",1
0.25,0.9577464788732394,0.9283154121863799,0.9088575096277278,0.8888888888888888,0.8,"[[60, 2], [1, 8]]",1
0.3,0.9577464788732394,0.9283154121863799,0.9088575096277278,0.8888888888888888,0.8,"[[60, 2], [1, 8]]",1
0.35,0.9577464788732394,0.9283154121863799,0.9088575096277278,0.8888888888888888,0.8,"[[60, 2], [1, 8]]",1
0.4,0.9577464788732394,0.9283154121863799,0.9088575096277278,0.8888888888888888,0.8,"[[60, 2], [1, 8]]",1
0.45,0.971830985915493,0.9363799283154122,0.9363799283154122,0.8888888888888888,0.8888888888888888,"[[61, 1], [1, 8]]",1
0.5,0.9577464788732394,0.8808243727598566,0.8997647058823529,0.7777777777777778,0.875,"[[61, 1], [2, 7]]",1
0.55,0.9577464788732394,0.8808243727598566,0.8997647058823529,0.7777777777777778,0.875,"[[61, 1], [2, 7]]",1
0.6,0.9436619718309859,0.825268817204301,0.8591269841269842,0.6666666666666666,0.8571428571428571,"[[61, 1], [3, 6]]",1
0.65,0.9436619718309859,0.825268817204301,0.8591269841269842,0.6666666666666666,0.8571428571428571,"[[61, 1], [3, 6]]",1
0.7,0.9436619718309859,0.825268817204301,0.8591269841269842,0.6666666666666666,0.8571428571428571,"[[61, 1], [3, 6]]",1
0.75,0.9295774647887324,0.7697132616487455,0.8136482939632546,0.5555555555555556,0.8333333333333334,"[[61, 1], [4, 5]]",1
0.8,0.9014084507042254,0.6586021505376344,0.7036374478234944,0.3333333333333333,0.75,"[[61, 1], [6, 3]]",1
