threshold,accuracy,balanced_accuracy,macro_f1,positive_recall,positive_precision,confusion_matrix,fold
0.1,0.8,0.8357487922705313,0.7300312360553325,0.8888888888888888,0.4444444444444444,"[[36, 10], [1, 8]]",1
0.15,0.8181818181818182,0.8466183574879227,0.7481684981684982,0.8888888888888888,0.47058823529411764,"[[37, 9], [1, 8]]",1
0.2,0.8,0.7910628019323671,0.7152941176470589,0.7777777777777778,0.4375,"[[37, 9], [2, 7]]",1
0.25,0.8,0.7910628019323671,0.7152941176470589,0.7777777777777778,0.4375,"[[37, 9], [2, 7]]",1
0.3,0.8,0.7910628019323671,0.7152941176470589,0.7777777777777778,0.4375,"[[37, 9], [2, 7]]",1
0.35,0.8,0.7910628019323671,0.7152941176470589,0.7777777777777778,0.4375,"[[37, 9], [2, 7]]",1
0.4,0.7818181818181819,0.7355072463768115,0.6802325581395349,0.6666666666666666,0.4,"[[37, 9], [3, 6]]",1
0.45,0.7636363636363637,0.6799516908212561,0.6426786606696652,0.5555555555555556,0.35714285714285715,"[[37, 9], [4, 5]]",1
0.5,0.7818181818181819,0.6461352657004831,0.6333333333333333,0.4444444444444444,0.36363636363636365,"[[39, 7], [5, 4]]",1
0.55,0.8,0.6570048309178744,0.6500867553499132,0.4444444444444444,0.4,"[[40, 6], [5, 4]]",1
0.6,0.7818181818181819,0.6014492753623188,0.6014492753623188,0.3333333333333333,0.3333333333333333,"[[40, 6], [6, 3]]",1
0.65,0.7818181818181819,0.6014492753623188,0.6014492753623188,0.3333333333333333,0.3333333333333333,"[[40, 6], [6, 3]]",1
0.7,0.8,0.6123188405797101,0.6173308032890575,0.3333333333333333,0.375,"[[41, 5], [6, 3]]",1
0.75,0.8,0.6123188405797101,0.6173308032890575,0.3333333333333333,0.375,"[[41, 5], [6, 3]]",1
0.8,0.8,0.6123188405797101,0.6173308032890575,0.3333333333333333,0.375,"[[41, 5], [6, 3]]",1
0.85,0.8363636363636363,0.6340579710144928,0.6526315789473685,0.3333333333333333,0.5,"[[43, 3], [6, 3]]",1
0.9,0.8363636363636363,0.5446859903381642,0.5454545454545454,0.1111111111111111,0.5,"[[45, 1], [8, 1]]",1
0.1,0.8727272727272727,0.9239130434782609,0.8188235294117647,1.0,0.5625,"[[39, 7], [0, 9]]",2
0.15,0.9090909090909091,0.9456521739130435,0.8625687156421789,1.0,0.6428571428571429,"[[41, 5], [0, 9]]",2
0.2,0.9090909090909091,0.9456521739130435,0.8625687156421789,1.0,0.6428571428571429,"[[41, 5], [0, 9]]",2
0.25,0.9272727272727272,0.9565217391304348,0.8863636363636365,1.0,0.6923076923076923,"[[42, 4], [0, 9]]",2
0.3,0.9272727272727272,0.9565217391304348,0.8863636363636365,1.0,0.6923076923076923,"[[42, 4], [0, 9]]",2
0.35,0.9272727272727272,0.9565217391304348,0.8863636363636365,1.0,0.6923076923076923,"[[42, 4], [0, 9]]",2
0.4,0.9272727272727272,0.9565217391304348,0.8863636363636365,1.0,0.6923076923076923,"[[42, 4], [0, 9]]",2
0.45,0.9090909090909091,0.856280193236715,0.8409485251590514,0.7777777777777778,0.7,"[[43, 3], [2, 7]]",2
0.5,0.9090909090909091,0.856280193236715,0.8409485251590514,0.7777777777777778,0.7,"[[43, 3], [2, 7]]",2
0.55,0.8909090909090909,0.7560386473429952,0.7805851063829787,0.5555555555555556,0.7142857142857143,"[[44, 2], [4, 5]]",2
0.6,0.8909090909090909,0.7560386473429952,0.7805851063829787,0.5555555555555556,0.7142857142857143,"[[44, 2], [4, 5]]",2
0.65,0.9090909090909091,0.7669082125603865,0.8070175438596491,0.5555555555555556,0.8333333333333334,"[[45, 1], [4, 5]]",2
0.7,0.9090909090909091,0.7669082125603865,0.8070175438596491,0.5555555555555556,0.8333333333333334,"[[45, 1], [4, 5]]",2
0.75,0.9272727272727272,0.7777777777777778,0.8363095238095238,0.5555555555555556,1.0,"[[46, 0], [4, 5]]",2
0.8,0.9090909090909091,0.7222222222222222,0.781919111816019,0.4444444444444444,1.0,"[[46, 0], [5, 4]]",2
0.85,0.8727272727272727,0.6111111111111112,0.6464646464646464,0.2222222222222222,1.0,"[[46, 0], [7, 2]]",2
0.9,0.8545454545454545,0.5555555555555556,0.56,0.1111111111111111,1.0,"[[46, 0], [8, 1]]",2
0.1,0.9636363636363636,0.9782608695652174,0.9388888888888889,1.0,0.8181818181818182,"[[44, 2], [0, 9]]",3
0.15,0.9818181818181818,0.9891304347826086,0.9681897050318102,1.0,0.9,"[[45, 1], [0, 9]]",3
0.2,0.9818181818181818,0.9891304347826086,0.9681897050318102,1.0,0.9,"[[45, 1], [0, 9]]",3
0.25,1.0,1.0,1.0,1.0,1.0,"[[46, 0], [0, 9]]",3
0.3,1.0,1.0,1.0,1.0,1.0,"[[46, 0], [0, 9]]",3
0.35,1.0,1.0,1.0,1.0,1.0,"[[46, 0], [0, 9]]",3
0.4,1.0,1.0,1.0,1.0,1.0,"[[46, 0], [0, 9]]",3
0.45,1.0,1.0,1.0,1.0,1.0,"[[46, 0], [0, 9]]",3
0.5,1.0,1.0,1.0,1.0,1.0,"[[46, 0], [0, 9]]",3
0.55,0.9818181818181818,0.9444444444444444,0.9652118912080961,0.8888888888888888,1.0,"[[46, 0], [1, 8]]",3
0.6,0.9818181818181818,0.9444444444444444,0.9652118912080961,0.8888888888888888,1.0,"[[46, 0], [1, 8]]",3
0.65,0.9636363636363636,0.8888888888888888,0.9268617021276595,0.7777777777777778,1.0,"[[46, 0], [2, 7]]",3
0.7,0.9636363636363636,0.8888888888888888,0.9268617021276595,0.7777777777777778,1.0,"[[46, 0], [2, 7]]",3
0.75,0.9454545454545454,0.8333333333333333,0.8842105263157896,0.6666666666666666,1.0,"[[46, 0], [3, 6]]",3
0.8,0.9090909090909091,0.7222222222222222,0.781919111816019,0.4444444444444444,1.0,"[[46, 0], [5, 4]]",3
0.85,0.8909090909090909,0.6666666666666666,0.7193877551020409,0.3333333333333333,1.0,"[[46, 0], [6, 3]]",3
0.9,0.8727272727272727,0.6111111111111112,0.6464646464646464,0.2222222222222222,1.0,"[[46, 0], [7, 2]]",3
0.1,0.8518518518518519,0.9111111111111111,0.7973733583489682,1.0,0.5294117647058824,"[[37, 8], [0, 9]]",4
0.15,0.8703703703703703,0.9222222222222223,0.8178313253012048,1.0,0.5625,"[[38, 7], [0, 9]]",4
0.2,0.8703703703703703,0.9222222222222223,0.8178313253012048,1.0,0.5625,"[[38, 7], [0, 9]]",4
0.25,0.8888888888888888,0.9333333333333333,0.8392857142857143,1.0,0.6,"[[39, 6], [0, 9]]",4
0.3,0.9074074074074074,0.9444444444444444,0.8618925831202047,1.0,0.6428571428571429,"[[40, 5], [0, 9]]",4
0.35,0.8888888888888888,0.8888888888888888,0.8287526427061311,0.8888888888888888,0.6153846153846154,"[[40, 5], [1, 8]]",4
0.4,0.9074074074074074,0.8999999999999999,0.8522167487684729,0.8888888888888888,0.6666666666666666,"[[41, 4], [1, 8]]",4
0.45,0.9074074074074074,0.8555555555555556,0.8403311649911295,0.7777777777777778,0.7,"[[42, 3], [2, 7]]",4
0.5,0.9074074074074074,0.8555555555555556,0.8403311649911295,0.7777777777777778,0.7,"[[42, 3], [2, 7]]",4
0.55,0.9074074074074074,0.8555555555555556,0.8403311649911295,0.7777777777777778,0.7,"[[42, 3], [2, 7]]",4
0.6,0.8703703703703703,0.7444444444444445,0.755656108597285,0.5555555555555556,0.625,"[[42, 3], [4, 5]]",4
0.65,0.8888888888888888,0.7555555555555555,0.7798913043478262,0.5555555555555556,0.7142857142857143,"[[43, 2], [4, 5]]",4
0.7,0.9074074074074074,0.7666666666666666,0.8064516129032258,0.5555555555555556,0.8333333333333334,"[[44, 1], [4, 5]]",4
0.75,0.9074074074074074,0.7666666666666666,0.8064516129032258,0.5555555555555556,0.8333333333333334,"[[44, 1], [4, 5]]",4
0.8,0.9074074074074074,0.7666666666666666,0.8064516129032258,0.5555555555555556,0.8333333333333334,"[[44, 1], [4, 5]]",4
0.85,0.9074074074074074,0.7666666666666666,0.8064516129032258,0.5555555555555556,0.8333333333333334,"[[44, 1], [4, 5]]",4
0.9,0.9074074074074074,0.7222222222222222,0.7813765182186234,0.4444444444444444,1.0,"[[45, 0], [5, 4]]",4
0.1,0.8888888888888888,0.9333333333333333,0.8392857142857143,1.0,0.6,"[[39, 6], [0, 9]]",5
0.15,0.8888888888888888,0.9333333333333333,0.8392857142857143,1.0,0.6,"[[39, 6], [0, 9]]",5
0.2,0.9074074074074074,0.9444444444444444,0.8618925831202047,1.0,0.6428571428571429,"[[40, 5], [0, 9]]",5
0.25,0.9074074074074074,0.9444444444444444,0.8618925831202047,1.0,0.6428571428571429,"[[40, 5], [0, 9]]",5
0.3,0.9074074074074074,0.9444444444444444,0.8618925831202047,1.0,0.6428571428571429,"[[40, 5], [0, 9]]",5
0.35,0.9074074074074074,0.9444444444444444,0.8618925831202047,1.0,0.6428571428571429,"[[40, 5], [0, 9]]",5
0.4,0.9074074074074074,0.9444444444444444,0.8618925831202047,1.0,0.6428571428571429,"[[40, 5], [0, 9]]",5
0.45,0.9629629629629629,0.9777777777777779,0.9386363636363637,1.0,0.8181818181818182,"[[43, 2], [0, 9]]",5
0.5,0.9814814814814815,0.9888888888888889,0.9680662329982259,1.0,0.9,"[[44, 1], [0, 9]]",5
0.55,0.9629629629629629,0.9333333333333333,0.9333333333333333,0.8888888888888888,0.8888888888888888,"[[44, 1], [1, 8]]",5
0.6,0.9814814814814815,0.9444444444444444,0.9650937297996122,0.8888888888888888,1.0,"[[45, 0], [1, 8]]",5
0.65,0.9814814814814815,0.9444444444444444,0.9650937297996122,0.8888888888888888,1.0,"[[45, 0], [1, 8]]",5
0.7,0.9629629629629629,0.8888888888888888,0.9266304347826086,0.7777777777777778,1.0,"[[45, 0], [2, 7]]",5
0.75,0.9444444444444444,0.8333333333333333,0.8838709677419355,0.6666666666666666,1.0,"[[45, 0], [3, 6]]",5
0.8,0.9259259259259259,0.7777777777777778,0.8358662613981763,0.5555555555555556,1.0,"[[45, 0], [4, 5]]",5
0.85,0.8703703703703703,0.6111111111111112,0.6457357075913777,0.2222222222222222,1.0,"[[45, 0], [7, 2]]",5
0.9,0.8703703703703703,0.6111111111111112,0.6457357075913777,0.2222222222222222,1.0,"[[45, 0], [7, 2]]",5
