model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5675675675675675,0.6190476190476191,0.5256410256410257,"[[5, 16], [0, 16]]","[0, 1]",0.35
hist_gradient,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5675675675675675,0.5744047619047619,0.5672514619883041,"[[11, 10], [6, 10]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5135135135135135,0.5714285714285714,0.445,"[[3, 18], [0, 16]]","[0, 1]",0.15
svc_rbf,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5405405405405406,0.5654761904761905,0.5351071692535108,"[[8, 13], [4, 12]]","[0, 1]",0.25
logistic_l2,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5135135135135135,0.5416666666666666,0.5044642857142857,"[[7, 14], [4, 12]]","[0, 1]",
extra_trees,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.4864864864864865,0.5401785714285714,0.42612244897959184,"[[3, 18], [1, 15]]","[0, 1]",0.35
rf_deeper,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5675675675675675,0.5372023809523809,0.5256410256410257,"[[16, 5], [11, 5]]","[0, 1]",
extra_trees_kbest,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5405405405405406,0.5282738095238095,0.5281320330082521,"[[13, 8], [9, 7]]","[0, 1]",
rf_balanced,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.5238095238095238,0.3531468531468532,"[[1, 20], [0, 16]]","[0, 1]",0.2
hist_gradient,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5135135135135135,0.5119047619047619,0.5102941176470588,"[[11, 10], [8, 8]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.43243243243243246,0.5,0.3018867924528302,"[[0, 21], [0, 16]]","[0, 1]",0.25
svc_rbf,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.43243243243243246,0.49255952380952384,0.3375959079283888,"[[1, 20], [1, 15]]","[0, 1]",
rf_balanced,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.5135135135135135,0.48214285714285715,0.46634615384615385,"[[15, 6], [12, 4]]","[0, 1]",
extra_trees,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S1,354,37,"{0: 307, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.4642857142857143,0.45906432748538006,"[[9, 12], [8, 8]]","[0, 1]",
