model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.9292929292929293,0.8273411371237458,"[[85, 14], [0, 19]]","[0, 1]",
svc_rbf,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.9292929292929293,0.8273411371237458,"[[85, 14], [0, 19]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8728813559322034,0.9242424242424243,0.8175069594803588,"[[84, 15], [0, 19]]","[0, 1]",0.15
extra_trees,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.864406779661017,0.9191919191919191,0.8078958078958078,"[[83, 16], [0, 19]]","[0, 1]",0.15
logistic_l2,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.9080276448697502,0.8223655913978494,"[[86, 13], [1, 18]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8728813559322034,0.902977139819245,0.8124006359300477,"[[85, 14], [1, 18]]","[0, 1]",0.15
extra_trees,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.923728813559322,0.8907496012759171,0.8671669793621013,"[[93, 6], [3, 16]]","[0, 1]",
rf_balanced,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9152542372881356,0.885699096225412,0.8551791850760923,"[[92, 7], [3, 16]]","[0, 1]",
rf_deeper,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8728813559322034,0.8817118553960659,0.8068318236385463,"[[86, 13], [2, 17]]","[0, 1]",0.1
extra_trees_kbest,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9067796610169492,0.8806485911749069,0.8435956139293891,"[[91, 8], [3, 16]]","[0, 1]",
hist_gradient,threshold_cv,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9067796610169492,0.8806485911749069,0.8435956139293891,"[[91, 8], [3, 16]]","[0, 1]",0.1
hist_gradient,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.923728813559322,0.869484316852738,0.861772745021476,"[[94, 5], [4, 15]]","[0, 1]",
logistic_l2,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.864406779661017,0.8341307814992025,0.7839816933638444,"[[87, 12], [4, 15]]","[0, 1]",
rf_deeper,default,exports/fused_s1_2022_2025_s2_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8898305084745762,0.7854864433811802,0.7916610077414098,"[[93, 6], [7, 12]]","[0, 1]",
