model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.9292929292929293,0.8273411371237458,"[[85, 14], [0, 19]]","[0, 1]",
svc_rbf,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.9292929292929293,0.8273411371237458,"[[85, 14], [0, 19]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8728813559322034,0.9242424242424243,0.8175069594803588,"[[84, 15], [0, 19]]","[0, 1]",0.15
hist_gradient,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9322033898305084,0.9170653907496014,0.8841433480608738,"[[93, 6], [2, 17]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.9141414141414141,0.7984932194876946,"[[82, 17], [0, 19]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8728813559322034,0.902977139819245,0.8124006359300477,"[[85, 14], [1, 18]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8728813559322034,0.8817118553960659,0.8068318236385463,"[[86, 13], [2, 17]]","[0, 1]",0.1
extra_trees,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9322033898305084,0.8745348219032429,0.8745348219032429,"[[95, 4], [4, 15]]","[0, 1]",
hist_gradient,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9322033898305084,0.8745348219032429,0.8745348219032429,"[[95, 4], [4, 15]]","[0, 1]",
rf_balanced,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.923728813559322,0.869484316852738,0.861772745021476,"[[94, 5], [4, 15]]","[0, 1]",
logistic_l2,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.8503455608718766,0.7810760667903525,"[[85, 14], [3, 16]]","[0, 1]",0.25
logistic_l2,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.8442317916002127,0.8044507575757576,"[[89, 10], [4, 15]]","[0, 1]",
extra_trees_kbest,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8898305084745762,0.8280170122275385,0.808130081300813,"[[91, 8], [5, 14]]","[0, 1]",
rf_deeper,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9067796610169492,0.8168527379053695,0.8237131603965775,"[[94, 5], [6, 13]]","[0, 1]",
