model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5866666666666667,0.5432900432900433,0.49467507063681804,"[[38, 4], [27, 6]]","[0, 1]",
logistic_l2,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.49333333333333335,0.5378787878787878,0.4407378335949764,"[[7, 35], [3, 30]]","[0, 1]",0.4
logistic_l2,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.49333333333333335,0.5346320346320346,0.45023148148148145,"[[8, 34], [4, 29]]","[0, 1]",
rf_balanced,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5733333333333334,0.5183982683982684,0.41520467836257313,"[[41, 1], [31, 2]]","[0, 1]",
extra_trees,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.5733333333333334,0.5183982683982684,0.41520467836257313,"[[41, 1], [31, 2]]","[0, 1]",
rf_deeper,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.56,0.5064935064935064,0.4080363549390098,"[[40, 2], [31, 2]]","[0, 1]",
hist_gradient,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.56,0.5064935064935064,0.4080363549390098,"[[40, 2], [31, 2]]","[0, 1]",
hist_gradient,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.56,0.5064935064935064,0.4080363549390098,"[[40, 2], [31, 2]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.44,0.5,0.3055555555555556,"[[0, 42], [0, 33]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.41333333333333333,0.4372294372294372,0.4004360465116279,"[[10, 32], [12, 21]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.38666666666666666,0.3939393939393939,0.3865576102418208,"[[14, 28], [18, 15]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.37333333333333335,0.3917748917748918,0.3661212012228017,"[[10, 32], [15, 18]]","[0, 1]",0.25
svc_rbf,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.4,0.37662337662337664,0.3633276740237691,"[[24, 18], [27, 6]]","[0, 1]",
svc_rbf,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,leave_area_out,SIT,267,75,"{0: 185, 1: 82}","{0: 42, 1: 33}",0.4,0.3668831168831169,0.3315508021390374,"[[27, 15], [30, 3]]","[0, 1]",0.3
