model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6893203883495146,0.7369747899159664,0.6869300911854104,"[[40, 28], [4, 31]]","[0, 1]",0.3
svc_rbf,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6893203883495146,0.7092436974789916,0.6806201550387596,"[[44, 24], [8, 27]]","[0, 1]",0.35
svc_rbf,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6504854368932039,0.6936974789915966,0.6477963525835866,"[[38, 30], [6, 29]]","[0, 1]",
logistic_l2,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6893203883495146,0.6676470588235295,0.6625716625716626,"[[50, 18], [14, 21]]","[0, 1]",0.45
extra_trees,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6601941747572816,0.6525210084033614,0.6406857370676766,"[[46, 22], [13, 22]]","[0, 1]",0.35
rf_deeper,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6504854368932039,0.6521008403361345,0.6353265145554682,"[[44, 24], [12, 23]]","[0, 1]",0.3
logistic_l2,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.6394957983193277,0.6404316090130118,"[[52, 16], [17, 18]]","[0, 1]",
hist_gradient,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.632563025210084,0.6350263073123591,"[[53, 15], [18, 17]]","[0, 1]",0.25
extra_trees,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7184466019417476,0.6273109243697479,0.6316438525095573,"[[62, 6], [23, 12]]","[0, 1]",
hist_gradient,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6893203883495146,0.6260504201680672,0.6308243727598566,"[[56, 12], [20, 15]]","[0, 1]",
rf_balanced,threshold_cv,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6601941747572816,0.6247899159663866,0.6238914971309337,"[[50, 18], [17, 18]]","[0, 1]",0.4
rf_balanced,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7087378640776699,0.6199579831932773,0.6235380116959064,"[[61, 7], [23, 12]]","[0, 1]",
rf_deeper,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6893203883495146,0.5913865546218487,0.5884115884115885,"[[61, 7], [25, 10]]","[0, 1]",
extra_trees_kbest,default,exports/fused_s1_2022_2025_s2_2024_2025_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6699029126213593,0.590546218487395,0.5920316868592731,"[[57, 11], [23, 12]]","[0, 1]",
