model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.9292929292929293,0.8273411371237458,"[[85, 14], [0, 19]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.9292929292929293,0.8273411371237458,"[[85, 14], [0, 19]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.8928761297182349,0.79317455407774,"[[83, 16], [1, 18]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.847457627118644,0.8878256246677299,0.7838827838827839,"[[82, 17], [1, 18]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.847457627118644,0.8878256246677299,0.7838827838827839,"[[82, 17], [1, 18]]","[0, 1]",0.1
extra_trees,default,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9322033898305084,0.8745348219032429,0.8745348219032429,"[[95, 4], [4, 15]]","[0, 1]",
rf_deeper,threshold_cv,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.8716108452950558,0.7873873873873873,"[[84, 15], [2, 17]]","[0, 1]",0.1
rf_balanced,default,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.923728813559322,0.869484316852738,0.861772745021476,"[[94, 5], [4, 15]]","[0, 1]",
logistic_l2,threshold_cv,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8389830508474576,0.8615098351940458,0.7688421486751211,"[[82, 17], [2, 17]]","[0, 1]",0.25
hist_gradient,threshold_cv,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9067796610169492,0.8593833067517278,0.8376485303314571,"[[92, 7], [4, 15]]","[0, 1]",0.1
hist_gradient,default,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9322033898305084,0.8532695374800638,0.8688888888888888,"[[96, 3], [5, 14]]","[0, 1]",
logistic_l2,default,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.8442317916002127,0.8044507575757576,"[[89, 10], [4, 15]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8898305084745762,0.8280170122275385,0.808130081300813,"[[91, 8], [5, 14]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2024_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.923728813559322,0.8269537480063796,0.849040511727079,"[[96, 3], [6, 13]]","[0, 1]",
