model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.6071428571428571,0.575,0.561877667140825,"[[4, 4], [7, 13]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.2
svc_rbf,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.4166666666666667,"[[0, 8], [0, 20]]","[0, 1]",0.1
rf_deeper,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.2857142857142857,0.5,0.2222222222222222,"[[8, 0], [20, 0]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.5357142857142857,0.4875,0.4822190611664296,"[[3, 5], [8, 12]]","[0, 1]",
logistic_l2,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.6428571428571429,0.4875,0.46969696969696967,"[[1, 7], [3, 17]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.39285714285714285,0.4625,0.39208173690932313,"[[5, 3], [14, 6]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.4642857142857143,0.4375,0.42857142857142855,"[[3, 5], [10, 10]]","[0, 1]",0.1
extra_trees_kbest,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.5357142857142857,0.375,0.3488372093023256,"[[0, 8], [5, 15]]","[0, 1]",
rf_balanced,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,leave_area_out,SV_S4,363,28,"{0: 320, 1: 43}","{0: 8, 1: 20}",0.25,0.325,0.24904214559386972,"[[4, 4], [17, 3]]","[0, 1]",
