model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8898305084745762,0.9343434343434344,0.837413884472708,"[[86, 13], [0, 19]]","[0, 1]",0.2
svc_rbf,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8813559322033898,0.9292929292929293,0.8273411371237458,"[[85, 14], [0, 19]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.8928761297182349,0.79317455407774,"[[83, 16], [1, 18]]","[0, 1]",0.15
extra_trees_kbest,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9067796610169492,0.8806485911749069,0.8435956139293891,"[[91, 8], [3, 16]]","[0, 1]",
extra_trees,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8305084745762712,0.8777246145667198,0.7658730158730158,"[[80, 19], [1, 18]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.8716108452950558,0.7873873873873873,"[[84, 15], [2, 17]]","[0, 1]",0.15
logistic_l2,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.8716108452950558,0.7873873873873873,"[[84, 15], [2, 17]]","[0, 1]",0.4
rf_balanced,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9152542372881356,0.8644338118022329,0.8494897959183674,"[[93, 6], [4, 15]]","[0, 1]",
rf_deeper,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8728813559322034,0.8604465709728868,0.8007429922323539,"[[87, 12], [3, 16]]","[0, 1]",0.15
extra_trees,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9067796610169492,0.8593833067517278,0.8376485303314571,"[[92, 7], [4, 15]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8898305084745762,0.8492822966507176,0.8151584528256417,"[[90, 9], [4, 15]]","[0, 1]",0.1
logistic_l2,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8559322033898306,0.8290802764486975,0.7741753911966678,"[[86, 13], [4, 15]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.9067796610169492,0.8168527379053695,0.8237131603965775,"[[94, 5], [6, 13]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2025_buffer20_items4_label_acacia.csv,label_acacia,random,,273,118,"{0: 229, 1: 44}","{0: 99, 1: 19}",0.8898305084745762,0.7854864433811802,0.7916610077414098,"[[93, 6], [7, 12]]","[0, 1]",
