model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.6111111111111112,0.6111111111111112,0.609907120743034,"[[5, 4], [3, 6]]","[0, 1]",
rf_deeper,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.6111111111111112,0.6111111111111112,0.6,"[[7, 2], [5, 4]]","[0, 1]",0.75
logistic_l2,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.55,"[[4, 5], [3, 6]]","[0, 1]",
logistic_l2,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.55,"[[4, 5], [3, 6]]","[0, 1]",0.35
hist_gradient,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.5324675324675324,"[[7, 2], [6, 3]]","[0, 1]",0.85
rf_deeper,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.5,"[[2, 7], [1, 8]]","[0, 1]",
extra_trees_kbest,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5555555555555556,0.5555555555555556,0.5,"[[2, 7], [1, 8]]","[0, 1]",
extra_trees,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5,0.5,0.4857142857142857,"[[6, 3], [6, 3]]","[0, 1]",0.75
rf_balanced,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5,0.5,0.4581939799331104,"[[2, 7], [2, 7]]","[0, 1]",0.55
extra_trees,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5,0.5,0.4581939799331104,"[[2, 7], [2, 7]]","[0, 1]",
rf_balanced,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.5,0.5,0.4109090909090909,"[[1, 8], [1, 8]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.41558441558441556,"[[6, 3], [7, 2]]","[0, 1]",0.85
svc_rbf,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.4444444444444444,0.4444444444444444,0.41558441558441556,"[[2, 7], [3, 6]]","[0, 1]",
svc_rbf,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S2,90,18,"{0: 37, 1: 53}","{0: 9, 1: 9}",0.3333333333333333,0.33333333333333337,0.2987012987012987,"[[5, 4], [8, 1]]","[0, 1]",0.7
