model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.8484848484848485,0.8590225563909775,0.847926267281106,"[[13, 1], [4, 15]]","[0, 1]",
extra_trees_kbest,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.8484848484848485,0.8590225563909775,0.847926267281106,"[[13, 1], [4, 15]]","[0, 1]",
rf_deeper,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.8181818181818182,0.8327067669172932,0.8180147058823529,"[[13, 1], [5, 14]]","[0, 1]",0.55
rf_balanced,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.8181818181818182,0.8233082706766917,0.8166666666666667,"[[12, 2], [4, 15]]","[0, 1]",
extra_trees,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.8181818181818182,0.8233082706766917,0.8166666666666667,"[[12, 2], [4, 15]]","[0, 1]",
hist_gradient,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.7575757575757576,0.7894736842105263,0.7555555555555555,"[[14, 0], [8, 11]]","[0, 1]",0.75
hist_gradient,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.7575757575757576,0.7800751879699248,0.7573529411764706,"[[13, 1], [7, 12]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.7272727272727273,0.7537593984962406,0.7262672811059908,"[[13, 1], [8, 11]]","[0, 1]",0.6
rf_balanced,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.7272727272727273,0.744360902255639,0.7272727272727273,"[[12, 2], [7, 12]]","[0, 1]",0.55
svc_rbf,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.7272727272727273,0.7349624060150376,0.7262672811059908,"[[11, 3], [6, 13]]","[0, 1]",0.5
extra_trees,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.696969696969697,0.7274436090225564,0.6944444444444444,"[[13, 1], [9, 10]]","[0, 1]",0.6
svc_rbf,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.696969696969697,0.7180451127819549,0.6966911764705883,"[[12, 2], [8, 11]]","[0, 1]",
logistic_l2,default,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.6666666666666666,0.6823308270676691,0.6666666666666666,"[[11, 3], [8, 11]]","[0, 1]",
logistic_l2,threshold_cv,exports/sv_only_fused_s1_s2_2024_2025_label_acacia.csv,label_acacia,random,,75,33,"{0: 32, 1: 43}","{0: 14, 1: 19}",0.6363636363636364,0.6654135338345865,0.6333333333333333,"[[12, 2], [10, 9]]","[0, 1]",0.6
