model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,default,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.88,0.8455882352941176,0.8571428571428572,"[[6, 2], [1, 16]]","[0, 1]",
extra_trees,default,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.88,0.8125,0.8440748440748441,"[[5, 3], [0, 17]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.72,0.7610294117647058,0.7126436781609196,"[[7, 1], [6, 11]]","[0, 1]",0.65
extra_trees,threshold_cv,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.76,0.7573529411764706,0.7395833333333333,"[[6, 2], [4, 13]]","[0, 1]",0.55
logistic_l2,threshold_cv,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.84,0.75,0.7807017543859649,"[[4, 4], [0, 17]]","[0, 1]",0.65
svc_rbf,default,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.68,0.7316176470588236,0.6753246753246753,"[[7, 1], [7, 10]]","[0, 1]",
logistic_l2,default,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.76,0.625,0.625,"[[2, 6], [0, 17]]","[0, 1]",
svc_rbf,threshold_cv,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.48,0.5845588235294118,0.47665056360708535,"[[7, 1], [12, 5]]","[0, 1]",0.6
hist_gradient,threshold_cv,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.72,0.5625,0.5257452574525745,"[[1, 7], [0, 17]]","[0, 1]",0.9
rf_balanced,threshold_cv,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.44,0.5551470588235294,0.4318181818181818,"[[7, 1], [13, 4]]","[0, 1]",0.7
rf_balanced,default,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.64,0.5036764705882353,0.4755244755244755,"[[1, 7], [2, 15]]","[0, 1]",
rf_deeper,default,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.64,0.5036764705882353,0.4755244755244755,"[[1, 7], [2, 15]]","[0, 1]",
rf_deeper,threshold_cv,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.64,0.5036764705882353,0.4755244755244755,"[[1, 7], [2, 15]]","[0, 1]",0.5
hist_gradient,default,exports/sv_only_s2_2024_2025_label_acacia.csv,label_acacia,leave_area_out,SV_S3,83,25,"{0: 38, 1: 45}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",
