model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]","[0, 1]",
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9722222222222222,0.5,0.4929577464788732,"[[35, 0], [1, 0]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9444444444444444,0.4857142857142857,0.4857142857142857,"[[34, 1], [1, 0]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9444444444444444,0.4857142857142857,0.4857142857142857,"[[34, 1], [1, 0]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9444444444444444,0.4857142857142857,0.4857142857142857,"[[34, 1], [1, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9444444444444444,0.4857142857142857,0.4857142857142857,"[[34, 1], [1, 0]]","[0, 1]",0.2
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9444444444444444,0.4857142857142857,0.4857142857142857,"[[34, 1], [1, 0]]","[0, 1]",0.1
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.9166666666666666,0.4714285714285714,0.4782608695652174,"[[33, 2], [1, 0]]","[0, 1]",
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_acacia,leave_area_out,A1,355,36,"{0: 293, 1: 62}","{0: 35, 1: 1}",0.8055555555555556,0.4142857142857143,0.4461538461538461,"[[29, 6], [1, 0]]","[0, 1]",0.1
