model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.6451612903225806,0.6517094017094017,0.6436781609195402,"[[11, 7], [4, 9]]","[0, 1]",0.45
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.6451612903225806,0.641025641025641,0.6391534391534393,"[[12, 6], [5, 8]]","[0, 1]",
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.35
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.1
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5483870967741935,0.48290598290598286,0.41032608695652173,"[[16, 2], [12, 1]]","[0, 1]",
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5483870967741935,0.4722222222222222,0.3541666666666667,"[[17, 1], [13, 0]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5483870967741935,0.4722222222222222,0.3541666666666667,"[[17, 1], [13, 0]]","[0, 1]",0.35
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5483870967741935,0.4722222222222222,0.3541666666666667,"[[17, 1], [13, 0]]","[0, 1]",0.35
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 209, 1: 102}","{0: 18, 1: 13}",0.5483870967741935,0.4722222222222222,0.3541666666666667,"[[17, 1], [13, 0]]","[0, 1]",0.4
