model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.2558139534883721,0.5675675675675675,0.2554112554112554,"[[5, 32], [0, 6]]","[0, 1]",0.2
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.8372093023255814,0.5563063063063063,0.5656565656565656,"[[35, 2], [5, 1]]","[0, 1]",
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.18604651162790697,0.527027027027027,0.1789416257501364,"[[2, 35], [0, 6]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.18604651162790697,0.527027027027027,0.1789416257501364,"[[2, 35], [0, 6]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.3023255813953488,0.5247747747747749,0.29891304347826086,"[[8, 29], [1, 5]]","[0, 1]",0.15
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.7441860465116279,0.5022522522522522,0.5015806111696522,"[[31, 6], [5, 1]]","[0, 1]",0.25
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.13953488372093023,0.5,0.12244897959183673,"[[0, 37], [0, 6]]","[0, 1]",0.15
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.8372093023255814,0.4864864864864865,0.4556962025316456,"[[36, 1], [6, 0]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.813953488372093,0.47297297297297297,0.44871794871794873,"[[35, 2], [6, 0]]","[0, 1]",
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.32558139534883723,0.46846846846846846,0.31218974076116934,"[[10, 27], [2, 4]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.7674418604651163,0.44594594594594594,0.4342105263157895,"[[33, 4], [6, 0]]","[0, 1]",
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.3953488372093023,0.4391891891891892,0.3530092592592593,"[[14, 23], [3, 3]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.7209302325581395,0.4189189189189189,0.4189189189189189,"[[31, 6], [6, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,A4,312,43,"{0: 255, 1: 57}","{0: 37, 1: 6}",0.23255813953488372,0.4144144144144144,0.23089430894308943,"[[6, 31], [2, 4]]","[0, 1]",0.15
