model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.6363636363636364,0.65,0.6333333333333333,"[[4, 1], [3, 3]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.5454545454545454,0.5666666666666667,0.5299145299145299,"[[4, 1], [4, 2]]","[0, 1]",0.25
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.5454545454545454,0.55,0.5454545454545454,"[[3, 2], [3, 3]]","[0, 1]",0.15
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.5454545454545454,0.55,0.5454545454545454,"[[3, 2], [3, 3]]","[0, 1]",0.15
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.5454545454545454,0.5333333333333333,0.5299145299145299,"[[2, 3], [2, 4]]","[0, 1]",0.2
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.5,0.3125,"[[5, 0], [6, 0]]","[0, 1]",
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.48333333333333334,0.4107142857142857,"[[4, 1], [5, 1]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.48333333333333334,0.4107142857142857,"[[4, 1], [5, 1]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.4666666666666667,0.45,"[[3, 2], [4, 2]]","[0, 1]",0.2
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 287, 1: 57}","{0: 5, 1: 6}",0.45454545454545453,0.4666666666666667,0.45,"[[3, 2], [4, 2]]","[0, 1]",
