model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.3023255813953488,0.6341463414634146,0.2703619909502262,"[[11, 30], [0, 2]]","[0, 1]",0.2
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.27906976744186046,0.6219512195121951,0.25322128851540615,"[[10, 31], [0, 2]]","[0, 1]",
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.23255813953488372,0.5975609756097561,0.21731936017650305,"[[8, 33], [0, 2]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.20930232558139536,0.5853658536585366,0.19846491228070176,"[[7, 34], [0, 2]]","[0, 1]",0.15
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.16279069767441862,0.5609756097560976,0.15869565217391302,"[[5, 36], [0, 2]]","[0, 1]",0.1
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.5581395348837209,0.5304878048780488,0.4014652014652015,"[[23, 18], [1, 1]]","[0, 1]",
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.09302325581395349,0.524390243902439,0.09302325581395349,"[[2, 39], [0, 2]]","[0, 1]",0.1
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.9534883720930233,0.5,0.48809523809523814,"[[41, 0], [2, 0]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.9069767441860465,0.47560975609756095,0.47560975609756095,"[[39, 2], [2, 0]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.8837209302325582,0.4634146341463415,0.4691358024691358,"[[38, 3], [2, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.813953488372093,0.4268292682926829,0.44871794871794873,"[[35, 6], [2, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,A4,312,43,"{0: 274, 1: 38}","{0: 41, 1: 2}",0.46511627906976744,0.24390243902439024,0.31746031746031744,"[[20, 21], [2, 0]]","[0, 1]",0.2
