model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.7272727272727273,0.6388888888888888,0.611764705882353,"[[7, 2], [1, 1]]","[0, 1]",0.1
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.15
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.7272727272727273,0.4444444444444444,0.4210526315789474,"[[8, 1], [2, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.7272727272727273,0.4444444444444444,0.4210526315789474,"[[8, 1], [2, 0]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.6363636363636364,0.3888888888888889,0.3888888888888889,"[[7, 2], [2, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.2727272727272727,0.3611111111111111,0.26666666666666666,"[[2, 7], [1, 1]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.18181818181818182,0.1111111111111111,0.15384615384615383,"[[2, 7], [2, 0]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.18181818181818182,0.1111111111111111,0.15384615384615383,"[[2, 7], [2, 0]]","[0, 1]",0.1
