model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.4533333333333333,0.6142857142857143,0.37866235603152154,"[[30, 40], [1, 4]]","[0, 1]",0.15
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.56,0.5785714285714285,0.4282744282744283,"[[39, 31], [2, 3]]","[0, 1]",
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.8666666666666667,0.5571428571428572,0.5471014492753623,"[[64, 6], [4, 1]]","[0, 1]",0.15
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",0.35
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9333333333333333,0.5,0.4827586206896552,"[[70, 0], [5, 0]]","[0, 1]",
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9066666666666666,0.4857142857142857,0.4755244755244756,"[[68, 2], [5, 0]]","[0, 1]",0.2
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.9066666666666666,0.4857142857142857,0.4755244755244756,"[[68, 2], [5, 0]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.8666666666666667,0.4642857142857143,0.4642857142857143,"[[65, 5], [5, 0]]","[0, 1]",0.2
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.8533333333333334,0.45714285714285713,0.460431654676259,"[[64, 6], [5, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_yellow_strict,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 70, 1: 5}",0.8133333333333334,0.4357142857142857,0.44852941176470584,"[[61, 9], [5, 0]]","[0, 1]",0.15
