model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.6470588235294118,0.6464285714285715,0.6421052631578947,"[[9, 5], [7, 13]]","[0, 1]",
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.6470588235294118,0.625,0.6263736263736264,"[[7, 7], [5, 15]]","[0, 1]",0.4
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.6176470588235294,0.6,0.6007226738934056,"[[7, 7], [6, 14]]","[0, 1]",0.3
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5294117647058824,0.5892857142857143,0.5018315018315018,"[[13, 1], [15, 5]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5,0.5535714285714286,0.47786811201445345,"[[12, 2], [15, 5]]","[0, 1]",0.3
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5588235294117647,0.5392857142857143,0.5392953929539295,"[[6, 8], [7, 13]]","[0, 1]",0.35
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.4411764705882353,0.5142857142857143,0.3758454106280193,"[[13, 1], [18, 2]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.4411764705882353,0.5142857142857143,0.3758454106280193,"[[13, 1], [18, 2]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.4411764705882353,0.5142857142857143,0.3758454106280193,"[[13, 1], [18, 2]]","[0, 1]",
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5294117647058824,0.5142857142857142,0.5142857142857142,"[[6, 8], [8, 12]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5294117647058824,0.5142857142857142,0.5142857142857142,"[[6, 8], [8, 12]]","[0, 1]",0.3
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.2
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.4411764705882353,0.4928571428571429,0.4164408310749774,"[[11, 3], [16, 4]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 213, 1: 95}","{0: 14, 1: 20}",0.5,0.4892857142857143,0.48894783377541995,"[[6, 8], [9, 11]]","[0, 1]",0.35
