model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7766990291262136,0.7476890756302521,0.7493917274939172,"[[57, 11], [12, 23]]","[0, 1]",0.25
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7281553398058253,0.7039915966386554,0.701077943615257,"[[53, 15], [13, 22]]","[0, 1]",0.4
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6699029126213593,0.7014705882352941,0.6645593869731801,"[[41, 27], [7, 28]]","[0, 1]",0.35
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6504854368932039,0.6659663865546219,0.6406976744186046,"[[42, 26], [10, 25]]","[0, 1]",0.3
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7184466019417476,0.6619747899159664,0.6684426684426684,"[[57, 11], [18, 17]]","[0, 1]",
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6699029126213593,0.6598739495798319,0.649238782051282,"[[47, 21], [13, 22]]","[0, 1]",0.35
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6699029126213593,0.6529411764705882,0.6455465587044535,"[[48, 20], [14, 21]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7281553398058253,0.6485294117647059,0.6566666666666667,"[[61, 7], [21, 14]]","[0, 1]",
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6893203883495146,0.6399159663865546,0.6432900432900432,"[[54, 14], [18, 17]]","[0, 1]",0.4
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6504854368932039,0.638235294117647,0.6286057692307692,"[[46, 22], [14, 21]]","[0, 1]",0.35
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7184466019417476,0.6203781512605042,0.6221378874130297,"[[63, 5], [24, 11]]","[0, 1]",
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6990291262135923,0.5987394957983193,0.596078431372549,"[[62, 6], [25, 10]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.5909663865546219,0.590728476821192,"[[59, 9], [24, 11]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6504854368932039,0.5411764705882353,0.5246153846153847,"[[60, 8], [28, 7]]","[0, 1]",
