model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7475728155339806,0.7256302521008403,0.7224295190713101,"[[54, 14], [12, 23]]","[0, 1]",0.35
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7184466019417476,0.7243697478991598,0.7049876543209876,"[[48, 20], [9, 26]]","[0, 1]",0.15
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7184466019417476,0.7035714285714285,0.6959796437659033,"[[51, 17], [12, 23]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7087378640776699,0.7031512605042016,0.6905048076923077,"[[49, 19], [11, 24]]","[0, 1]",0.35
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7281553398058253,0.6831932773109244,0.687878787878788,"[[56, 12], [16, 19]]","[0, 1]",
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.6810924369747899,0.6642962962962963,"[[46, 22], [11, 24]]","[0, 1]",0.35
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6310679611650486,0.6581932773109244,0.625095785440613,"[[39, 29], [9, 26]]","[0, 1]",0.3
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6407766990291263,0.6308823529411764,0.6201534934715438,"[[45, 23], [14, 21]]","[0, 1]",0.35
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7184466019417476,0.6273109243697479,0.6316438525095573,"[[62, 6], [23, 12]]","[0, 1]",
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7281553398058253,0.6207983193277311,0.6197257383966245,"[[65, 3], [25, 10]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.7184466019417476,0.6134453781512605,0.6117249447549721,"[[64, 4], [25, 10]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.6048319327731093,0.6080940850916637,"[[57, 11], [22, 13]]","[0, 1]",
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6796116504854369,0.6048319327731093,0.6080940850916637,"[[57, 11], [22, 13]]","[0, 1]",0.5
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_deciduous,random,,239,103,"{0: 159, 1: 80}","{0: 68, 1: 35}",0.6699029126213593,0.5766806722689075,0.5733430799220273,"[[59, 9], [25, 10]]","[0, 1]",
