model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.4953271028037383,0.6065789473684211,0.43485915492957744,"[[44, 51], [3, 9]]","[0, 1]",0.1
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.8037383177570093,0.5982456140350877,0.5811742777260018,"[[82, 13], [8, 4]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.719626168224299,0.587280701754386,0.5387931034482758,"[[72, 23], [7, 5]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.7757009345794392,0.5824561403508772,0.5590659340659341,"[[79, 16], [8, 4]]","[0, 1]",0.25
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.7009345794392523,0.5767543859649122,0.5260243632336655,"[[70, 25], [7, 5]]","[0, 1]",0.15
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.8130841121495327,0.5671052631578948,0.5621931260229133,"[[84, 11], [9, 3]]","[0, 1]",
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.7850467289719626,0.5513157894736842,0.5412861136999069,"[[81, 14], [9, 3]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.5887850467289719,0.55,0.4679023508137432,"[[57, 38], [6, 6]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.8317757009345794,0.5412280701754386,0.5440340909090909,"[[87, 8], [10, 2]]","[0, 1]",0.6
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.8878504672897196,0.5364035087719298,0.5414285714285714,"[[94, 1], [11, 1]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.8691588785046729,0.5258771929824562,0.5271464646464646,"[[92, 3], [11, 1]]","[0, 1]",
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.8411214953271028,0.5100877192982456,0.5090418353576248,"[[89, 6], [11, 1]]","[0, 1]",
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.8878504672897196,0.5,0.47029702970297027,"[[95, 0], [12, 0]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_yellow_strict,random,,248,107,"{0: 220, 1: 28}","{0: 95, 1: 12}",0.8878504672897196,0.5,0.47029702970297027,"[[95, 0], [12, 0]]","[0, 1]",
