model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8266666666666667,0.7102272727272727,0.688,"[[56, 8], [5, 6]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.6266666666666667,0.7059659090909092,0.5610367892976589,"[[38, 26], [2, 9]]","[0, 1]",0.2
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.5733333333333334,0.6747159090909092,0.52,"[[34, 30], [2, 9]]","[0, 1]",0.15
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.6207386363636364,0.6501865671641791,"[[62, 2], [8, 3]]","[0, 1]",
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.38666666666666666,0.6029829545454546,0.3777056277056277,"[[19, 45], [1, 10]]","[0, 1]",0.2
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.88,0.5909090909090909,0.6209994385176867,"[[64, 0], [9, 2]]","[0, 1]",
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8533333333333334,0.5752840909090909,0.5925925925925926,"[[62, 2], [9, 2]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.6533333333333333,0.5710227272727273,0.5248538011695907,"[[44, 20], [6, 5]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.5466666666666666,0.5461647727272727,0.46697324414715724,"[[35, 29], [5, 6]]","[0, 1]",0.2
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.8666666666666667,0.5454545454545454,0.5471014492753623,"[[64, 0], [10, 1]]","[0, 1]",
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.6533333333333333,0.49573863636363635,0.4835805084745763,"[[46, 18], [8, 3]]","[0, 1]",
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.30666666666666664,0.48082386363636365,0.30057388809182206,"[[15, 49], [3, 8]]","[0, 1]",
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 228, 1: 52}","{0: 64, 1: 11}",0.29333333333333333,0.47301136363636365,0.28878153515834676,"[[14, 50], [3, 8]]","[0, 1]",0.35
