model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.7096774193548387,0.55,0.5026737967914439,"[[21, 0], [9, 1]]","[0, 1]",
logistic_l2,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6451612903225806,0.5285714285714286,0.5163120567375886,"[[18, 3], [8, 2]]","[0, 1]",0.1
rf_balanced,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
rf_deeper,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
extra_trees,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.25
extra_trees_kbest,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
svc_rbf,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.15
hist_gradient,default,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6774193548387096,0.5,0.40384615384615385,"[[21, 0], [10, 0]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6451612903225806,0.47619047619047616,0.39215686274509803,"[[20, 1], [10, 0]]","[0, 1]",0.2
rf_balanced,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.5806451612903226,0.45476190476190476,0.42836879432624114,"[[17, 4], [9, 1]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/stac_s2_features_2022_2025_buffer10_items4_temporal_label_acacia.csv,label_showy_flower,leave_area_out,SV_S1,324,31,"{0: 271, 1: 53}","{0: 21, 1: 10}",0.6129032258064516,0.4523809523809524,0.38,"[[19, 2], [10, 0]]","[0, 1]",0.1
