season,id,datetime,cloud_cover,mgrs_tile,epsg
winter,S2A_MSIL2A_20220213T052931_R105_T43RGM_20220222T145155,2022-02-13T05:29:31.024000+00:00,1.3e-05,,32643
winter,S2B_MSIL2A_20220129T053049_R105_T43RGM_20220213T194758,2022-01-29T05:30:49.024000+00:00,0.000129,,32643
winter,S2B_MSIL2A_20220228T052749_R105_T43RGM_20220303T044843,2022-02-28T05:27:49.024000+00:00,0.000146,,32643
winter,S2B_MSIL2A_20220218T052849_R105_T43RGM_20220224T214245,2022-02-18T05:28:49.024000+00:00,0.000166,,32643
premonsoon,S2B_MSIL2A_20220419T052639_R105_T43RGM_20220419T144959,2022-04-19T05:26:39.024000+00:00,1.3e-05,,32643
premonsoon,S2B_MSIL2A_20220419T052639_R105_T43RGM_20240609T162755,2022-04-19T05:26:39.024000+00:00,1.7e-05,,32643
premonsoon,S2A_MSIL2A_20220305T052721_R105_T43RGM_20220305T193612,2022-03-05T05:27:21.024000+00:00,6.6e-05,,32643
premonsoon,S2A_MSIL2A_20220325T052651_R105_T43RGM_20220325T174651,2022-03-25T05:26:51.024000+00:00,0.000143,,32643
monsoon,S2A_MSIL2A_20220603T052651_R105_T43RGM_20220603T231310,2022-06-03T05:26:51.024000+00:00,1.86931,,32643
monsoon,S2A_MSIL2A_20220623T052701_R105_T43RGM_20220623T201944,2022-06-23T05:27:01.024000+00:00,2.522805,,32643
monsoon,S2B_MSIL2A_20220608T052649_R105_T43RGM_20220608T191546,2022-06-08T05:26:49.024000+00:00,15.81382,,32643
monsoon,S2B_MSIL2A_20220608T052649_R105_T43RGM_20240628T164528,2022-06-08T05:26:49.024000+00:00,15.820402,,32643
postmonsoon,S2B_MSIL2A_20221016T052809_R105_T43RGM_20221016T185127,2022-10-16T05:28:09.024000+00:00,0.000209,,32643
postmonsoon,S2B_MSIL2A_20221016T052809_R105_T43RGM_20240723T123329,2022-10-16T05:28:09.024000+00:00,0.000216,,32643
postmonsoon,S2B_MSIL2A_20221026T052909_R105_T43RGM_20221026T183254,2022-10-26T05:29:09.024000+00:00,0.000537,,32643
postmonsoon,S2A_MSIL2A_20221130T053201_R105_T43RGM_20221202T144632,2022-11-30T05:32:01.024000+00:00,0.001158,,32643
