season,id,datetime,cloud_cover,mgrs_tile,epsg
winter,S2A_MSIL2A_20241209T053221_R105_T43RGM_20241209T082353,2024-12-09T05:32:21.024000+00:00,0.000232,,32643
winter,S2B_MSIL2A_20241204T053119_R105_T43RGM_20241204T074212,2024-12-04T05:31:19.024000+00:00,0.000494,,32643
winter,S2C_MSIL2A_20250128T053131_R105_T43RGM_20250128T084454,2025-01-28T05:31:31.024000+00:00,0.003431,,32643
winter,S2A_MSIL2A_20241219T053231_R105_T43RGM_20241219T092902,2024-12-19T05:32:31.024000+00:00,0.013218,,32643
premonsoon,S2B_MSIL2A_20250324T052649_R105_T43RGM_20250324T074123,2025-03-24T05:26:49.024000+00:00,9.3e-05,,32643
premonsoon,S2C_MSIL2A_20250408T052711_R105_T43RGM_20250408T105617,2025-04-08T05:27:11.024000+00:00,0.000146,,32643
premonsoon,S2A_MSIL2A_20250420T053241_R105_T43RGM_20250420T105519,2025-04-20T05:32:41.024000+00:00,0.000149,,32643
premonsoon,S2A_MSIL2A_20250331T053241_R105_T43RGM_20250331T104813,2025-03-31T05:32:41.024000+00:00,0.000438,,32643
monsoon,S2C_MSIL2A_20250925T052701_R105_T43RGM_20250925T103607,2025-09-25T05:27:01.024000+00:00,0.001088,,32643
monsoon,S2B_MSIL2A_20250612T052649_R105_T43RGM_20250612T074052,2025-06-12T05:26:49.024000+00:00,0.346538,,32643
monsoon,S2C_MSIL2A_20250607T052711_R105_T43RGM_20250607T092114,2025-06-07T05:27:11.024000+00:00,2.068009,,32643
monsoon,S2C_MSIL2A_20250915T052701_R105_T43RGM_20250915T102915,2025-09-15T05:27:01.025000+00:00,14.53156,,32643
postmonsoon,S2B_MSIL2A_20251129T053059_R105_T43RGM_20251129T073019,2025-11-29T05:30:59.024000+00:00,0.000498,,32643
postmonsoon,S2A_MSIL2A_20251126T053251_R105_T43RGM_20251126T083814,2025-11-26T05:32:51.024000+00:00,0.000541,,32643
postmonsoon,S2A_MSIL2A_20251017T053241_R105_T43RGM_20251017T085314,2025-10-17T05:32:41.024000+00:00,0.000601,,32643
postmonsoon,S2C_MSIL2A_20251025T052921_R105_T43RGM_20251025T084612,2025-10-25T05:29:21.025000+00:00,0.00071,,32643
