Species,Scientific name,Acacia category,Flower colour label,Flower visibility / usefulness,Leaf-shed extent,Fruit / pod notes,Areas observed,Tree Count
Amaltas,Cassia fistula,Non-acacia,Yellow,Showy,Partially leafless / deciduous,Long dark pods common,"MITTAL, SIT, Area 1, Area 3, Sanjay Van S1",28
Amla,Phyllanthus emblica,Non-acacia,,Small / not useful for colour label,Deciduous / partly leafless,Amla fruit,Area 2,2
Anjan,,Non-acacia,,,,,Area 4,1
Arjun,Terminalia arjuna,Non-acacia,,Small / not useful for colour label,Can be leafless / deciduous,,"SIT, Area 3, Area 4",5
Ashok,,Non-acacia,,Small / not useful for colour label,Evergreen,,"MITTAL, SIT, Area 1, Area 2, Area 3, Area 4",35
Bakain,Melia azedarach,Non-acacia,Purple,Small but visible,Leafless phase observed,,"Area 1, Area 3",3
Bamboo clump,,Non-acacia,,Not useful,Evergreen / persistent foliage,,"Area 2, Sanjay Van S1, Sanjay Van S4",4
Banana,Musa spp.,Non-acacia,,,Evergreen / herbaceous,Banana fruit,Area 4,1
Banyan,Ficus benghalensis,Non-acacia,,Inconspicuous fig flowers,Evergreen / partly leaf-shedding,Figs,"Area 1, Area 2, Area 3, Area 4, Sanjay Van S3, Sanjay Van S4",17
Bel,Aegle marmelos,Non-acacia,,Small / not useful for colour label,Deciduous / partly leafless,Bel fruit,Area 4,2
Bottlebrush,Callistemon / Melaleuca spp.,Non-acacia,Red,Showy,Evergreen,,Area 1,2
Buddha's Coconut,,Non-acacia,,,,,SIT,6
Caribbean trumpet,Tabebuia / Handroanthus spp.,Non-acacia,Bright yellow,Showy,Deciduous / leafless flowering phase likely,,SIT,6
Cassia,Cassia / Senna spp.,Non-acacia,Red/pink,Small flowers,,,"Area 3, Area 4",2
Chamrod,,Unknown,,,,,SIT,2
Chir pine,Pinus roxburghii,Non-acacia,,Not useful,Evergreen,Cones,Area 1,1
Chukrasia,Chukrasia tabularis,Non-acacia,,,Deciduous / partly leafless,,MITTAL,1
Frangipani,Plumeria spp.,Non-acacia,White/yellow/pink varies,Showy,Deciduous / partly leafless,,"MITTAL, SIT",3
Goolar,Ficus racemosa,Non-acacia,,Inconspicuous fig flowers,Partly leafless / deciduous,Fig tree,Area 2,3
Gulmohar,Delonix regia,Non-acacia,Red,Showy,Deciduous / partly leafless,Long pods common,"Area 1, Area 2, Area 4, Area 5",7
Imli,Tamarindus indica,Non-acacia,,Small / not useful for colour label,Evergreen / partly leafless,Tamarind pods,Area 2,2
Jamun,Syzygium cumini,Non-acacia,,Small / not useful for colour label,Evergreen,Jamun fruit,"MITTAL, Area 2, Area 3, Area 4",9
Kachnar,Bauhinia variegata,Non-acacia,White/pink,Showy,Deciduous / leafless flowering phase likely,,SIT,5
Kanju,,Non-acacia,,,Observed leaf shed,,Sanjay Van S1,1
Karanj,Pongamia pinnata,Non-acacia,,Small / not useful for colour label,Evergreen / partly leafless,Pods,"SIT, Sanjay Van S4",6
Kasod,,Non-acacia,Yellow,Showy / visible,,,"Area 1, Area 3, Area 4",13
Mahneem,,Non-acacia,,,,,"MITTAL, SIT, Area 2, Area 4",7
Marodphali,,Unknown,,,Leafless phase observed,,SIT,14
Mango,Mangifera indica,Non-acacia,,Small / not useful for colour label,Evergreen,Mango fruit,"Area 3, Area 4",5
Maulsari,Mimusops elengi,Non-acacia,,Small / not useful for colour label,Evergreen,,"SIT, Area 1, Area 2, Area 4",17
Moringa,Moringa oleifera,Non-acacia,,Small / moderate,Deciduous / partly leafless,Drumstick pods,Area 3,1
Native acacia,Acacia / Vachellia spp.,Acacia,,Small / puffball-type; verify colour,Semi-evergreen / partly leafless,Pods,"Area 1, Sanjay Van S3",2
Neem,Azadirachta indica,Non-acacia,,Small / not useful for colour label,Evergreen / partial seasonal leaf drop,Neem fruit,"MITTAL, SIT, Area 1, Area 2, Area 3, Area 4, Area 5, Sanjay Van S1, Sanjay Van S2, Sanjay Van S3",58
Palash,Butea monosperma,Non-acacia,Red,Showy,Goes leafless / deciduous,Pods,SIT,1
Palm tree,,Non-acacia,,Not useful,Evergreen,,SIT,1
