feature_source,dir,label,rand_bacc,rand_f1,rand_model,rand_n_test,rand_labels,rand_cm,lao_bacc,lao_f1,lao_holdout,lao_model,lao_n_test,lao_labels,lao_cm
GEE centroid (64d),exp01_gee_centroid,label_acacia,0.95,0.878,extra_trees_kbest/default,109,"[0, 1]","[[81, 9], [0, 19]]",0.846,0.857,SV_S3,rf_balanced/default,25,"[0, 1]","[[6, 2], [1, 16]]"
GEE centroid (64d),exp01_gee_centroid,label_deciduous,0.68,0.636,rf_deeper/threshold_cv,103,"[0, 1]","[[39, 30], [7, 27]]",0.608,0.561,A3,logistic_l2/default,55,"[0, 1]","[[22, 18], [5, 10]]"
GEE centroid (64d),exp01_gee_centroid,label_esd,0.6,0.604,rf_deeper/default,103,"[0, 1, 2]","[[12, 8, 4], [2, 32, 11], [6, 8, 20]]",0.455,0.448,A3,logistic_l2/default,55,"[0, 1, 2]","[[6, 4, 7], [5, 11, 7], [3, 4, 8]]"
GEE centroid (64d),exp01_gee_centroid,label_red_showy,0.522,0.441,logistic_l2/threshold_cv,107,"[0, 1]","[[74, 30], [2, 1]]",0.829,0.508,A4,extra_trees/threshold_cv,43,"[0, 1]","[[27, 14], [0, 2]]"
GEE centroid (64d),exp01_gee_centroid,label_showy_flower,0.694,0.511,extra_trees/threshold_cv,107,"[0, 1]","[[51, 43], [2, 11]]",0.717,0.718,MITTAL,svc_rbf/threshold_cv,11,"[0, 1]","[[5, 1], [2, 3]]"
GEE centroid (64d),exp01_gee_centroid,label_yellow_broad,0.709,0.539,logistic_l2/threshold_cv,91,"[0, 1]","[[50, 31], [2, 8]]",0.617,0.607,MITTAL,logistic_l2/default,11,"[0, 1]","[[5, 1], [3, 2]]"
GEE centroid (64d),exp01_gee_centroid,label_yellow_strict,0.727,0.612,svc_rbf/default,107,"[0, 1]","[[82, 17], [3, 5]]",0.5,0.483,SIT,rf_balanced/default,75,"[0, 1]","[[70, 0], [5, 0]]"
S2 temporal 2022-25 (724d),exp01_s2temporal,label_acacia,0.961,0.902,logistic_l2/default,109,"[0, 1]","[[83, 7], [0, 19]]",0.875,0.901,SV_S3,extra_trees/default,25,"[0, 1]","[[6, 2], [0, 17]]"
S2 temporal 2022-25 (724d),exp01_s2temporal,label_deciduous,0.715,0.715,logistic_l2/threshold_cv,103,"[0, 1]","[[56, 13], [13, 21]]",0.708,0.704,SIT,hist_gradient/threshold_cv,75,"[0, 1]","[[30, 13], [9, 23]]"
S2 temporal 2022-25 (724d),exp01_s2temporal,label_esd,0.61,0.614,extra_trees/default,103,"[0, 1, 2]","[[12, 9, 3], [3, 36, 6], [6, 10, 18]]",0.444,0.383,A4,svc_rbf/default,41,"[0, 1, 2]","[[7, 0, 4], [6, 1, 7], [5, 1, 10]]"
S2 temporal 2022-25 (724d),exp01_s2temporal,label_red_showy,0.5,0.493,rf_balanced/default,107,"[0, 1]","[[104, 0], [3, 0]]",0.927,0.661,A4,extra_trees_kbest/threshold_cv,43,"[0, 1]","[[35, 6], [0, 2]]"
S2 temporal 2022-25 (724d),exp01_s2temporal,label_showy_flower,0.807,0.628,extra_trees_kbest/threshold_cv,107,"[0, 1]","[[65, 29], [1, 12]]",0.702,0.5,SIT,rf_balanced/threshold_cv,75,"[0, 1]","[[34, 32], [1, 8]]"
S2 temporal 2022-25 (724d),exp01_s2temporal,label_yellow_broad,0.851,0.776,logistic_l2/default,91,"[0, 1]","[[73, 8], [2, 8]]",0.717,0.718,MITTAL,svc_rbf/threshold_cv,11,"[0, 1]","[[5, 1], [2, 3]]"
S2 temporal 2022-25 (724d),exp01_s2temporal,label_yellow_strict,0.751,0.517,extra_trees_kbest/threshold_cv,107,"[0, 1]","[[62, 37], [1, 7]]",0.786,0.592,SIT,extra_trees_kbest/threshold_cv,75,"[0, 1]","[[54, 16], [1, 4]]"
GEE+DINO+S2temporal (1172d),exp01_all3,label_acacia,0.95,0.878,rf_deeper/threshold_cv,109,"[0, 1]","[[81, 9], [0, 19]]",0.882,0.833,SV_S3,rf_deeper/default,25,"[0, 1]","[[8, 0], [4, 13]]"
GEE+DINO+S2temporal (1172d),exp01_all3,label_deciduous,0.679,0.666,rf_deeper/threshold_cv,103,"[0, 1]","[[49, 20], [12, 22]]",0.711,0.715,A1,logistic_l2/default,34,"[0, 1]","[[8, 6], [3, 17]]"
GEE+DINO+S2temporal (1172d),exp01_all3,label_esd,0.588,0.597,extra_trees_kbest/default,103,"[0, 1, 2]","[[11, 9, 4], [0, 31, 14], [5, 8, 21]]",0.409,0.39,A2,extra_trees/default,30,"[0, 1, 2]","[[2, 1, 8], [2, 6, 3], [1, 3, 4]]"
GEE+DINO+S2temporal (1172d),exp01_all3,label_red_showy,0.5,0.493,rf_balanced/default,107,"[0, 1]","[[104, 0], [3, 0]]",0.927,0.661,A4,rf_deeper/threshold_cv,43,"[0, 1]","[[35, 6], [0, 2]]"
GEE+DINO+S2temporal (1172d),exp01_all3,label_showy_flower,0.785,0.635,extra_trees/threshold_cv,107,"[0, 1]","[[68, 26], [2, 11]]",0.733,0.727,MITTAL,rf_balanced/threshold_cv,11,"[0, 1]","[[4, 2], [1, 4]]"
GEE+DINO+S2temporal (1172d),exp01_all3,label_yellow_broad,0.782,0.705,logistic_l2/threshold_cv,91,"[0, 1]","[[70, 11], [3, 7]]",0.707,0.489,SIT,rf_deeper/threshold_cv,75,"[0, 1]","[[40, 29], [1, 5]]"
GEE+DINO+S2temporal (1172d),exp01_all3,label_yellow_strict,0.754,0.584,rf_deeper/threshold_cv,107,"[0, 1]","[[75, 24], [2, 6]]",0.65,0.508,SIT,extra_trees_kbest/threshold_cv,75,"[0, 1]","[[49, 21], [2, 3]]"
