source_dir,feature_source,label,rand_bacc,rand_f1,rand_model,rand_decision,rand_holdout,rand_n_train,rand_n_test,rand_cm,rand_labels,lao_bacc,lao_f1,lao_model,lao_decision,lao_holdout,lao_n_train,lao_n_test,lao_cm,lao_labels
gee_normalized_iitd_sv_gee_embeddings_2024_buffer20m,GEE median buffer20 default labels,label_acacia,0.9387755102040816,0.8520066889632107,rf_balanced,threshold_cv,nan,273,118,"[[86, 12], [0, 20]]","[0, 1]",0.7830882352941176,0.8015873015873016,extra_trees,default,SV_S3,366.0,25.0,"[[5, 3], [1, 16]]","[0, 1]"
gee_normalized_iitd_sv_gee_embeddings_2024_original,GEE median original polygon default labels,label_acacia,0.9341836734693878,0.8804457953394125,extra_trees,threshold_cv,nan,273,118,"[[90, 8], [1, 19]]","[0, 1]",0.6812865497076023,0.6636363636363637,extra_trees_kbest,default,SV_S1,354.0,37.0,"[[9, 10], [2, 16]]","[0, 1]"
fresh_gee_centroid,GEE centroid pixel,label_acacia,0.9341836734693878,0.8804457953394123,extra_trees,threshold_cv,nan,273,118,"[[90, 8], [1, 19]]","[0, 1]",0.6666666666666667,0.6625,hist_gradient,default,SV_S2,373.0,18.0,"[[5, 4], [2, 7]]","[0, 1]"
gee_fused_original_buffer20_acacia_label_configs,GEE fused original+buffer20 Acacia configs,label_acacia_all_priority,0.7391773875481266,0.7143208574942892,extra_trees,threshold_cv,nan,1723,739,"[[302, 161], [48, 228]]","[0, 1]",0.6627005347593583,0.6543689320388351,extra_trees_kbest,threshold_cv,SV_S4,2284.0,178.0,"[[45, 23], [37, 73]]","[0, 1]"
gee_original_acacia_label_configs_full,GEE median original polygon Acacia configs,label_acacia_all_priority,0.7209558017967259,0.7054823867963185,svc_rbf,threshold_cv,nan,1723,739,"[[317, 146], [67, 209]]","[0, 1]",0.6308153651903652,0.6066937956147587,logistic_l2,default,SV_S2,1745.0,717.0,"[[218, 211], [71, 217]]","[0, 1]"
gee_original_acacia_label_configs_full,GEE median original polygon Acacia configs,label_acacia_clustering,0.6959490740740741,0.6894007234888133,hist_gradient,default,nan,1525,654,"[[260, 124], [77, 193]]","[0, 1]",0.635847562767312,0.6219992356613,logistic_l2,default,SV_S2,1462.0,717.0,"[[255, 181], [88, 193]]","[0, 1]"
gee_fused_original_buffer20_acacia_label_configs,GEE fused original+buffer20 Acacia configs,label_acacia_species,0.9290816326530612,0.8692375886524824,rf_balanced,threshold_cv,nan,273,118,"[[89, 9], [1, 19]]","[0, 1]",0.8455882352941176,0.8571428571428571,extra_trees,default,SV_S3,366.0,25.0,"[[6, 2], [1, 16]]","[0, 1]"
gee_original_acacia_label_configs_full,GEE median original polygon Acacia configs,label_acacia_species,0.9341836734693878,0.8804457953394125,extra_trees,threshold_cv,nan,273,118,"[[90, 8], [1, 19]]","[0, 1]",0.6812865497076023,0.6636363636363637,extra_trees_kbest,default,SV_S1,354.0,37.0,"[[9, 10], [2, 16]]","[0, 1]"
fresh_gee_centroid,GEE centroid pixel,label_acacia_species,0.9341836734693878,0.8804457953394123,extra_trees,threshold_cv,nan,273,118,"[[90, 8], [1, 19]]","[0, 1]",0.6666666666666667,0.6625,hist_gradient,default,SV_S2,373.0,18.0,"[[5, 4], [2, 7]]","[0, 1]"
gee_original_acacia_label_configs_full,GEE median original polygon Acacia configs,label_acacia_species_or_clustering,0.7251157679930932,0.7014196752909778,svc_rbf,default,nan,1723,739,"[[301, 164], [54, 220]]","[0, 1]",0.6560041517757098,0.6142495275622211,logistic_l2,default,SV_S1,1806.0,656.0,"[[301, 178], [56, 121]]","[0, 1]"
gee_original_acacia_label_configs_full,GEE median original polygon Acacia configs,label_acacia_visual,0.7761401557285873,0.7749843739148552,rf_balanced,default,nan,280,120,"[[46, 16], [11, 47]]","[0, 1]",0.8125,0.8193979933110369,logistic_l2,default,SV_S4,364.0,36.0,"[[10, 6], [0, 20]]","[0, 1]"
fresh_gee_centroid,GEE centroid pixel,label_acacia_visual,0.7697441601779755,0.765625,svc_rbf,default,nan,280,120,"[[42, 20], [8, 50]]","[0, 1]",0.8125,0.8193979933110368,logistic_l2,default,SV_S4,364.0,36.0,"[[10, 6], [0, 20]]","[0, 1]"
fresh_gee_mean,GEE mean original polygon,label_acacia_visual,0.7675194660734149,0.7666666666666667,rf_balanced,default,nan,280,120,"[[46, 16], [12, 46]]","[0, 1]",0.79375,0.7979149959903769,logistic_l2,default,SV_S4,364.0,36.0,"[[11, 5], [2, 18]]","[0, 1]"
gee_original_acacia_label_configs_full,GEE median original polygon Acacia configs,label_acacia_visual_or_clustering,0.6868613138686132,0.6725869087166051,svc_rbf,default,nan,1525,654,"[[228, 152], [62, 212]]","[0, 1]",0.6348930481283422,0.567574478966884,extra_trees_kbest,default,SV_S4,2001.0,178.0,"[[61, 7], [69, 41]]","[0, 1]"
fresh_gee_centroid,GEE centroid pixel,label_acacia_visual_or_species,0.8349661869256112,0.7980769230769231,logistic_l2,threshold_cv,nan,536,231,"[[121, 37], [7, 66]]","[0, 1]",0.725,0.7485470747772182,logistic_l2,threshold_cv,SV_S4,708.0,59.0,"[[9, 11], [0, 39]]","[0, 1]"
