label,feature_source,source_dir,model,decision,decision_threshold,random_balanced_accuracy,random_macro_f1,artifact
label_acacia,GEE median buffer20 default labels,gee_normalized_iitd_sv_gee_embeddings_2024_buffer20m,rf_balanced,threshold_cv,0.1,0.9387755102040816,0.8520066889632107,src/notebooks/satellite/embeddings/models/normalized_iitd_sv_gee_embeddings_2024_buffer20m/label_acacia_rf_balanced.joblib
label_acacia_all_priority,GEE fused original+buffer20 Acacia configs,gee_fused_original_buffer20_acacia_label_configs,extra_trees,threshold_cv,0.35,0.7391773875481266,0.7143208574942892,src/notebooks/satellite/embeddings/models/gee_fused_original_buffer20_acacia_label_configs/label_acacia_all_priority_extra_trees.joblib
label_acacia_clustering,GEE mean original polygon,fresh_gee_mean,extra_trees_kbest,threshold_cv,0.45,0.7235243055555556,0.7125828717271396,src/notebooks/satellite/embeddings/models/fresh_gee_mean/label_acacia_clustering_extra_trees_kbest.joblib
label_acacia_species,GEE median original polygon Acacia configs,gee_original_acacia_label_configs_full,extra_trees,threshold_cv,0.2,0.9341836734693878,0.8804457953394125,src/notebooks/satellite/embeddings/models/gee_original_acacia_label_configs/label_acacia_species_extra_trees.joblib
label_acacia_species_or_clustering,GEE mean original polygon,fresh_gee_mean,extra_trees,threshold_cv,0.4,0.7327054391335059,0.7232036078995051,src/notebooks/satellite/embeddings/models/fresh_gee_mean/label_acacia_species_or_clustering_extra_trees.joblib
label_acacia_visual,GEE fused original+buffer20 Acacia configs,gee_fused_original_buffer20_acacia_label_configs,svc_rbf,default,,0.7864293659621802,0.7823660714285714,src/notebooks/satellite/embeddings/models/gee_fused_original_buffer20_acacia_label_configs/label_acacia_visual_svc_rbf.joblib
label_acacia_visual_or_clustering,GEE centroid pixel,fresh_gee_centroid,svc_rbf,default,,0.692633499807914,0.6786556603773585,src/notebooks/satellite/embeddings/models/fresh_gee_centroid/label_acacia_visual_or_clustering_svc_rbf.joblib
label_acacia_visual_or_species,GEE fused original+buffer20 Acacia configs,gee_fused_original_buffer20_acacia_label_configs,extra_trees_kbest,threshold_cv,0.3,0.8486648170625974,0.8080788099382814,src/notebooks/satellite/embeddings/models/gee_fused_original_buffer20_acacia_label_configs/label_acacia_visual_or_species_extra_trees_kbest.joblib
label_deciduous,GEE centroid pixel,fresh_gee_centroid,hist_gradient,threshold_cv,0.15,0.6880252100840336,0.6670584778136939,src/notebooks/satellite/embeddings/models/fresh_gee_centroid/label_deciduous_hist_gradient.joblib
label_esd,GEE median buffer20 default labels,gee_normalized_iitd_sv_gee_embeddings_2024_buffer20m,rf_deeper,default,,0.529192546583851,0.5264638742899611,src/notebooks/satellite/embeddings/models/normalized_iitd_sv_gee_embeddings_2024_buffer20m/label_esd_rf_deeper.joblib
label_red_showy,GEE centroid pixel,fresh_gee_centroid,logistic_l2,threshold_cv,0.3,0.5473300970873787,0.4983962496915864,src/notebooks/satellite/embeddings/models/fresh_gee_centroid/label_red_showy_logistic_l2.joblib
label_showy_flower,GEE median original polygon default labels,gee_normalized_iitd_sv_gee_embeddings_2024_original,rf_deeper,threshold_cv,0.15,0.6994617224880382,0.5662162162162162,src/notebooks/satellite/embeddings/models/normalized_iitd_sv_gee_embeddings_2024_original/label_showy_flower_rf_deeper.joblib
label_yellow_broad,GEE fused original+buffer20 default labels,gee_fused_original_buffer20_default_labels_random,extra_trees_kbest,threshold_cv,0.35,0.8248917748917749,0.8183361629881154,src/notebooks/satellite/embeddings/models/gee_fused_original_buffer20_default_labels/label_yellow_broad_extra_trees_kbest.joblib
label_yellow_strict,GEE centroid pixel,fresh_gee_centroid,logistic_l2,default,,0.8008771929824561,0.6566844919786096,src/notebooks/satellite/embeddings/models/fresh_gee_centroid/label_yellow_strict_logistic_l2.joblib
