model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.56,0.6433823529411764,0.56,"[[7, 1], [10, 7]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.76,0.625,0.625,"[[2, 6], [0, 17]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.76,0.625,0.625,"[[2, 6], [0, 17]]","[0, 1]",0.3
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.76,0.625,0.625,"[[2, 6], [0, 17]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.48,0.5845588235294118,0.47665056360708535,"[[7, 1], [12, 5]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.48,0.5845588235294118,0.47665056360708535,"[[7, 1], [12, 5]]","[0, 1]",0.1
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.64,0.5698529411764706,0.5714285714285714,"[[3, 5], [4, 13]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.44,0.5551470588235294,0.43181818181818177,"[[7, 1], [13, 4]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.4,0.5257352941176471,0.3842364532019704,"[[7, 1], [14, 3]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.4,0.5257352941176471,0.3842364532019704,"[[7, 1], [14, 3]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.52,0.5147058823529411,0.49999999999999994,"[[4, 4], [8, 9]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",0.1
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.36,0.4963235294117647,0.33333333333333337,"[[7, 1], [15, 2]]","[0, 1]",
