model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9174311926605505,0.95,0.877939529675252,"[[81, 9], [0, 19]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8807339449541285,0.9277777777777778,0.8336268639192204,"[[77, 13], [0, 19]]","[0, 1]",0.15
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8807339449541285,0.9277777777777778,0.8336268639192204,"[[77, 13], [0, 19]]","[0, 1]",0.1
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8807339449541285,0.9277777777777778,0.8336268639192204,"[[77, 13], [0, 19]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8715596330275229,0.9222222222222223,0.8232159406858202,"[[76, 14], [0, 19]]","[0, 1]",0.1
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8623853211009175,0.9166666666666667,0.8130360205831904,"[[75, 15], [0, 19]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8623853211009175,0.9166666666666667,0.8130360205831904,"[[75, 15], [0, 19]]","[0, 1]",0.15
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9174311926605505,0.9084795321637427,0.8696345514950167,"[[83, 7], [2, 17]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9174311926605505,0.9084795321637427,0.8696345514950167,"[[83, 7], [2, 17]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9174311926605505,0.9084795321637427,0.8696345514950167,"[[83, 7], [2, 17]]","[0, 1]",0.2
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.908256880733945,0.9029239766081871,0.8576280041797283,"[[82, 8], [2, 17]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8990825688073395,0.8973684210526316,0.845985870263327,"[[81, 9], [2, 17]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.9174311926605505,0.8669590643274854,0.8594757198109153,"[[85, 5], [4, 15]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_acacia,random,,253,109,"{0: 209, 1: 44}","{0: 90, 1: 19}",0.8990825688073395,0.8350877192982455,0.8282481019911188,"[[84, 6], [5, 14]]","[0, 1]",
