model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.7333333333333333,0.6988636363636364,0.6825396825396826,"[[17, 5], [3, 5]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.6,0.6875,0.5927601809954752,"[[11, 11], [1, 7]]","[0, 1]",0.2
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.5666666666666667,0.6647727272727273,0.5622895622895623,"[[10, 12], [1, 7]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.5666666666666667,0.6647727272727273,0.5622895622895623,"[[10, 12], [1, 7]]","[0, 1]",0.35
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.3333333333333333,0.5454545454545454,0.3055555555555556,"[[2, 20], [0, 8]]","[0, 1]",0.25
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.3333333333333333,0.5454545454545454,0.3055555555555556,"[[2, 20], [0, 8]]","[0, 1]",0.35
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.26666666666666666,0.5,0.2105263157894737,"[[0, 22], [0, 8]]","[0, 1]",0.2
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.6333333333333333,0.4715909090909091,0.4599018003273323,"[[18, 4], [7, 1]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.6666666666666666,0.45454545454545453,0.4,"[[20, 2], [8, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.6333333333333333,0.4318181818181818,0.3877551020408163,"[[19, 3], [8, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.5,0.42045454545454547,0.4223363286264442,"[[13, 9], [6, 2]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.5,0.42045454545454547,0.4223363286264442,"[[13, 9], [6, 2]]","[0, 1]",0.5
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.6,0.4090909090909091,0.37500000000000006,"[[18, 4], [8, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,leave_area_out,A2,312,30,"{0: 207, 1: 105}","{0: 22, 1: 8}",0.4,0.3920454545454546,0.37500000000000006,"[[9, 13], [5, 3]]","[0, 1]",0.1
