model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6504854368932039,0.6794543904518329,0.6429121725731896,"[[41, 28], [8, 26]]","[0, 1]",0.3
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6019417475728155,0.6656010230179028,0.601340507882564,"[[33, 36], [5, 29]]","[0, 1]",0.25
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6407766990291263,0.6572890025575449,0.6294603791929996,"[[42, 27], [10, 24]]","[0, 1]",0.3
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.5533980582524272,0.6368286445012787,0.5530188679245283,"[[27, 42], [4, 30]]","[0, 1]",0.2
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6407766990291263,0.61999147485081,0.6121119592875318,"[[47, 22], [15, 19]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6310679611650486,0.5978260869565217,0.5943200663349917,"[[48, 21], [17, 17]]","[0, 1]",0.4
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6990291262135923,0.5963341858482524,0.596078431372549,"[[62, 7], [24, 10]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6504854368932039,0.5824808184143222,0.5846774193548386,"[[54, 15], [21, 13]]","[0, 1]",0.3
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6601941747572816,0.5822676896845695,0.5843422114608555,"[[56, 13], [22, 12]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6310679611650486,0.5754475703324808,0.5764069264069264,"[[51, 18], [20, 14]]","[0, 1]",0.25
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6601941747572816,0.5300511508951407,0.5024154589371981,"[[63, 6], [29, 5]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6407766990291263,0.5230179028132992,0.5046145846873781,"[[60, 9], [28, 6]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6407766990291263,0.5006393861892583,0.4562705093451277,"[[63, 6], [31, 3]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6407766990291263,0.5006393861892583,0.4562705093451277,"[[63, 6], [31, 3]]","[0, 1]",
