model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.7866666666666666,0.5909090909090909,0.5738636363636364,"[[56, 10], [6, 3]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.48,0.5126262626262627,0.40897150939583754,"[[31, 35], [4, 5]]","[0, 1]",0.15
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.30666666666666664,0.5101010101010102,0.29653679653679654,"[[16, 50], [2, 7]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.64,0.5075757575757576,0.4755244755244755,"[[45, 21], [6, 3]]","[0, 1]",0.15
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.64,0.5075757575757576,0.4755244755244755,"[[45, 21], [6, 3]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.88,0.5,0.46808510638297873,"[[66, 0], [9, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.88,0.5,0.46808510638297873,"[[66, 0], [9, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.88,0.5,0.46808510638297873,"[[66, 0], [9, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.88,0.5,0.46808510638297873,"[[66, 0], [9, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.88,0.5,0.46808510638297873,"[[66, 0], [9, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.8666666666666667,0.49242424242424243,0.46428571428571425,"[[65, 1], [9, 0]]","[0, 1]",0.15
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.8533333333333334,0.48484848484848486,0.460431654676259,"[[64, 2], [9, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.5466666666666666,0.4545454545454546,0.42045454545454547,"[[38, 28], [6, 3]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_showy_flower,leave_area_out,SIT,280,75,"{0: 245, 1: 35}","{0: 66, 1: 9}",0.3466666666666667,0.38888888888888884,0.3067345783814375,"[[22, 44], [5, 4]]","[0, 1]",0.15
