model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.984375,0.5,0.49606299212598426,"[[63, 0], [1, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.984375,0.5,0.49606299212598426,"[[63, 0], [1, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.984375,0.5,0.49606299212598426,"[[63, 0], [1, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.984375,0.5,0.49606299212598426,"[[63, 0], [1, 0]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.984375,0.5,0.49606299212598426,"[[63, 0], [1, 0]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.984375,0.5,0.49606299212598426,"[[63, 0], [1, 0]]","[0, 1]",0.15
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.984375,0.5,0.49606299212598426,"[[63, 0], [1, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.96875,0.49206349206349204,0.49206349206349204,"[[62, 1], [1, 0]]","[0, 1]",0.2
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.953125,0.48412698412698413,0.488,"[[61, 2], [1, 0]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.921875,0.46825396825396826,0.47967479674796754,"[[59, 4], [1, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.90625,0.4603174603174603,0.4754098360655738,"[[58, 5], [1, 0]]","[0, 1]",0.15
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.890625,0.4523809523809524,0.47107438016528924,"[[57, 6], [1, 0]]","[0, 1]",0.2
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.609375,0.30952380952380953,0.37864077669902907,"[[39, 24], [1, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,leave_area_out,A3,291,64,"{0: 265, 1: 26}","{0: 63, 1: 1}",0.140625,0.07142857142857142,0.12328767123287669,"[[9, 54], [1, 0]]","[0, 1]",0.1
