model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8598130841121495,0.6944444444444444,0.6346460277714546,"[[88, 11], [4, 4]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.7289719626168224,0.6811868686868687,0.5453479853479853,"[[73, 26], [3, 5]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.897196261682243,0.6571969696969697,0.6485518065094058,"[[93, 6], [5, 3]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.897196261682243,0.6571969696969697,0.6485518065094058,"[[93, 6], [5, 3]]","[0, 1]",0.1
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.822429906542056,0.6167929292929293,0.5697354497354497,"[[85, 14], [5, 3]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8411214953271028,0.5694444444444444,0.5511966444608932,"[[88, 11], [6, 2]]","[0, 1]",0.2
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.7102803738317757,0.5561868686868687,0.49351045961215456,"[[73, 26], [5, 3]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.5887850467289719,0.547979797979798,0.44112060778727447,"[[59, 40], [4, 4]]","[0, 1]",0.1
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8878504672897196,0.5372474747474747,0.5414285714285715,"[[94, 5], [7, 1]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8691588785046729,0.5271464646464646,0.5271464646464646,"[[92, 7], [7, 1]]","[0, 1]",0.25
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.9065420560747663,0.4898989898989899,0.47549019607843135,"[[97, 2], [8, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.9065420560747663,0.4898989898989899,0.47549019607843135,"[[97, 2], [8, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8878504672897196,0.4797979797979798,0.47029702970297027,"[[95, 4], [8, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar-apr-may.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8878504672897196,0.4797979797979798,0.47029702970297027,"[[95, 4], [8, 0]]","[0, 1]",
