model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.5238095238095238,0.3531468531468531,"[[1, 20], [0, 16]]","[0, 1]",0.25
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.5238095238095238,0.3531468531468531,"[[1, 20], [0, 16]]","[0, 1]",0.2
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.5238095238095238,0.3531468531468531,"[[1, 20], [0, 16]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.5238095238095238,0.3531468531468531,"[[1, 20], [0, 16]]","[0, 1]",0.45
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.5238095238095238,0.3531468531468531,"[[1, 20], [0, 16]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.5238095238095238,0.3531468531468531,"[[1, 20], [0, 16]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4864864864864865,0.5104166666666666,0.4804138950480414,"[[7, 14], [5, 11]]","[0, 1]",
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4864864864864865,0.5104166666666666,0.4804138950480414,"[[7, 14], [5, 11]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.4594594594594595,0.5089285714285714,0.40705128205128205,"[[3, 18], [2, 14]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.43243243243243246,0.5,0.3018867924528302,"[[0, 21], [0, 16]]","[0, 1]",0.1
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.43243243243243246,0.4851190476190476,0.3657142857142857,"[[2, 19], [2, 14]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.43243243243243246,0.4851190476190476,0.3657142857142857,"[[2, 19], [2, 14]]","[0, 1]",0.15
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.43243243243243246,0.47023809523809523,0.4045977011494253,"[[4, 17], [4, 12]]","[0, 1]",0.35
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_acacia,leave_area_out,SV_S1,325,37,"{0: 278, 1: 47}","{0: 21, 1: 16}",0.40540540540540543,0.4464285714285714,0.3680124223602485,"[[3, 18], [4, 12]]","[0, 1]",
