model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.3090909090909091,0.5041666666666667,0.2803030303030303,"[[3, 37], [1, 14]]","[0, 1]",0.3
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.6727272727272727,0.48333333333333334,0.44999999999999996,"[[36, 4], [14, 1]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.5636363636363636,0.4708333333333333,0.47115384615384615,"[[27, 13], [11, 4]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.6545454545454545,0.4708333333333333,0.4408774745853397,"[[35, 5], [14, 1]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.2545454545454545,0.4666666666666667,0.20289855072463767,"[[0, 40], [1, 14]]","[0, 1]",0.3
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.6545454545454545,0.45,0.39560439560439564,"[[36, 4], [15, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.2545454545454545,0.44583333333333336,0.21728566469975702,"[[1, 39], [2, 13]]","[0, 1]",0.25
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.4,0.44166666666666665,0.39277350284376045,"[[14, 26], [7, 8]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.5454545454545454,0.4375,0.4385463454471213,"[[27, 13], [12, 3]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.2909090909090909,0.4083333333333333,0.2871385842472582,"[[6, 34], [5, 10]]","[0, 1]",0.25
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.45454545454545453,0.39583333333333337,0.3969298245614035,"[[21, 19], [11, 4]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.2727272727272727,0.3958333333333333,0.26666666666666666,"[[5, 35], [5, 10]]","[0, 1]",0.35
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.2727272727272727,0.35416666666666663,0.27248677248677244,"[[7, 33], [7, 8]]","[0, 1]",0.15
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,A3,287,55,"{0: 189, 1: 98}","{0: 40, 1: 15}",0.2727272727272727,0.3125,0.27055702917771884,"[[9, 31], [9, 6]]","[0, 1]",0.1
