model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.7096774193548387,0.6645299145299145,0.6585067319461444,"[[17, 1], [8, 5]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.6129032258064516,0.6025641025641025,0.6025641025641025,"[[12, 6], [6, 7]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.6129032258064516,0.5384615384615384,0.4464285714285714,"[[18, 0], [12, 1]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.35
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.25
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.35
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.3
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,leave_area_out,SV_S1,311,31,"{0: 211, 1: 100}","{0: 18, 1: 13}",0.5806451612903226,0.5,0.3673469387755102,"[[18, 0], [13, 0]]","[0, 1]",0.15
