model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.5825242718446602,0.6511082693947143,0.5823668081093824,"[[31, 38], [5, 29]]","[0, 1]",0.25
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.5825242718446602,0.6511082693947143,0.5823668081093824,"[[31, 38], [5, 29]]","[0, 1]",0.25
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6116504854368932,0.6504688832054561,0.6071700991609459,"[[37, 32], [8, 26]]","[0, 1]",0.25
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6601941747572816,0.6270247229326513,0.6238914971309338,"[[50, 19], [16, 18]]","[0, 1]",0.15
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7087378640776699,0.6184995737425405,0.6235380116959065,"[[61, 8], [22, 12]]","[0, 1]",
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6116504854368932,0.6131713554987213,0.5948072383949646,"[[42, 27], [13, 21]]","[0, 1]",0.35
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6019417475728155,0.5686274509803921,0.5650427438459162,"[[46, 23], [18, 16]]","[0, 1]",0.35
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.5922330097087378,0.5613810741687979,0.5571253071253072,"[[45, 24], [18, 16]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.5436893203883495,0.5475277067348678,0.5293145357316481,"[[37, 32], [15, 19]]","[0, 1]",0.15
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6019417475728155,0.5387894288150042,0.5392253136933989,"[[50, 19], [22, 12]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6504854368932039,0.5078857630008525,0.4616724738675958,"[[64, 5], [31, 3]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6213592233009708,0.5010656436487638,0.4778369946704797,"[[59, 10], [29, 5]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6310679611650486,0.5008525149190111,0.46820652173913047,"[[61, 8], [30, 4]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6407766990291263,0.5006393861892583,0.4562705093451277,"[[63, 6], [31, 3]]","[0, 1]",
