model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.609375,0.5564516129032258,0.4132746607994133,"[[38, 24], [1, 1]]","[0, 1]",0.15
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.546875,0.5241935483870968,0.38277352843365475,"[[34, 28], [1, 1]]","[0, 1]",0.15
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.96875,0.5,0.49206349206349204,"[[62, 0], [2, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.96875,0.5,0.49206349206349204,"[[62, 0], [2, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.96875,0.5,0.49206349206349204,"[[62, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.96875,0.5,0.49206349206349204,"[[62, 0], [2, 0]]","[0, 1]",
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.96875,0.5,0.49206349206349204,"[[62, 0], [2, 0]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.96875,0.5,0.49206349206349204,"[[62, 0], [2, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.96875,0.5,0.49206349206349204,"[[62, 0], [2, 0]]","[0, 1]",
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.953125,0.49193548387096775,0.488,"[[61, 1], [2, 0]]","[0, 1]",0.15
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.9375,0.4838709677419355,0.4838709677419355,"[[60, 2], [2, 0]]","[0, 1]",0.2
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.90625,0.46774193548387094,0.4754098360655738,"[[58, 4], [2, 0]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.375,0.43548387096774194,0.29125138427464015,"[[23, 39], [1, 1]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,A3,291,64,"{0: 249, 1: 42}","{0: 62, 1: 2}",0.375,0.1935483870967742,0.2727272727272727,"[[24, 38], [2, 0]]","[0, 1]",0.2
