model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.8181818181818182,0.8166666666666667,0.8166666666666668,"[[5, 1], [1, 4]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.8181818181818182,0.8,0.8035714285714285,"[[6, 0], [2, 3]]","[0, 1]",0.2
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.7272727272727273,0.75,0.717948717948718,"[[3, 3], [0, 5]]","[0, 1]",0.1
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.7272727272727273,0.7333333333333334,0.7272727272727272,"[[4, 2], [1, 4]]","[0, 1]",0.1
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.6363636363636364,0.6166666666666667,0.6071428571428572,"[[5, 1], [3, 2]]","[0, 1]",
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.3529411764705882,"[[6, 0], [5, 0]]","[0, 1]",0.1
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.36363636363636365,0.4,0.26666666666666666,"[[0, 6], [1, 4]]","[0, 1]",0.1
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_showy_flower,leave_area_out,MITTAL,344,11,"{0: 305, 1: 39}","{0: 6, 1: 5}",0.36363636363636365,0.3666666666666667,0.3636363636363636,"[[2, 4], [3, 2]]","[0, 1]",0.2
