model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.7866666666666666,0.6557971014492754,0.5738636363636362,"[[56, 13], [3, 3]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.7866666666666666,0.6557971014492754,0.5738636363636362,"[[56, 13], [3, 3]]","[0, 1]",0.6
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.6666666666666666,0.5905797101449275,0.49173217674166436,"[[47, 22], [3, 3]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.6,0.5543478260869565,0.45175438596491224,"[[42, 27], [3, 3]]","[0, 1]",0.2
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.6666666666666666,0.5144927536231884,0.4656597321174124,"[[48, 21], [4, 2]]","[0, 1]",0.15
rf_balanced,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
svc_rbf,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.1
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.7466666666666667,0.48188405797101447,0.4739756367663344,"[[55, 14], [5, 1]]","[0, 1]",0.15
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.88,0.4782608695652174,0.4680851063829787,"[[66, 3], [6, 0]]","[0, 1]",0.15
