model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8021978021978022,0.7574074074074073,0.6587500000000001,"[[66, 15], [3, 7]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.6153846153846154,0.7401234567901235,0.5341524060260348,"[[47, 34], [1, 9]]","[0, 1]",0.15
svc_rbf,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8351648351648352,0.6882716049382716,0.6522292993630574,"[[71, 10], [5, 5]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8901098901098901,0.6753086419753087,0.6917344173441734,"[[77, 4], [6, 4]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.4725274725274725,0.6598765432098765,0.42946708463949845,"[[34, 47], [1, 9]]","[0, 1]",0.1
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.6923076923076923,0.6518518518518519,0.5514084507042254,"[[57, 24], [4, 6]]","[0, 1]",0.1
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.5714285714285714,0.6277777777777778,0.4809126810004388,"[[45, 36], [3, 7]]","[0, 1]",0.1
logistic_l2,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8021978021978022,0.625925925925926,0.5961538461538461,"[[69, 12], [6, 4]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8021978021978022,0.625925925925926,0.5961538461538461,"[[69, 12], [6, 4]]","[0, 1]",0.1
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.4835164835164835,0.6222222222222222,0.4295051353874883,"[[36, 45], [2, 8]]","[0, 1]",0.1
extra_trees,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8681318681318682,0.5753086419753086,0.588855421686747,"[[77, 4], [8, 2]]","[0, 1]",
hist_gradient,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8461538461538461,0.562962962962963,0.5684281842818428,"[[75, 6], [8, 2]]","[0, 1]",
rf_balanced,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8571428571428571,0.48148148148148145,0.4615384615384615,"[[78, 3], [10, 0]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8571428571428571,0.48148148148148145,0.4615384615384615,"[[78, 3], [10, 0]]","[0, 1]",
