model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,threshold_cv,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6893203883495146,0.6786018755328218,0.6663967611336032,"[[49, 20], [12, 22]]","[0, 1]",0.35
hist_gradient,threshold_cv,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6990291262135923,0.6634697357203752,0.6622236327091928,"[[53, 16], [15, 19]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6213592233009708,0.6577152600170503,0.6161490683229813,"[[38, 31], [8, 26]]","[0, 1]",0.3
logistic_l2,default,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6990291262135923,0.6261722080136403,0.6318459587224721,"[[58, 11], [20, 14]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6990291262135923,0.6261722080136403,0.6318459587224721,"[[58, 11], [20, 14]]","[0, 1]",0.5
hist_gradient,default,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7087378640776699,0.6259590792838874,0.6321428571428571,"[[60, 9], [21, 13]]","[0, 1]",
extra_trees,default,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7378640776699029,0.6253196930946292,0.62786029706945,"[[66, 3], [24, 10]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6504854368932039,0.6197783461210571,0.6156716417910448,"[[49, 20], [16, 18]]","[0, 1]",0.35
extra_trees_kbest,threshold_cv,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.5728155339805825,0.6140238704177323,0.5695288753799392,"[[34, 35], [9, 25]]","[0, 1]",0.3
svc_rbf,default,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6504854368932039,0.6123188405797102,0.6105042016806723,"[[50, 19], [17, 17]]","[0, 1]",
rf_balanced,threshold_cv,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.7087378640776699,0.6035805626598465,0.6038461538461539,"[[63, 6], [24, 10]]","[0, 1]",0.45
extra_trees_kbest,default,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6699029126213593,0.5745950554134698,0.5733430799220273,"[[59, 10], [24, 10]]","[0, 1]",
rf_balanced,default,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6893203883495146,0.5517902813299232,0.521486643437863,"[[66, 3], [29, 5]]","[0, 1]",
rf_deeper,default,exports/exp01_all3.csv,label_deciduous,random,,239,103,"{0: 160, 1: 79}","{0: 69, 1: 34}",0.6699029126213593,0.5298380221653879,0.4915795586527294,"[[65, 4], [30, 4]]","[0, 1]",
