model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.6,0.7065217391304348,0.48863636363636365,"[[40, 29], [1, 5]]","[0, 1]",0.1
logistic_l2,default,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.8666666666666667,0.5471014492753623,0.5471014492753623,"[[64, 5], [5, 1]]","[0, 1]",
extra_trees,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.14666666666666667,0.5362318840579711,0.1465149359886202,"[[5, 64], [0, 6]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.8266666666666667,0.5253623188405797,0.5185185185185185,"[[61, 8], [5, 1]]","[0, 1]",0.2
rf_balanced,default,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,default,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
svc_rbf,default,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",0.15
hist_gradient,default,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.9066666666666666,0.4927536231884058,0.4755244755244755,"[[68, 1], [6, 0]]","[0, 1]",0.15
logistic_l2,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.7333333333333333,0.4746376811594203,0.46732954545454547,"[[54, 15], [5, 1]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.30666666666666664,0.47101449275362317,0.2777777777777778,"[[19, 50], [2, 4]]","[0, 1]",0.15
