model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8461538461538461,0.7820987654320988,0.7045454545454546,"[[70, 11], [3, 7]]","[0, 1]",0.35
svc_rbf,default,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8681318681318682,0.7506172839506173,0.7120253164556962,"[[73, 8], [4, 6]]","[0, 1]",
logistic_l2,default,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8351648351648352,0.7320987654320987,0.6738351254480286,"[[70, 11], [4, 6]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.5714285714285714,0.7154320987654321,0.5018947368421052,"[[43, 38], [1, 9]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.4835164835164835,0.7098765432098766,0.44490590525632706,"[[34, 47], [0, 10]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.5604395604395604,0.7092592592592593,0.4938820912124583,"[[42, 39], [1, 9]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.7142857142857143,0.7080246913580246,0.5834507042253521,"[[58, 23], [3, 7]]","[0, 1]",0.15
svc_rbf,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.5274725274725275,0.6907407407407408,0.4698550331933342,"[[39, 42], [1, 9]]","[0, 1]",0.1
hist_gradient,threshold_cv,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8461538461538461,0.6506172839506172,0.6380681818181818,"[[73, 8], [6, 4]]","[0, 1]",0.1
extra_trees_kbest,default,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8791208791208791,0.6253086419753087,0.6431372549019608,"[[77, 4], [7, 3]]","[0, 1]",
hist_gradient,default,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8791208791208791,0.5814814814814815,0.6003992015968064,"[[78, 3], [8, 2]]","[0, 1]",
extra_trees,default,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8681318681318682,0.5753086419753086,0.588855421686747,"[[77, 4], [8, 2]]","[0, 1]",
rf_deeper,default,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8791208791208791,0.49382716049382713,0.4678362573099415,"[[80, 1], [10, 0]]","[0, 1]",
rf_balanced,default,exports/exp01_all3.csv,label_yellow_broad,random,,211,91,"{0: 187, 1: 24}","{0: 81, 1: 10}",0.8681318681318682,0.4876543209876543,0.4647058823529412,"[[79, 2], [10, 0]]","[0, 1]",
