model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_deeper,threshold_cv,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.7570093457943925,0.7537878787878788,0.5840311004784688,"[[75, 24], [2, 6]]","[0, 1]",0.1
svc_rbf,threshold_cv,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.7850467289719626,0.711489898989899,0.5879792399129415,"[[79, 20], [3, 5]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.6448598130841121,0.6931818181818181,0.5041463414634146,"[[63, 36], [2, 6]]","[0, 1]",0.1
logistic_l2,threshold_cv,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8317757009345794,0.6792929292929293,0.605973813420622,"[[85, 14], [4, 4]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.719626168224299,0.6761363636363636,0.5387931034482758,"[[72, 27], [3, 5]]","[0, 1]",0.1
logistic_l2,default,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8504672897196262,0.6319444444444444,0.5946969696969697,"[[88, 11], [5, 3]]","[0, 1]",
extra_trees,threshold_cv,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.6915887850467289,0.6035353535353536,0.5021852530664035,"[[70, 29], [4, 4]]","[0, 1]",0.1
svc_rbf,default,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8598130841121495,0.5795454545454546,0.5668016194331984,"[[90, 9], [6, 2]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.9065420560747663,0.5473484848484849,0.5585808580858086,"[[96, 3], [7, 1]]","[0, 1]",0.9
extra_trees,default,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8878504672897196,0.5372474747474747,0.5414285714285714,"[[94, 5], [7, 1]]","[0, 1]",
hist_gradient,default,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8878504672897196,0.5372474747474747,0.5414285714285714,"[[94, 5], [7, 1]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.8785046728971962,0.5321969696969697,0.5340033500837521,"[[93, 6], [7, 1]]","[0, 1]",
rf_balanced,default,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.897196261682243,0.48484848484848486,0.4729064039408867,"[[96, 3], [8, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_all3.csv,label_yellow_strict,random,,248,107,"{0: 229, 1: 19}","{0: 99, 1: 8}",0.897196261682243,0.48484848484848486,0.4729064039408867,"[[96, 3], [8, 0]]","[0, 1]",
