model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.88,0.8455882352941176,0.8571428571428572,"[[6, 2], [1, 16]]","[0, 1]",
extra_trees,default,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.88,0.8455882352941176,0.8571428571428572,"[[6, 2], [1, 16]]","[0, 1]",
rf_deeper,default,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.84,0.8161764705882353,0.8161764705882353,"[[6, 2], [2, 15]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.84,0.7830882352941176,0.8015873015873016,"[[5, 3], [1, 16]]","[0, 1]",
hist_gradient,default,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.72,0.5955882352941176,0.592074592074592,"[[2, 6], [1, 16]]","[0, 1]",
rf_balanced,threshold_cv,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",0.15
logistic_l2,default,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",0.3
svc_rbf,default,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.68,0.5,0.40476190476190477,"[[0, 8], [0, 17]]","[0, 1]",0.1
hist_gradient,threshold_cv,exports/exp01_gee_centroid.csv,label_acacia,leave_area_out,SV_S3,337,25,"{0: 291, 1: 46}","{0: 8, 1: 17}",0.64,0.47058823529411764,0.3902439024390244,"[[0, 8], [1, 16]]","[0, 1]",0.1
