model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.6470588235294118,0.5714285714285714,0.5096153846153846,"[[2, 12], [0, 20]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.4411764705882353,0.5142857142857143,0.3758454106280193,"[[13, 1], [18, 2]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5588235294117647,0.5071428571428571,0.48328267477203646,"[[3, 11], [4, 16]]","[0, 1]",0.4
rf_balanced,threshold_cv,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.2
rf_deeper,threshold_cv,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.2
extra_trees,threshold_cv,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.25
extra_trees_kbest,threshold_cv,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.25
svc_rbf,threshold_cv,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.5882352941176471,0.5,0.37037037037037035,"[[0, 14], [0, 20]]","[0, 1]",0.2
rf_deeper,default,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.4117647058823529,0.47857142857142854,0.356060606060606,"[[12, 2], [18, 2]]","[0, 1]",
hist_gradient,default,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.4411764705882353,0.4607142857142857,0.4406926406926407,"[[8, 6], [13, 7]]","[0, 1]",
extra_trees,default,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.4117647058823529,0.4571428571428572,0.39285714285714285,"[[10, 4], [16, 4]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.47058823529411764,0.4535714285714286,0.4535714285714286,"[[5, 9], [9, 11]]","[0, 1]",0.2
rf_balanced,default,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.38235294117647056,0.44285714285714284,0.3358139534883721,"[[11, 3], [18, 2]]","[0, 1]",
logistic_l2,default,exports/exp01_gee_centroid.csv,label_deciduous,leave_area_out,A1,308,34,"{0: 215, 1: 93}","{0: 14, 1: 20}",0.4411764705882353,0.40714285714285714,0.39906976744186046,"[[3, 11], [8, 12]]","[0, 1]",
