model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
svc_rbf,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.6666666666666666,0.5185185185185185,0.5178571428571428,"[[22, 5], [7, 2]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.6388888888888888,0.5,0.49946524064171127,"[[21, 6], [7, 2]]","[0, 1]",0.15
extra_trees_kbest,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.6944444444444444,0.5,0.4837027379400261,"[[24, 3], [8, 1]]","[0, 1]",0.25
logistic_l2,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.5277777777777778,0.5,0.4791489361702128,"[[15, 12], [5, 4]]","[0, 1]",0.25
rf_balanced,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
extra_trees,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
hist_gradient,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.6111111111111112,0.48148148148148145,0.48148148148148145,"[[20, 7], [7, 2]]","[0, 1]",0.15
extra_trees,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.5555555555555556,0.4444444444444444,0.4461538461538461,"[[18, 9], [7, 2]]","[0, 1]",0.15
logistic_l2,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.5555555555555556,0.4444444444444444,0.4461538461538461,"[[18, 9], [7, 2]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,A1,266,36,"{0: 241, 1: 25}","{0: 27, 1: 9}",0.5277777777777778,0.42592592592592593,0.42857142857142855,"[[17, 10], [7, 2]]","[0, 1]",0.1
