model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.6363636363636364,0.6166666666666667,0.6071428571428572,"[[5, 1], [3, 2]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.6363636363636364,0.6166666666666667,0.6071428571428572,"[[5, 1], [3, 2]]","[0, 1]",0.6
svc_rbf,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.6363636363636364,0.6166666666666667,0.6071428571428572,"[[5, 1], [3, 2]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5166666666666667,0.47619047619047616,"[[5, 1], [4, 1]]","[0, 1]",0.2
rf_balanced,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
rf_deeper,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",0.25
extra_trees,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
extra_trees,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",0.3
extra_trees_kbest,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
svc_rbf,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.5454545454545454,0.5,0.35294117647058826,"[[6, 0], [5, 0]]","[0, 1]",0.1
rf_balanced,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,MITTAL,291,11,"{0: 262, 1: 29}","{0: 6, 1: 5}",0.45454545454545453,0.4666666666666667,0.45,"[[2, 4], [2, 3]]","[0, 1]",0.1
