model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
svc_rbf,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.92,0.5,0.4791666666666667,"[[69, 0], [6, 0]]","[0, 1]",
hist_gradient,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.8933333333333333,0.4855072463768116,0.47183098591549294,"[[67, 2], [6, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.8933333333333333,0.4855072463768116,0.47183098591549294,"[[67, 2], [6, 0]]","[0, 1]",0.35
extra_trees,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.88,0.4782608695652174,0.46808510638297873,"[[66, 3], [6, 0]]","[0, 1]",0.25
logistic_l2,default,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.8533333333333334,0.463768115942029,0.460431654676259,"[[64, 5], [6, 0]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.8533333333333334,0.463768115942029,0.460431654676259,"[[64, 5], [6, 0]]","[0, 1]",0.55
svc_rbf,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.8533333333333334,0.463768115942029,0.460431654676259,"[[64, 5], [6, 0]]","[0, 1]",0.15
rf_deeper,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.5733333333333334,0.3115942028985507,0.3644067796610169,"[[43, 26], [6, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.17333333333333334,0.24637681159420288,0.16125541125541126,"[[11, 58], [4, 2]]","[0, 1]",0.15
rf_balanced,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_broad,leave_area_out,SIT,227,75,"{0: 199, 1: 28}","{0: 69, 1: 6}",0.16,0.2391304347826087,0.1503326739795001,"[[10, 59], [4, 2]]","[0, 1]",0.1
