model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
rf_deeper,default,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
extra_trees,default,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
extra_trees_kbest,default,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
svc_rbf,default,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
svc_rbf,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",0.1
hist_gradient,default,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",
hist_gradient,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.75,0.5,0.42857142857142855,"[[27, 0], [9, 0]]","[0, 1]",0.55
rf_balanced,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.7222222222222222,0.48148148148148145,0.41935483870967744,"[[26, 1], [9, 0]]","[0, 1]",0.1
rf_deeper,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.7222222222222222,0.48148148148148145,0.41935483870967744,"[[26, 1], [9, 0]]","[0, 1]",0.1
extra_trees,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.7222222222222222,0.48148148148148145,0.41935483870967744,"[[26, 1], [9, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.7222222222222222,0.48148148148148145,0.41935483870967744,"[[26, 1], [9, 0]]","[0, 1]",0.1
logistic_l2,default,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.6944444444444444,0.46296296296296297,0.4098360655737705,"[[25, 2], [9, 0]]","[0, 1]",
logistic_l2,threshold_cv,exports/exp01_gee_centroid.csv,label_yellow_strict,leave_area_out,A1,319,36,"{0: 301, 1: 18}","{0: 27, 1: 9}",0.6944444444444444,0.46296296296296297,0.4098360655737705,"[[25, 2], [9, 0]]","[0, 1]",0.4
